provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AL,2020-02-16,0,almeria,16.4,0.3,0.0,869
AL,2020-02-17,0,almeria,17.2,1.7,0.0,869
AL,2020-02-18,0,almeria,10.6,2.2,0.0,869
AL,2020-02-19,0,almeria,11.0,1.7,0.0,869
AL,2020-02-20,0,almeria,9.4,1.4,0.0,869
AL,2020-02-21,0,almeria,10.7,1.7,0.0,869
AL,2020-02-22,0,almeria,13.2,1.4,0.0,869
AL,2020-02-23,0,almeria,12.4,1.9,0.0,869
AL,2020-02-24,0,almeria,14.6,0.8,0.0,869
AL,2020-02-26,0,almeria,15.2,1.4,0.0,869
AL,2020-02-27,0,almeria,14.8,2.8,0.0,869
AL,2020-02-28,0,almeria,13.3,2.2,0.0,869
AL,2020-02-29,0,almeria,16.0,1.7,0.0,869
AL,2020-03-01,0,almeria,14.5,1.7,0.0,869
AL,2020-03-02,0,almeria,14.4,3.1,0.0,869
AL,2020-03-03,0,almeria,14.3,3.3,0.0,869
AL,2020-03-04,2,almeria,18.1,2.2,0.0,869
AL,2020-03-05,2,almeria,16.2,3.1,0.0,869
AL,2020-03-06,2,almeria,12.2,3.6,0.0,869
AL,2020-03-07,1,almeria,12.8,2.2,0.0,869
AL,2020-03-08,4,almeria,15.5,1.1,0.0,869
AL,2020-03-09,8,almeria,17.2,2.5,0.0,869
AL,2020-03-10,7,almeria,17.0,1.9,0.0,869
AL,2020-03-11,10,almeria,18.8,2.8,0.0,869
AL,2020-03-12,11,almeria,18.7,2.2,0.0,869
AL,2020-03-13,16,almeria,17.8,2.2,0.0,869
AL,2020-03-14,11,almeria,14.4,2.8,0.0,869
AL,2020-03-15,19,almeria,12.6,1.4,0.8,869
AL,2020-03-16,23,almeria,10.4,1.4,0.0,869
AL,2020-03-17,13,almeria,9.4,1.9,1.8,869
AL,2020-03-18,13,almeria,12.9,2.2,0.0,869
AL,2020-03-19,22,almeria,12.0,1.7,0.0,869
AL,2020-03-20,29,almeria,10.0,2.8,3.6,869
AL,2020-03-21,30,almeria,11.8,1.4,4.9,869
AL,2020-03-22,16,almeria,7.9,2.8,0.1,869
AL,2020-03-23,23,almeria,8.7,1.4,8.5,869
AL,2020-03-24,29,almeria,10.4,0.8,1.6,869
AL,2020-03-26,11,almeria,11.9,1.7,0.0,869
AL,2020-03-27,19,almeria,8.0,3.3,0.7,869
AL,2020-03-28,16,almeria,11.0,2.5,1.1,869
AL,2020-03-29,23,almeria,11.9,2.2,0.0,869
AL,2020-03-30,7,almeria,12.4,2.5,4.4,869
AL,2020-04-02,15,almeria,8.9,2.2,0.1,869
AL,2020-04-03,11,almeria,11.6,2.8,0.0,869
AL,2020-04-04,3,almeria,10.8,3.6,0.3,869
AL,2020-04-05,5,almeria,12.4,2.2,0.0,869
AL,2020-04-06,2,almeria,13.2,2.2,0.0,869
AL,2020-04-07,5,almeria,13.6,1.7,0.0,869
AL,2020-04-08,4,almeria,15.1,2.8,0.0,869
AL,2020-04-09,5,almeria,14.9,2.2,4.8,869
AL,2020-04-10,5,almeria,12.0,1.7,0.0,869
AL,2020-04-11,6,almeria,12.9,1.9,0.0,869
AL,2020-04-12,2,almeria,12.1,2.2,2.1,869
AL,2020-04-13,2,almeria,13.9,1.4,12.1,869
AL,2020-04-14,4,almeria,13.8,2.2,2.3,869
AL,2020-04-15,6,almeria,13.1,2.8,0.1,869
AL,2020-04-16,2,almeria,14.2,3.1,2.9,869
AL,2020-04-17,4,almeria,15.4,2.2,0.0,869
AL,2020-04-18,0,almeria,15.0,1.9,0.0,869
AL,2020-04-19,1,almeria,15.4,2.5,0.8,869
AL,2020-04-20,4,almeria,13.0,2.5,0.1,869
AL,2020-04-21,2,almeria,12.6,2.2,1.0,869
AL,2020-04-22,1,almeria,16.6,2.2,0.0,869
AL,2020-04-23,1,almeria,13.6,3.3,0.0,869
AL,2020-04-24,1,almeria,14.8,3.1,0.3,869
AL,2020-04-25,1,almeria,12.2,1.1,5.4,869
AL,2020-04-26,0,almeria,16.2,1.4,1.6,869
AL,2020-04-27,2,almeria,15.6,1.1,0.3,869
AL,2020-04-28,0,almeria,14.6,1.9,0.0,869
AL,2020-04-29,1,almeria,16.4,1.4,0.0,869
AL,2020-04-30,1,almeria,17.8,3.1,0.0,869
AL,2020-05-01,0,almeria,20.0,2.2,0.0,869
AL,2020-05-02,1,almeria,22.2,2.2,0.0,869
AL,2020-05-03,3,almeria,22.4,2.2,0.0,869
AL,2020-05-04,2,almeria,22.7,2.8,0.0,869
