provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2020-02-16,0,asturias,16.2,5.3,15.8,127
O,2020-02-17,0,asturias,9.8,6.9,1.3,127
O,2020-02-18,0,asturias,8.8,4.2,0.0,127
O,2020-02-19,0,asturias,8.6,2.5,0.0,127
O,2020-02-20,0,asturias,9.9,2.8,0.0,127
O,2020-02-21,0,asturias,11.2,3.3,0.0,127
O,2020-02-22,0,asturias,10.5,2.2,0.0,127
O,2020-02-23,1,asturias,9.2,2.2,0.0,127
O,2020-02-24,0,asturias,8.6,2.8,1.6,127
O,2020-02-25,1,asturias,10.9,6.9,1.2,127
O,2020-02-26,0,asturias,10.6,6.4,0.4,127
O,2020-02-27,0,asturias,14.3,8.3,0.0,127
O,2020-02-28,1,asturias,12.8,2.2,0.9,127
O,2020-02-29,2,asturias,14.6,8.9,0.2,127
O,2020-03-01,2,asturias,13.8,9.2,38.3,127
O,2020-03-02,3,asturias,7.7,8.3,15.7,127
O,2020-03-03,2,asturias,13.4,11.4,1.0,127
O,2020-03-04,2,asturias,16.6,6.4,10.0,127
O,2020-03-05,5,asturias,13.8,10.6,19.9,127
O,2020-03-06,12,asturias,9.0,9.2,3.7,127
O,2020-03-07,12,asturias,10.6,2.5,0.0,127
O,2020-03-08,14,asturias,12.1,5.6,0.3,127
O,2020-03-09,32,asturias,11.3,3.6,0.0,127
O,2020-03-10,53,asturias,11.4,1.1,0.0,127
O,2020-03-11,43,asturias,12.2,2.5,0.0,127
O,2020-03-12,57,asturias,11.0,1.9,3.9,127
O,2020-03-13,70,asturias,10.2,3.1,0.0,127
O,2020-03-14,81,asturias,10.8,3.1,0.0,127
O,2020-03-15,89,asturias,11.0,5.3,9.0,127
O,2020-03-16,105,asturias,8.6,2.5,1.2,127
O,2020-03-17,80,asturias,8.8,3.3,0.0,127
O,2020-03-18,91,asturias,11.8,2.5,0.1,127
O,2020-03-19,101,asturias,10.9,2.2,0.5,127
O,2020-03-20,83,asturias,11.5,1.7,0.0,127
O,2020-03-21,68,asturias,11.0,1.9,0.1,127
O,2020-03-22,76,asturias,12.6,1.9,0.2,127
O,2020-03-23,70,asturias,11.8,3.6,0.2,127
O,2020-03-24,58,asturias,12.4,3.6,0.0,127
O,2020-03-25,57,asturias,11.0,2.8,0.0,127
O,2020-03-26,77,asturias,8.8,1.9,0.0,127
O,2020-03-27,69,asturias,8.0,5.6,0.0,127
O,2020-03-28,53,asturias,9.6,4.4,0.0,127
O,2020-03-29,42,asturias,10.0,4.7,1.8,127
O,2020-03-30,44,asturias,5.8,5.8,7.5,127
O,2020-03-31,42,asturias,5.4,6.4,0.0,127
O,2020-04-01,29,asturias,9.6,3.1,0.3,127
O,2020-04-02,53,asturias,11.2,3.3,0.0,127
O,2020-04-03,37,asturias,9.9,5.6,0.0,127
O,2020-04-04,45,asturias,13.1,4.4,0.0,127
O,2020-04-05,44,asturias,17.3,2.8,3.5,127
O,2020-04-06,44,asturias,12.8,2.8,0.6,127
O,2020-04-07,45,asturias,13.2,3.6,0.0,127
O,2020-04-08,48,asturias,13.5,3.3,0.0,127
O,2020-04-09,42,asturias,13.2,1.7,3.0,127
O,2020-04-10,59,asturias,16.2,2.5,6.4,127
O,2020-04-11,51,asturias,13.7,2.5,1.3,127
O,2020-04-12,24,asturias,13.2,1.7,6.4,127
O,2020-04-13,31,asturias,10.7,2.8,0.0,127
O,2020-04-14,30,asturias,13.3,6.4,0.0,127
O,2020-04-15,39,asturias,16.4,2.2,0.0,127
O,2020-04-16,12,asturias,14.4,2.2,0.2,127
O,2020-04-17,12,asturias,14.6,2.5,3.7,127
O,2020-04-18,10,asturias,13.6,3.3,3.1,127
O,2020-04-19,7,asturias,12.2,2.5,0.6,127
O,2020-04-20,7,asturias,11.8,2.2,1.7,127
O,2020-04-21,15,asturias,13.8,3.1,0.3,127
O,2020-04-22,8,asturias,13.3,3.1,0.0,127
O,2020-04-23,9,asturias,13.9,3.1,0.0,127
O,2020-04-24,16,asturias,13.8,1.7,0.1,127
O,2020-04-25,3,asturias,14.2,1.9,0.0,127
O,2020-04-26,5,asturias,13.2,2.8,4.4,127
O,2020-04-27,5,asturias,14.2,3.3,0.4,127
O,2020-04-28,10,asturias,12.9,3.6,0.1,127
O,2020-04-29,3,asturias,14.2,3.3,0.4,127
O,2020-04-30,9,asturias,16.8,6.7,1.5,127
O,2020-05-01,2,asturias,18.6,5.6,0.3,127
O,2020-05-02,3,asturias,18.4,1.9,0.0,127
O,2020-05-03,3,asturias,15.7,4.4,0.0,127
O,2020-05-04,4,asturias,23.0,6.9,0.0,127
O,2020-05-05,4,asturias,16.6,4.2,0.2,127
O,2020-05-06,4,asturias,16.2,3.6,0.0,127
O,2020-05-07,3,asturias,15.0,2.5,2.1,127
O,2020-05-08,3,asturias,15.6,2.5,9.2,127
O,2020-05-09,3,asturias,14.2,2.2,22.4,127
O,2020-05-10,1,asturias,13.6,2.8,5.4,127
O,2020-05-11,5,asturias,13.6,3.6,0.1,127
O,2020-05-12,1,asturias,12.8,5.6,1.3,127
O,2020-05-13,2,asturias,12.8,3.3,0.3,127
O,2020-05-14,1,asturias,12.2,4.7,2.6,127
O,2020-05-15,3,asturias,12.7,3.9,0.1,127
O,2020-05-16,1,asturias,12.0,4.2,0.0,127
O,2020-05-17,4,asturias,13.2,4.2,0.0,127
O,2020-05-18,0,asturias,14.5,4.2,0.0,127
O,2020-05-19,0,asturias,15.8,3.6,0.0,127
O,2020-05-20,1,asturias,15.4,4.2,0.0,127
O,2020-05-21,1,asturias,17.2,2.8,0.0,127
