provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AV,2020-02-16,0,avila,10.0,1.7,0.0,1130
AV,2020-02-17,0,avila,6.9,3.3,0.0,1130
AV,2020-02-18,0,avila,3.4,2.5,0.0,1130
AV,2020-02-19,0,avila,5.8,0.8,0.0,1130
AV,2020-02-20,0,avila,5.4,1.7,0.0,1130
AV,2020-02-21,0,avila,9.0,1.7,0.0,1130
AV,2020-02-22,0,avila,10.4,1.7,0.0,1130
AV,2020-02-23,2,avila,10.5,2.2,0.0,1130
AV,2020-02-24,0,avila,9.8,2.5,0.0,1130
AV,2020-02-25,0,avila,8.6,4.4,0.0,1130
AV,2020-02-26,0,avila,5.8,5.6,0.0,1130
AV,2020-02-27,1,avila,8.8,5.0,0.0,1130
AV,2020-02-28,0,avila,9.8,2.2,0.0,1130
AV,2020-02-29,0,avila,10.5,5.6,0.0,1130
AV,2020-03-01,3,avila,10.3,5.0,3.0,1130
AV,2020-03-02,1,avila,6.4,8.3,0.4,1130
AV,2020-03-03,1,avila,7.2,7.2,0.0,1130
AV,2020-03-04,2,avila,10.4,4.4,0.0,1130
AV,2020-03-05,4,avila,7.0,5.8,1.2,1130
AV,2020-03-06,4,avila,4.8,8.9,0.0,1130
AV,2020-03-07,2,avila,5.5,3.6,0.0,1130
AV,2020-03-08,4,avila,5.6,2.5,0.0,1130
AV,2020-03-09,14,avila,7.6,3.6,0.0,1130
AV,2020-03-10,20,avila,12.4,1.7,0.0,1130
AV,2020-03-11,21,avila,14.4,1.7,0.0,1130
AV,2020-03-12,23,avila,16.3,3.1,0.0,1130
AV,2020-03-13,62,avila,10.1,2.8,0.0,1130
AV,2020-03-14,61,avila,10.2,2.2,0.0,1130
AV,2020-03-15,25,avila,10.9,3.6,1.0,1130
AV,2020-03-16,39,avila,1.1,4.4,16.8,1130
AV,2020-03-17,70,avila,6.6,3.9,0.2,1130
AV,2020-03-18,70,avila,10.0,3.1,0.0,1130
AV,2020-03-19,89,avila,9.0,3.1,0.0,1130
AV,2020-03-20,70,avila,7.2,4.4,0.2,1130
AV,2020-03-21,75,avila,6.0,4.2,0.4,1130
AV,2020-03-22,60,avila,6.5,1.9,0.2,1130
AV,2020-03-23,53,avila,8.4,2.2,0.4,1130
AV,2020-03-24,53,avila,9.2,3.1,0.0,1130
AV,2020-03-25,87,avila,8.4,2.8,0.0,1130
AV,2020-03-26,42,avila,5.7,3.9,0.0,1130
AV,2020-03-27,62,avila,4.4,3.3,0.0,1130
AV,2020-03-28,64,avila,6.0,2.2,0.0,1130
AV,2020-03-29,28,avila,8.0,3.1,0.0,1130
AV,2020-03-30,50,avila,1.9,3.3,2.4,1130
AV,2020-03-31,19,avila,3.2,3.6,5.6,1130
AV,2020-04-01,46,avila,7.0,3.1,0.0,1130
AV,2020-04-02,47,avila,4.8,3.6,1.8,1130
AV,2020-04-03,28,avila,6.9,1.4,0.0,1130
AV,2020-04-04,32,avila,9.0,4.2,0.0,1130
AV,2020-04-05,27,avila,11.1,5.0,1.0,1130
AV,2020-04-06,33,avila,12.6,2.5,0.4,1130
AV,2020-04-07,16,avila,12.5,3.1,1.8,1130
AV,2020-04-08,44,avila,13.7,2.5,0.0,1130
AV,2020-04-09,20,avila,11.4,2.8,17.8,1130
AV,2020-04-10,36,avila,11.4,1.7,4.2,1130
AV,2020-04-11,21,avila,12.8,2.5,2.0,1130
AV,2020-04-12,19,avila,11.8,4.2,0.0,1130
AV,2020-04-13,26,avila,11.0,3.6,0.0,1130
AV,2020-04-14,19,avila,11.4,2.8,11.0,1130
AV,2020-04-15,13,avila,9.1,3.6,9.2,1130
AV,2020-04-16,19,avila,9.6,4.4,4.2,1130
AV,2020-04-17,13,avila,11.6,2.8,0.6,1130
AV,2020-04-18,10,avila,10.8,1.7,2.6,1130
AV,2020-04-19,8,avila,9.6,4.2,5.4,1130
AV,2020-04-20,10,avila,8.6,1.7,5.4,1130
AV,2020-04-21,3,avila,7.0,3.3,1.0,1130
AV,2020-04-22,9,avila,9.5,3.1,0.0,1130
AV,2020-04-23,12,avila,12.4,2.5,0.0,1130
AV,2020-04-24,4,avila,13.8,3.1,0.0,1130
AV,2020-04-25,13,avila,13.5,2.5,10.0,1130
AV,2020-04-26,3,avila,12.6,1.9,0.4,1130
AV,2020-04-27,1,avila,10.0,2.5,5.4,1130
AV,2020-04-28,4,avila,8.4,3.9,0.0,1130
AV,2020-04-29,5,avila,11.0,3.9,0.0,1130
AV,2020-04-30,2,avila,11.7,4.2,0.0,1130
AV,2020-05-01,3,avila,14.2,5.0,0.0,1130
AV,2020-05-02,5,avila,17.2,3.1,0.0,1130
AV,2020-05-03,5,avila,16.4,3.3,0.0,1130
AV,2020-05-04,2,avila,19.2,3.6,0.0,1130
AV,2020-05-05,0,avila,14.8,2.8,0.0,1130
AV,2020-05-06,1,avila,14.2,1.7,0.0,1130
AV,2020-05-07,0,avila,16.7,3.6,0.0,1130
AV,2020-05-08,3,avila,17.2,2.8,0.0,1130
AV,2020-05-09,0,avila,14.6,2.8,2.0,1130
AV,2020-05-10,0,avila,11.0,3.6,0.0,1130
AV,2020-05-11,2,avila,11.2,2.2,2.2,1130
AV,2020-05-12,2,avila,10.5,1.7,12.0,1130
AV,2020-05-13,4,avila,12.2,3.1,1.6,1130
AV,2020-05-14,1,avila,10.2,1.9,2.0,1130
AV,2020-05-15,0,avila,9.6,2.2,6.4,1130
AV,2020-05-16,1,avila,10.9,3.1,0.0,1130
AV,2020-05-17,0,avila,11.4,3.1,0.0,1130
AV,2020-05-18,9,avila,13.2,3.1,0.0,1130
AV,2020-05-19,0,avila,15.6,2.8,0.0,1130
AV,2020-05-20,0,avila,17.2,2.8,0.0,1130
AV,2020-05-21,1,avila,18.8,2.8,0.0,1130
AV,2020-05-22,3,avila,20.2,2.8,0.0,1130
AV,2020-05-23,4,avila,19.2,2.5,0.0,1130
AV,2020-05-24,5,avila,19.6,2.5,0.0,1130
AV,2020-05-25,5,avila,20.3,1.9,0.0,1130
AV,2020-05-26,5,avila,19.2,3.3,0.0,1130
AV,2020-05-27,5,avila,19.7,3.9,0.0,1130
AV,2020-05-28,2,avila,20.1,3.6,0.0,1130
AV,2020-05-29,2,avila,21.0,1.9,0.0,1130
AV,2020-05-30,10,avila,21.5,3.1,0.0,1130
AV,2020-05-31,3,avila,18.5,2.2,11.0,1130
AV,2020-06-01,4,avila,18.4,3.3,0.0,1130
AV,2020-06-02,2,avila,18.9,2.8,0.0,1130
AV,2020-06-03,2,avila,18.0,3.3,0.8,1130
AV,2020-06-04,2,avila,14.6,5.8,0.0,1130
AV,2020-06-05,6,avila,16.1,2.2,0.0,1130
AV,2020-06-06,1,avila,18.2,2.5,0.0,1130
AV,2020-06-07,1,avila,14.6,3.9,0.0,1130
AV,2020-06-08,1,avila,11.8,3.9,0.0,1130
AV,2020-06-09,2,avila,12.3,3.1,0.0,1130
AV,2020-06-10,1,avila,15.2,2.8,0.0,1130
AV,2020-06-11,0,avila,13.6,5.0,0.0,1130
AV,2020-06-12,2,avila,11.3,5.0,1.8,1130
AV,2020-06-13,2,avila,13.2,3.6,0.0,1130
AV,2020-06-14,0,avila,15.0,3.9,0.0,1130
AV,2020-06-15,2,avila,17.1,3.6,0.0,1130
