provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BA,2020-02-16,0,badajoz,13.0,1.9,0.0,185
BA,2020-02-17,0,badajoz,11.4,1.9,0.0,185
BA,2020-02-18,0,badajoz,11.8,2.8,0.0,185
BA,2020-02-19,0,badajoz,11.2,1.7,0.0,185
BA,2020-02-20,0,badajoz,11.7,2.2,0.0,185
BA,2020-02-21,0,badajoz,13.0,1.9,0.0,185
BA,2020-02-22,0,badajoz,13.4,2.5,0.0,185
BA,2020-02-23,0,badajoz,13.6,2.5,0.0,185
BA,2020-02-24,0,badajoz,13.4,1.4,0.0,185
BA,2020-02-25,1,badajoz,12.2,3.1,0.0,185
BA,2020-02-26,0,badajoz,11.6,2.8,0.0,185
BA,2020-02-27,1,badajoz,12.6,1.4,0.0,185
BA,2020-02-28,2,badajoz,12.8,1.4,0.0,185
BA,2020-02-29,2,badajoz,13.3,2.8,1.6,185
BA,2020-03-01,0,badajoz,14.6,3.1,3.8,185
BA,2020-03-02,1,badajoz,13.2,6.1,0.0,185
BA,2020-03-03,0,badajoz,13.8,3.3,0.0,185
BA,2020-03-04,1,badajoz,15.9,2.8,0.0,185
BA,2020-03-05,0,badajoz,14.0,5.0,0.0,185
BA,2020-03-06,4,badajoz,12.8,6.1,0.0,185
BA,2020-03-07,2,badajoz,12.6,2.5,0.0,185
BA,2020-03-08,3,badajoz,10.4,1.9,0.0,185
BA,2020-03-09,9,badajoz,15.0,4.2,0.0,185
BA,2020-03-10,17,badajoz,15.8,1.9,0.0,185
BA,2020-03-11,16,badajoz,17.5,2.2,0.0,185
BA,2020-03-12,29,badajoz,17.2,1.4,0.0,185
BA,2020-03-13,19,badajoz,14.4,1.9,0.0,185
BA,2020-03-14,22,badajoz,15.7,1.7,0.0,185
BA,2020-03-15,20,badajoz,15.2,3.1,0.0,185
BA,2020-03-16,32,badajoz,9.2,6.1,0.4,185
BA,2020-03-17,31,badajoz,12.0,5.8,0.0,185
BA,2020-03-18,30,badajoz,17.5,5.6,0.0,185
BA,2020-03-19,41,badajoz,16.2,3.3,0.0,185
BA,2020-03-20,55,badajoz,13.0,0.8,42.0,185
BA,2020-03-21,36,badajoz,11.9,1.4,5.8,185
BA,2020-03-22,53,badajoz,12.0,1.7,0.0,185
