provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2020-02-16,0,baleares,13.6,3.3,0.0,57
PM,2020-02-18,0,baleares,13.2,7.5,0.0,57
PM,2020-02-19,0,baleares,14.4,3.1,0.0,57
PM,2020-02-20,1,baleares,14.4,2.8,0.0,57
PM,2020-02-21,0,baleares,15.0,5.3,0.0,57
PM,2020-02-22,0,baleares,15.8,2.8,0.0,57
PM,2020-02-23,0,baleares,15.6,2.2,0.0,57
PM,2020-02-24,0,baleares,17.2,1.9,0.0,57
PM,2020-02-25,0,baleares,16.2,1.9,0.0,57
PM,2020-02-26,0,baleares,15.6,3.9,0.0,57
PM,2020-02-27,4,baleares,16.6,3.1,0.0,57
PM,2020-02-29,2,baleares,18.4,2.8,0.0,57
PM,2020-03-01,4,baleares,19.4,1.4,0.1,57
PM,2020-03-02,6,baleares,16.8,3.9,4.1,57
PM,2020-03-03,8,baleares,15.5,4.2,0.0,57
PM,2020-03-04,5,baleares,15.1,3.9,0.0,57
PM,2020-03-05,12,baleares,18.2,3.1,0.0,57
PM,2020-03-06,10,baleares,14.1,3.3,8.3,57
PM,2020-03-07,6,baleares,13.6,6.1,0.0,57
PM,2020-03-08,14,baleares,16.0,2.5,0.0,57
PM,2020-03-09,16,baleares,15.0,2.2,0.0,57
PM,2020-03-10,36,baleares,15.2,4.4,0.0,57
PM,2020-03-11,42,baleares,16.8,3.6,0.0,57
PM,2020-03-12,41,baleares,16.8,3.6,0.0,57
PM,2020-03-13,61,baleares,16.7,6.7,0.2,57
PM,2020-03-14,69,baleares,16.3,3.1,0.0,57
PM,2020-03-15,83,baleares,15.9,3.1,0.0,57
PM,2020-03-16,85,baleares,15.2,8.6,0.3,57
PM,2020-03-17,79,baleares,15.4,8.3,0.0,57
PM,2020-03-18,81,baleares,15.8,4.7,0.0,57
PM,2020-03-19,103,baleares,15.2,4.2,0.0,57
PM,2020-03-20,97,baleares,15.4,7.2,0.0,57
PM,2020-03-21,62,baleares,15.6,5.0,0.3,57
PM,2020-03-22,90,baleares,13.9,6.7,6.3,57
PM,2020-03-23,81,baleares,16.2,3.9,0.0,57
PM,2020-03-24,65,baleares,12.5,10.6,0.0,57
PM,2020-03-25,82,baleares,11.6,8.1,0.0,57
PM,2020-03-26,70,baleares,10.7,3.1,39.0,57
PM,2020-03-27,38,baleares,12.8,7.2,2.6,57
PM,2020-03-28,35,baleares,13.6,6.1,0.1,57
PM,2020-03-29,37,baleares,15.4,2.8,0.0,57
PM,2020-03-30,63,baleares,15.2,4.7,0.0,57
PM,2020-03-31,47,baleares,15.0,11.1,1.5,57
PM,2020-04-01,83,baleares,16.6,5.3,0.1,57
PM,2020-04-02,35,baleares,15.2,2.8,10.0,57
PM,2020-04-03,45,baleares,14.2,9.7,0.0,57
PM,2020-04-04,25,baleares,15.6,3.3,0.0,57
PM,2020-04-05,29,baleares,15.2,2.5,0.0,57
PM,2020-04-06,23,baleares,17.2,3.3,0.0,57
PM,2020-04-07,19,baleares,16.7,2.8,0.0,57
PM,2020-04-08,23,baleares,17.8,2.8,0.0,57
PM,2020-04-09,11,baleares,18.0,1.7,0.0,57
PM,2020-04-10,21,baleares,17.2,2.2,0.0,57
PM,2020-04-11,15,baleares,18.1,2.2,0.0,57
PM,2020-04-12,15,baleares,17.4,6.1,10.9,57
PM,2020-04-13,13,baleares,17.4,2.8,1.9,57
PM,2020-04-14,9,baleares,16.9,5.6,0.0,57
PM,2020-04-15,8,baleares,16.6,6.4,0.0,57
PM,2020-04-16,14,baleares,18.5,3.6,0.0,57
PM,2020-04-17,8,baleares,17.4,4.2,0.0,57
PM,2020-04-18,12,baleares,19.8,3.1,6.4,57
PM,2020-04-19,10,baleares,17.4,6.9,4.3,57
PM,2020-04-20,16,baleares,16.7,1.4,54.2,57
PM,2020-04-21,10,baleares,15.6,3.6,5.4,57
PM,2020-04-22,6,baleares,16.8,7.2,0.0,57
PM,2020-04-23,5,baleares,17.4,7.2,0.0,57
PM,2020-04-24,10,baleares,18.1,3.3,0.0,57
PM,2020-04-25,11,baleares,18.1,4.4,0.0,57
PM,2020-04-26,0,baleares,19.0,4.2,0.0,57
PM,2020-04-27,3,baleares,18.0,4.2,0.0,57
PM,2020-04-28,4,baleares,19.6,1.9,0.0,57
PM,2020-04-30,5,baleares,21.8,2.8,0.0,57
PM,2020-05-01,10,baleares,22.6,2.2,0.0,57
PM,2020-05-02,2,baleares,23.8,4.7,0.0,57
PM,2020-05-03,4,baleares,21.6,3.1,0.0,57
PM,2020-05-04,1,baleares,21.4,3.6,0.0,57
PM,2020-05-05,4,baleares,21.8,1.9,0.0,57
PM,2020-05-06,4,baleares,21.2,5.6,0.0,57
PM,2020-05-07,2,baleares,21.6,6.1,0.0,57
PM,2020-05-08,4,baleares,20.6,6.9,0.0,57
PM,2020-05-09,0,baleares,20.0,3.6,15.8,57
PM,2020-05-10,7,baleares,18.9,6.7,4.1,57
PM,2020-05-11,8,baleares,21.2,3.3,0.0,57
PM,2020-05-12,7,baleares,21.0,3.6,0.7,57
PM,2020-05-13,10,baleares,21.2,2.8,0.0,57
PM,2020-05-14,7,baleares,18.1,2.5,4.8,57
PM,2020-05-15,16,baleares,19.4,3.9,0.1,57
PM,2020-05-16,0,baleares,19.5,13.3,0.0,57
PM,2020-05-17,5,baleares,20.4,6.1,0.0,57
PM,2020-05-18,5,baleares,20.4,3.3,0.0,57
PM,2020-05-19,12,baleares,23.4,3.3,0.0,57
PM,2020-05-20,6,baleares,23.8,4.4,0.0,57
PM,2020-05-21,5,baleares,23.8,2.2,0.0,57
PM,2020-05-22,3,baleares,24.7,2.5,0.0,57
PM,2020-05-23,2,baleares,22.6,4.2,0.0,57
PM,2020-05-24,2,baleares,20.8,7.2,0.0,57
