provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CC,2020-02-16,0,caceres,12.7,1.4,0.0,394
CC,2020-02-17,1,caceres,12.1,3.1,0.0,394
CC,2020-02-18,0,caceres,10.9,1.9,0.0,394
CC,2020-02-19,1,caceres,9.8,1.4,0.0,394
CC,2020-02-20,0,caceres,10.4,1.4,0.0,394
CC,2020-02-21,0,caceres,12.6,1.4,0.0,394
CC,2020-02-22,0,caceres,12.4,1.4,0.0,394
CC,2020-02-23,0,caceres,13.6,1.7,0.0,394
CC,2020-02-24,0,caceres,13.4,1.9,0.0,394
CC,2020-02-25,1,caceres,12.7,5.3,0.0,394
CC,2020-02-26,0,caceres,10.7,4.2,0.0,394
CC,2020-02-27,0,caceres,12.4,3.1,0.0,394
CC,2020-02-28,4,caceres,12.6,1.9,0.0,394
CC,2020-02-29,1,caceres,11.8,4.4,0.0,394
CC,2020-03-01,4,caceres,12.6,3.9,7.4,394
CC,2020-03-02,5,caceres,11.0,6.7,0.0,394
CC,2020-03-03,4,caceres,12.2,5.0,0.0,394
CC,2020-03-04,4,caceres,14.4,4.4,0.0,394
CC,2020-03-05,5,caceres,11.8,5.8,1.4,394
CC,2020-03-06,7,caceres,11.2,6.1,0.0,394
CC,2020-03-07,11,caceres,11.1,2.2,0.0,394
CC,2020-03-08,12,caceres,11.4,2.8,0.0,394
CC,2020-03-09,21,caceres,13.0,3.3,0.0,394
CC,2020-03-10,16,caceres,15.8,1.7,0.0,394
CC,2020-03-11,41,caceres,17.0,0.6,0.0,394
CC,2020-03-12,42,caceres,17.9,2.2,0.0,394
CC,2020-03-13,62,caceres,15.6,2.2,0.0,394
CC,2020-03-14,48,caceres,15.5,1.1,0.0,394
CC,2020-03-15,42,caceres,13.8,3.6,0.0,394
CC,2020-03-16,64,caceres,6.8,5.6,1.2,394
CC,2020-03-17,60,caceres,10.5,3.9,0.0,394
CC,2020-03-18,71,caceres,14.4,3.1,0.0,394
CC,2020-03-19,62,caceres,13.6,1.9,4.4,394
CC,2020-03-20,73,caceres,11.4,2.5,38.6,394
CC,2020-03-21,72,caceres,11.0,3.6,1.6,394
