provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2020-02-16,0,cadiz,15.6,2.8,0.0,2
CA,2020-02-17,0,cadiz,15.4,1.9,0.0,2
CA,2020-02-18,1,cadiz,16.6,2.5,0.0,2
CA,2020-02-19,0,cadiz,16.8,6.7,0.0,2
CA,2020-02-20,0,cadiz,16.8,8.1,0.0,2
CA,2020-02-21,0,cadiz,16.6,8.1,0.0,2
CA,2020-02-22,0,cadiz,17.3,6.1,0.0,2
CA,2020-02-23,0,cadiz,16.7,10.3,0.0,2
CA,2020-02-24,0,cadiz,16.4,1.9,0.0,2
CA,2020-02-25,0,cadiz,14.5,2.5,0.1,2
CA,2020-02-26,1,cadiz,15.6,4.2,0.0,2
CA,2020-02-27,0,cadiz,15.6,4.4,0.0,2
CA,2020-02-28,0,cadiz,15.6,2.8,0.0,2
CA,2020-02-29,1,cadiz,16.6,3.1,2.6,2
CA,2020-03-01,1,cadiz,17.3,2.2,0.0,2
CA,2020-03-02,3,cadiz,17.4,4.4,0.1,2
CA,2020-03-03,5,cadiz,15.6,2.5,0.0,2
CA,2020-03-04,2,cadiz,16.9,4.4,0.0,2
CA,2020-03-05,1,cadiz,15.9,5.0,0.0,2
CA,2020-03-06,2,cadiz,15.4,5.6,0.0,2
CA,2020-03-07,3,cadiz,15.6,4.4,0.0,2
CA,2020-03-08,6,cadiz,15.5,3.3,0.0,2
CA,2020-03-09,12,cadiz,16.6,5.3,0.0,2
CA,2020-03-10,19,cadiz,18.9,4.7,0.0,2
CA,2020-03-11,28,cadiz,19.8,5.3,0.0,2
CA,2020-03-12,26,cadiz,17.1,2.5,0.0,2
CA,2020-03-13,33,cadiz,16.8,1.7,0.0,2
CA,2020-03-14,46,cadiz,17.2,2.2,0.0,2
CA,2020-03-15,54,cadiz,18.0,3.3,0.1,2
CA,2020-03-16,66,cadiz,14.0,6.9,1.0,2
CA,2020-03-17,54,cadiz,12.6,7.8,50.4,2
CA,2020-03-18,47,cadiz,17.0,6.1,0.0,2
CA,2020-03-19,55,cadiz,17.3,8.1,0.3,2
CA,2020-03-20,65,cadiz,15.4,8.9,13.9,2
CA,2020-03-21,62,cadiz,14.4,5.6,11.7,2
CA,2020-03-22,39,cadiz,13.8,2.2,0.0,2
CA,2020-03-23,52,cadiz,14.4,2.8,0.1,2
CA,2020-03-24,47,cadiz,13.6,2.8,5.6,2
CA,2020-03-25,39,cadiz,16.2,3.1,0.0,2
CA,2020-03-26,35,cadiz,15.8,3.3,0.0,2
CA,2020-03-27,30,cadiz,15.2,1.9,0.0,2
CA,2020-03-28,30,cadiz,15.4,2.5,0.0,2
CA,2020-03-29,33,cadiz,15.6,2.5,0.0,2
CA,2020-03-30,35,cadiz,15.7,3.6,41.4,2
CA,2020-03-31,20,cadiz,16.6,3.6,1.4,2
CA,2020-04-01,29,cadiz,14.4,3.1,11.1,2
CA,2020-04-02,21,cadiz,14.3,4.2,0.5,2
CA,2020-04-03,17,cadiz,16.0,4.7,0.0,2
CA,2020-04-04,12,cadiz,16.4,11.7,0.3,2
CA,2020-04-05,12,cadiz,18.3,4.4,0.0,2
