provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2020-02-16,0,cantabria,19.0,10.6,4.2,45
S,2020-02-17,0,cantabria,12.5,4.2,1.8,45
S,2020-02-18,0,cantabria,10.4,2.2,0.4,45
S,2020-02-19,0,cantabria,10.2,1.4,0.0,45
S,2020-02-20,0,cantabria,9.4,3.1,0.0,45
S,2020-02-21,0,cantabria,11.0,2.2,0.1,45
S,2020-02-22,0,cantabria,11.0,3.1,0.0,45
S,2020-02-23,1,cantabria,9.5,0.8,0.0,45
S,2020-02-26,0,cantabria,10.2,5.8,5.2,45
S,2020-02-27,0,cantabria,13.5,6.7,5.2,45
S,2020-02-28,0,cantabria,15.4,2.5,0.0,45
S,2020-02-29,1,cantabria,14.4,4.7,0.0,45
S,2020-03-01,1,cantabria,12.5,5.0,16.8,45
S,2020-03-02,0,cantabria,9.9,8.9,22.2,45
S,2020-03-03,0,cantabria,12.6,8.9,6.7,45
S,2020-03-04,0,cantabria,14.4,0.8,3.2,45
S,2020-03-05,0,cantabria,14.5,9.2,22.8,45
S,2020-03-06,9,cantabria,8.6,9.2,7.4,45
S,2020-03-07,12,cantabria,10.6,3.9,2.1,45
S,2020-03-08,17,cantabria,11.4,3.1,4.5,45
S,2020-03-09,9,cantabria,11.6,5.8,1.5,45
S,2020-03-10,3,cantabria,11.5,1.4,0.0,45
S,2020-03-11,17,cantabria,12.2,1.1,0.0,45
S,2020-03-12,36,cantabria,12.4,1.4,4.3,45
S,2020-03-13,54,cantabria,9.5,3.1,0.0,45
S,2020-03-14,59,cantabria,9.6,1.9,0.0,45
S,2020-03-15,68,cantabria,10.6,3.1,19.7,45
S,2020-03-16,72,cantabria,9.2,5.0,7.0,45
S,2020-03-17,75,cantabria,11.5,1.4,0.0,45
S,2020-03-18,89,cantabria,11.5,1.9,0.0,45
S,2020-03-19,178,cantabria,12.0,1.4,0.0,45
S,2020-03-20,143,cantabria,15.0,3.6,0.0,45
S,2020-03-21,99,cantabria,15.6,3.1,0.0,45
S,2020-03-22,84,cantabria,11.8,4.2,0.0,45
S,2020-03-23,88,cantabria,12.9,3.1,0.0,45
S,2020-03-24,58,cantabria,13.8,1.9,0.0,45
S,2020-03-25,57,cantabria,11.3,2.8,0.0,45
S,2020-03-26,39,cantabria,10.9,5.3,0.0,45
S,2020-03-27,73,cantabria,8.9,2.8,0.0,45
S,2020-03-28,68,cantabria,11.2,1.1,0.0,45
S,2020-03-29,39,cantabria,10.8,4.2,2.6,45
S,2020-03-30,27,cantabria,5.8,4.2,5.9,45
S,2020-03-31,33,cantabria,5.7,3.6,1.5,45
S,2020-04-01,72,cantabria,13.8,3.3,0.9,45
S,2020-04-02,53,cantabria,11.6,3.3,0.0,45
S,2020-04-03,34,cantabria,10.1,3.3,0.0,45
S,2020-04-04,63,cantabria,15.8,3.9,0.0,45
S,2020-04-05,25,cantabria,20.4,5.3,2.1,45
S,2020-04-06,27,cantabria,14.6,1.9,11.1,45
S,2020-04-07,13,cantabria,13.2,3.1,6.2,45
S,2020-04-08,27,cantabria,13.9,1.4,0.0,45
S,2020-04-09,23,cantabria,17.0,1.7,0.0,45
S,2020-04-10,29,cantabria,16.4,1.1,5.8,45
S,2020-04-11,24,cantabria,14.6,2.5,10.6,45
S,2020-04-12,46,cantabria,15.2,1.1,5.2,45
S,2020-04-13,35,cantabria,13.2,2.2,0.1,45
S,2020-04-14,14,cantabria,13.5,3.1,0.0,45
S,2020-04-15,17,cantabria,17.6,4.2,0.0,45
S,2020-04-16,18,cantabria,19.1,3.9,0.5,45
S,2020-04-17,26,cantabria,18.4,2.5,0.4,45
S,2020-04-18,13,cantabria,15.1,1.7,4.3,45
S,2020-04-19,15,cantabria,14.1,3.6,0.0,45
S,2020-04-20,25,cantabria,14.6,1.7,0.0,45
S,2020-04-21,10,cantabria,13.2,4.7,3.4,45
S,2020-04-22,26,cantabria,13.6,4.2,0.0,45
S,2020-04-23,26,cantabria,14.0,1.9,0.0,45
S,2020-04-24,14,cantabria,15.6,2.2,0.2,45
S,2020-04-25,13,cantabria,15.4,2.8,0.0,45
S,2020-04-26,4,cantabria,15.6,1.9,5.2,45
S,2020-04-27,2,cantabria,15.2,2.8,2.4,45
S,2020-04-28,5,cantabria,13.6,3.6,4.0,45
S,2020-04-29,4,cantabria,15.3,4.4,0.1,45
S,2020-04-30,12,cantabria,15.1,1.9,0.8,45
S,2020-05-01,16,cantabria,16.6,2.5,2.7,45
S,2020-05-02,0,cantabria,18.8,1.1,0.0,45
S,2020-05-03,3,cantabria,17.5,2.2,0.0,45
S,2020-05-04,2,cantabria,22.8,2.8,2.4,45
S,2020-05-05,0,cantabria,18.0,1.4,0.0,45
S,2020-05-06,1,cantabria,16.8,1.4,0.0,45
S,2020-05-07,0,cantabria,16.8,1.4,3.7,45
S,2020-05-11,8,cantabria,14.8,5.3,2.6,45
S,2020-05-12,8,cantabria,12.3,1.4,3.7,45
S,2020-05-13,1,cantabria,14.2,1.7,0.9,45
S,2020-05-14,2,cantabria,14.4,3.6,0.3,45
S,2020-05-15,2,cantabria,14.4,3.1,0.0,45
S,2020-05-16,4,cantabria,14.6,4.7,0.0,45
S,2020-05-17,1,cantabria,14.2,1.7,0.0,45
S,2020-05-18,5,cantabria,14.6,1.7,0.0,45
S,2020-05-19,2,cantabria,16.2,1.4,0.0,45
S,2020-05-20,0,cantabria,18.5,1.4,0.0,45
S,2020-05-21,3,cantabria,18.0,2.5,0.0,45
S,2020-05-22,1,cantabria,18.7,2.2,9.5,45
S,2020-05-23,4,cantabria,15.5,3.3,3.8,45
S,2020-05-24,1,cantabria,15.2,3.9,0.0,45
S,2020-05-25,1,cantabria,17.2,1.7,0.0,45
S,2020-05-26,4,cantabria,17.0,2.2,0.0,45
S,2020-05-27,2,cantabria,17.3,1.4,0.0,45
S,2020-05-28,2,cantabria,23.1,3.9,0.0,45
S,2020-05-29,2,cantabria,20.0,1.1,0.0,45
S,2020-05-30,2,cantabria,20.2,1.1,0.0,45
S,2020-05-31,1,cantabria,19.8,2.2,0.0,45
S,2020-06-01,4,cantabria,19.8,5.0,0.0,45
S,2020-06-02,2,cantabria,19.4,1.9,0.0,45
S,2020-06-03,0,cantabria,19.6,4.2,30.2,45
S,2020-06-04,0,cantabria,16.0,5.6,7.8,45
S,2020-06-06,0,cantabria,16.6,4.7,7.6,45
S,2020-06-07,3,cantabria,14.8,4.2,1.2,45
S,2020-06-08,1,cantabria,15.5,5.8,1.7,45
S,2020-06-09,1,cantabria,16.4,5.6,0.0,45
S,2020-06-10,1,cantabria,16.6,1.9,0.1,45
S,2020-06-11,4,cantabria,15.2,3.6,12.0,45
S,2020-06-12,1,cantabria,14.8,3.6,5.1,45
S,2020-06-13,1,cantabria,17.4,1.4,2.1,45
S,2020-06-14,1,cantabria,17.0,3.3,0.0,45
S,2020-06-15,1,cantabria,17.9,1.9,4.4,45
