provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CS,2020-02-16,0,castellon,13.0,1.4,0.0,43
CS,2020-02-17,0,castellon,13.6,1.7,0.0,43
CS,2020-02-18,0,castellon,13.5,1.1,0.0,43
CS,2020-02-19,0,castellon,12.8,2.2,0.0,43
CS,2020-02-20,0,castellon,12.0,2.2,0.0,43
CS,2020-02-21,0,castellon,12.8,1.9,0.0,43
CS,2020-02-22,1,castellon,12.9,1.1,0.0,43
CS,2020-02-23,0,castellon,13.2,1.7,0.0,43
CS,2020-02-24,2,castellon,14.4,1.7,0.0,43
CS,2020-02-25,1,castellon,15.6,1.4,0.0,43
CS,2020-02-26,1,castellon,14.6,1.7,0.0,43
CS,2020-02-27,1,castellon,16.9,2.2,0.0,43
CS,2020-02-28,2,castellon,15.3,1.9,0.0,43
CS,2020-02-29,0,castellon,16.2,3.9,0.0,43
CS,2020-03-01,5,castellon,19.5,5.0,0.0,43
CS,2020-03-02,6,castellon,15.9,6.9,0.0,43
CS,2020-03-03,1,castellon,17.0,5.3,0.0,43
CS,2020-03-04,2,castellon,17.8,1.4,0.0,43
CS,2020-03-05,4,castellon,18.6,4.2,0.0,43
CS,2020-03-06,4,castellon,14.8,3.3,0.0,43
CS,2020-03-07,8,castellon,14.0,1.7,0.0,43
CS,2020-03-08,6,castellon,14.2,1.9,0.0,43
CS,2020-03-09,13,castellon,15.4,1.9,0.0,43
CS,2020-03-10,21,castellon,13.4,0.8,0.0,43
CS,2020-03-11,20,castellon,15.8,1.4,0.0,43
CS,2020-03-12,45,castellon,15.3,1.1,0.0,43
CS,2020-03-13,54,castellon,15.0,1.4,0.0,43
CS,2020-03-14,42,castellon,14.5,1.7,0.0,43
CS,2020-03-15,52,castellon,14.5,2.5,2.0,43
CS,2020-03-16,62,castellon,13.9,1.9,15.4,43
CS,2020-03-17,53,castellon,13.6,2.5,10.0,43
CS,2020-03-18,55,castellon,13.7,1.4,0.0,43
CS,2020-03-19,60,castellon,13.1,1.9,0.0,43
CS,2020-03-20,56,castellon,14.0,2.2,0.0,43
CS,2020-03-21,59,castellon,12.6,1.7,4.0,43
CS,2020-03-22,51,castellon,13.3,1.4,5.4,43
CS,2020-03-23,55,castellon,14.4,2.2,0.6,43
CS,2020-03-24,50,castellon,12.2,3.9,7.6,43
CS,2020-03-25,64,castellon,9.0,1.7,1.0,43
CS,2020-03-26,46,castellon,10.6,2.2,0.0,43
CS,2020-03-27,31,castellon,10.8,2.2,0.0,43
CS,2020-03-28,30,castellon,12.1,2.5,0.0,43
CS,2020-03-29,42,castellon,15.8,2.8,0.0,43
CS,2020-03-30,26,castellon,10.6,1.7,9.4,43
CS,2020-03-31,20,castellon,9.8,3.3,150.0,43
CS,2020-04-01,29,castellon,15.0,3.1,1.6,43
CS,2020-04-02,48,castellon,13.5,1.9,0.2,43
CS,2020-04-03,28,castellon,14.0,2.5,0.0,43
CS,2020-04-04,26,castellon,13.2,2.2,0.0,43
CS,2020-04-05,24,castellon,13.6,2.2,0.0,43
CS,2020-04-06,24,castellon,14.6,2.2,0.0,43
CS,2020-04-07,35,castellon,15.4,1.7,0.4,43
CS,2020-04-08,37,castellon,15.6,2.2,0.0,43
CS,2020-04-09,29,castellon,16.2,2.2,0.0,43
CS,2020-04-10,20,castellon,16.2,1.4,0.0,43
CS,2020-04-11,20,castellon,17.2,1.9,0.0,43
CS,2020-04-12,15,castellon,15.8,1.9,0.6,43
CS,2020-04-13,21,castellon,16.6,2.2,1.4,43
CS,2020-04-14,19,castellon,16.3,1.9,0.0,43
CS,2020-04-15,16,castellon,13.6,1.1,22.6,43
CS,2020-04-16,6,castellon,15.8,2.2,0.0,43
CS,2020-04-17,8,castellon,16.4,2.2,0.0,43
CS,2020-04-18,9,castellon,17.6,1.7,20.0,43
CS,2020-04-19,2,castellon,17.6,1.7,1.6,43
CS,2020-04-20,7,castellon,18.9,1.7,0.6,43
CS,2020-04-21,10,castellon,14.8,1.4,6.0,43
CS,2020-04-22,2,castellon,17.6,2.8,0.0,43
CS,2020-04-23,4,castellon,17.4,2.2,0.0,43
CS,2020-04-24,2,castellon,16.9,2.2,0.0,43
CS,2020-04-25,2,castellon,16.4,1.9,0.0,43
CS,2020-04-26,9,castellon,16.4,1.9,0.0,43
CS,2020-04-27,5,castellon,18.0,1.9,0.0,43
CS,2020-04-28,1,castellon,18.5,2.8,0.0,43
CS,2020-04-29,5,castellon,19.2,3.3,0.0,43
CS,2020-04-30,2,castellon,22.3,4.4,0.0,43
CS,2020-05-01,5,castellon,24.4,3.6,0.0,43
CS,2020-05-02,7,castellon,24.8,2.2,0.0,43
CS,2020-05-03,1,castellon,22.5,1.9,0.0,43
CS,2020-05-04,1,castellon,20.5,1.9,0.0,43
CS,2020-05-05,1,castellon,21.0,1.4,0.0,43
CS,2020-05-06,2,castellon,21.6,2.5,0.0,43
CS,2020-05-07,1,castellon,21.3,2.5,0.0,43
CS,2020-05-08,0,castellon,20.2,2.5,0.0,43
CS,2020-05-09,1,castellon,20.7,1.4,1.4,43
CS,2020-05-10,4,castellon,19.6,2.2,1.6,43
CS,2020-05-11,7,castellon,21.2,4.4,0.0,43
CS,2020-05-12,1,castellon,19.6,2.2,2.6,43
CS,2020-05-13,3,castellon,20.1,2.5,0.0,43
CS,2020-05-14,3,castellon,16.0,1.1,27.4,43
CS,2020-05-15,5,castellon,17.2,2.2,0.4,43
CS,2020-05-16,0,castellon,18.7,2.2,0.0,43
CS,2020-05-17,1,castellon,19.3,2.8,0.0,43
CS,2020-05-18,2,castellon,20.0,2.2,0.0,43
CS,2020-05-19,2,castellon,21.7,1.9,0.0,43
CS,2020-05-20,5,castellon,23.1,2.2,0.0,43
CS,2020-05-21,1,castellon,23.6,1.9,0.0,43
CS,2020-05-22,0,castellon,22.9,1.7,0.0,43
CS,2020-05-23,4,castellon,23.4,1.7,0.0,43
CS,2020-05-24,1,castellon,21.7,2.5,0.0,43
CS,2020-05-25,1,castellon,20.8,1.4,2.4,43
CS,2020-05-26,3,castellon,21.2,1.9,0.0,43
CS,2020-05-27,4,castellon,22.2,2.2,0.0,43
CS,2020-05-28,4,castellon,21.2,2.8,0.0,43
CS,2020-05-29,3,castellon,22.2,3.1,0.0,43
CS,2020-05-30,0,castellon,22.0,2.5,0.0,43
CS,2020-05-31,3,castellon,21.8,2.2,0.0,43
CS,2020-06-01,0,castellon,22.4,1.9,0.0,43
CS,2020-06-02,0,castellon,22.8,2.2,0.0,43
CS,2020-06-03,2,castellon,22.8,1.9,0.0,43
CS,2020-06-04,3,castellon,18.8,1.7,18.0,43
CS,2020-06-05,0,castellon,20.8,1.9,0.0,43
CS,2020-06-06,0,castellon,21.6,1.9,0.0,43
CS,2020-06-07,0,castellon,21.8,2.8,31.0,43
CS,2020-06-08,1,castellon,18.7,1.7,0.0,43
CS,2020-06-09,2,castellon,19.6,2.8,0.0,43
CS,2020-06-10,0,castellon,20.4,3.1,0.0,43
CS,2020-06-11,1,castellon,23.4,2.8,0.0,43
CS,2020-06-12,2,castellon,24.6,3.9,0.0,43
CS,2020-06-13,0,castellon,24.1,3.6,0.0,43
CS,2020-06-14,0,castellon,21.9,2.2,0.0,43
CS,2020-06-15,1,castellon,22.6,1.9,0.0,43
