provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CR,2020-02-16,0,ciudadReal,11.8,1.4,0.0,628
CR,2020-02-17,0,ciudadReal,10.9,1.7,0.0,628
CR,2020-02-18,0,ciudadReal,11.6,1.4,0.0,628
CR,2020-02-19,0,ciudadReal,10.4,1.7,0.0,628
CR,2020-02-20,0,ciudadReal,8.8,1.7,0.0,628
CR,2020-02-21,0,ciudadReal,10.1,1.4,0.0,628
CR,2020-02-22,0,ciudadReal,11.5,1.4,0.0,628
CR,2020-02-23,0,ciudadReal,12.0,0.8,0.0,628
CR,2020-02-24,0,ciudadReal,12.0,1.1,0.0,628
CR,2020-02-25,0,ciudadReal,13.6,3.1,0.0,628
CR,2020-02-26,0,ciudadReal,12.8,1.7,0.0,628
CR,2020-02-27,1,ciudadReal,10.5,1.4,0.0,628
CR,2020-02-28,6,ciudadReal,11.8,0.8,0.0,628
CR,2020-02-29,3,ciudadReal,12.0,3.1,1.0,628
CR,2020-03-01,14,ciudadReal,12.4,3.6,6.0,628
CR,2020-03-02,23,ciudadReal,11.2,5.8,4.0,628
CR,2020-03-03,9,ciudadReal,9.4,3.9,0.0,628
CR,2020-03-04,11,ciudadReal,13.2,2.8,0.0,628
CR,2020-03-05,22,ciudadReal,12.0,3.9,0.0,628
CR,2020-03-06,34,ciudadReal,9.9,3.9,0.0,628
CR,2020-03-07,45,ciudadReal,9.2,1.7,0.0,628
CR,2020-03-08,37,ciudadReal,10.8,1.9,0.0,628
CR,2020-03-09,62,ciudadReal,13.0,1.9,0.0,628
CR,2020-03-10,94,ciudadReal,14.6,1.7,0.0,628
CR,2020-03-11,113,ciudadReal,17.1,0.8,0.0,628
CR,2020-03-12,147,ciudadReal,18.0,1.4,0.0,628
CR,2020-03-13,236,ciudadReal,17.6,2.2,0.0,628
CR,2020-03-14,219,ciudadReal,15.5,1.4,0.0,628
CR,2020-03-15,285,ciudadReal,15.4,1.4,12.6,628
CR,2020-03-16,308,ciudadReal,7.0,2.2,0.8,628
CR,2020-03-17,243,ciudadReal,10.2,4.4,0.0,628
CR,2020-03-18,288,ciudadReal,12.7,4.7,0.0,628
CR,2020-03-19,216,ciudadReal,12.2,2.8,0.0,628
CR,2020-03-20,335,ciudadReal,12.9,1.9,2.8,628
CR,2020-03-21,194,ciudadReal,10.3,2.8,3.2,628
CR,2020-03-22,206,ciudadReal,7.1,0.8,4.2,628
CR,2020-03-23,250,ciudadReal,11.1,2.5,1.2,628
CR,2020-03-24,192,ciudadReal,10.5,5.8,0.0,628
CR,2020-03-25,220,ciudadReal,10.6,1.9,0.0,628
CR,2020-03-26,178,ciudadReal,13.4,2.2,0.0,628
CR,2020-03-27,145,ciudadReal,5.8,3.3,0.0,628
CR,2020-03-28,123,ciudadReal,9.2,2.5,0.0,628
CR,2020-03-29,92,ciudadReal,10.6,1.4,0.0,628
CR,2020-03-30,154,ciudadReal,8.2,2.5,11.0,628
CR,2020-03-31,99,ciudadReal,9.8,2.5,18.0,628
CR,2020-04-01,119,ciudadReal,11.9,2.2,0.0,628
CR,2020-04-02,69,ciudadReal,10.0,1.7,0.0,628
CR,2020-04-03,87,ciudadReal,11.7,0.8,0.0,628
CR,2020-04-04,92,ciudadReal,13.2,2.2,0.0,628
CR,2020-04-05,136,ciudadReal,15.6,2.2,0.4,628
CR,2020-04-06,129,ciudadReal,16.0,1.4,0.2,628
CR,2020-04-07,59,ciudadReal,17.3,1.7,0.0,628
CR,2020-04-08,85,ciudadReal,15.9,1.7,0.0,628
CR,2020-04-09,37,ciudadReal,13.2,1.4,8.4,628
CR,2020-04-10,42,ciudadReal,14.7,1.1,7.6,628
CR,2020-04-11,46,ciudadReal,16.0,1.9,0.4,628
CR,2020-04-12,47,ciudadReal,14.5,1.7,0.0,628
CR,2020-04-13,73,ciudadReal,14.2,1.7,2.6,628
CR,2020-04-14,35,ciudadReal,15.0,1.9,9.0,628
CR,2020-04-15,45,ciudadReal,13.6,2.8,2.0,628
CR,2020-04-16,18,ciudadReal,15.4,2.2,0.0,628
CR,2020-04-17,30,ciudadReal,16.2,1.7,1.2,628
CR,2020-04-18,28,ciudadReal,16.9,1.4,1.2,628
CR,2020-04-19,12,ciudadReal,14.2,1.4,11.6,628
CR,2020-04-20,30,ciudadReal,12.6,2.8,1.6,628
CR,2020-04-21,31,ciudadReal,12.7,2.2,0.0,628
CR,2020-04-22,18,ciudadReal,15.0,1.7,0.0,628
CR,2020-04-23,15,ciudadReal,16.0,1.9,0.7,628
CR,2020-04-24,10,ciudadReal,16.8,1.7,0.0,628
CR,2020-04-25,13,ciudadReal,15.5,2.8,1.6,628
CR,2020-04-26,22,ciudadReal,15.8,2.2,0.0,628
CR,2020-04-27,12,ciudadReal,13.6,2.8,1.6,628
CR,2020-04-28,9,ciudadReal,13.1,2.5,0.0,628
CR,2020-04-29,12,ciudadReal,14.5,2.8,0.0,628
CR,2020-04-30,10,ciudadReal,15.4,3.9,0.0,628
CR,2020-05-01,9,ciudadReal,16.9,2.8,0.0,628
CR,2020-05-02,6,ciudadReal,19.8,1.7,0.0,628
CR,2020-05-03,10,ciudadReal,22.0,1.7,0.0,628
CR,2020-05-04,12,ciudadReal,23.3,3.9,0.0,628
CR,2020-05-05,12,ciudadReal,20.3,2.8,0.0,628
CR,2020-05-06,16,ciudadReal,18.9,1.9,0.0,628
CR,2020-05-07,13,ciudadReal,22.3,1.9,0.0,628
CR,2020-05-08,7,ciudadReal,20.8,1.9,0.0,628
CR,2020-05-09,16,ciudadReal,18.8,2.5,2.0,628
CR,2020-05-10,3,ciudadReal,14.6,3.3,1.6,628
