provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CO,2020-02-16,0,cordoba,14.2,0.6,0.0,90
CO,2020-02-17,0,cordoba,14.0,1.4,0.0,90
CO,2020-02-18,0,cordoba,15.7,1.7,0.0,90
CO,2020-02-19,0,cordoba,15.6,1.4,0.0,90
CO,2020-02-20,0,cordoba,12.8,1.1,0.0,90
CO,2020-02-21,0,cordoba,13.8,1.4,0.0,90
CO,2020-02-22,0,cordoba,13.8,1.4,0.0,90
CO,2020-02-23,0,cordoba,13.9,1.1,0.0,90
CO,2020-02-24,0,cordoba,13.2,1.9,0.0,90
CO,2020-02-25,0,cordoba,12.0,2.8,0.0,90
CO,2020-02-26,1,cordoba,13.6,2.5,0.0,90
CO,2020-02-27,0,cordoba,12.2,1.1,0.0,90
CO,2020-02-28,1,cordoba,14.8,2.8,0.0,90
CO,2020-02-29,0,cordoba,13.6,5.3,0.6,90
CO,2020-03-01,0,cordoba,14.0,4.4,1.3,90
CO,2020-03-02,1,cordoba,15.2,8.1,0.1,90
CO,2020-03-03,1,cordoba,11.8,3.9,0.0,90
CO,2020-03-04,3,cordoba,15.6,3.3,0.0,90
CO,2020-03-05,7,cordoba,12.3,2.8,0.0,90
CO,2020-03-06,2,cordoba,12.4,2.8,0.0,90
CO,2020-03-07,5,cordoba,11.2,1.9,0.0,90
CO,2020-03-08,3,cordoba,12.8,2.2,0.0,90
CO,2020-03-09,14,cordoba,13.8,1.9,0.0,90
CO,2020-03-10,22,cordoba,17.7,1.9,0.0,90
CO,2020-03-11,18,cordoba,18.0,0.6,0.0,90
CO,2020-03-12,25,cordoba,17.8,2.5,0.0,90
CO,2020-03-13,46,cordoba,14.9,2.8,0.0,90
CO,2020-03-14,31,cordoba,16.8,1.9,0.0,90
CO,2020-03-15,34,cordoba,15.8,3.1,0.4,90
CO,2020-03-16,38,cordoba,10.8,2.8,2.3,90
CO,2020-03-17,54,cordoba,14.2,3.1,0.0,90
CO,2020-03-18,38,cordoba,19.2,7.2,0.0,90
CO,2020-03-19,41,cordoba,15.6,1.9,0.0,90
CO,2020-03-20,47,cordoba,15.6,1.9,9.0,90
CO,2020-03-21,47,cordoba,12.8,1.9,5.6,90
CO,2020-03-22,43,cordoba,13.6,2.2,1.1,90
CO,2020-03-23,59,cordoba,13.9,2.8,4.2,90
CO,2020-03-24,47,cordoba,15.3,5.3,0.0,90
CO,2020-03-25,63,cordoba,15.4,1.7,0.0,90
CO,2020-03-26,86,cordoba,16.9,4.4,0.0,90
CO,2020-03-27,62,cordoba,12.2,3.3,0.0,90
CO,2020-03-28,61,cordoba,14.0,3.1,0.0,90
CO,2020-03-29,41,cordoba,14.7,2.2,0.0,90
CO,2020-03-30,58,cordoba,14.6,2.5,22.7,90
CO,2020-03-31,39,cordoba,14.6,5.0,3.1,90
CO,2020-04-01,50,cordoba,13.8,2.5,8.6,90
CO,2020-04-02,25,cordoba,13.0,3.6,0.3,90
CO,2020-04-03,20,cordoba,14.1,2.5,0.0,90
CO,2020-04-04,25,cordoba,14.4,1.9,0.0,90
CO,2020-04-05,21,cordoba,15.4,2.2,0.0,90
CO,2020-04-06,22,cordoba,16.2,2.8,1.2,90
CO,2020-04-07,16,cordoba,19.6,1.1,0.0,90
CO,2020-04-08,6,cordoba,18.3,1.9,0.0,90
CO,2020-04-09,4,cordoba,17.2,1.1,5.2,90
CO,2020-04-10,6,cordoba,18.4,0.8,0.0,90
CO,2020-04-11,9,cordoba,17.8,1.9,0.0,90
CO,2020-04-12,9,cordoba,17.4,1.1,0.0,90
CO,2020-04-13,7,cordoba,18.2,3.3,5.4,90
CO,2020-04-14,4,cordoba,17.1,1.1,9.2,90
CO,2020-04-15,18,cordoba,16.7,3.3,3.1,90
CO,2020-04-16,6,cordoba,18.6,5.6,0.0,90
CO,2020-04-17,14,cordoba,18.2,2.5,0.0,90
CO,2020-04-18,6,cordoba,19.3,1.4,0.0,90
CO,2020-04-19,3,cordoba,18.6,3.6,0.8,90
CO,2020-04-20,3,cordoba,15.1,5.0,8.0,90
CO,2020-04-21,4,cordoba,14.4,1.7,1.2,90
CO,2020-04-22,2,cordoba,16.4,1.7,0.0,90
CO,2020-04-23,7,cordoba,18.0,2.8,0.0,90
CO,2020-04-24,4,cordoba,19.0,2.2,1.9,90
CO,2020-04-25,2,cordoba,17.1,1.4,18.4,90
CO,2020-04-26,1,cordoba,15.2,2.5,0.1,90
CO,2020-04-27,2,cordoba,14.7,1.1,5.5,90
CO,2020-04-28,2,cordoba,17.3,2.5,0.0,90
CO,2020-04-29,5,cordoba,16.0,3.3,0.0,90
CO,2020-04-30,3,cordoba,18.2,2.5,0.0,90
CO,2020-05-01,4,cordoba,19.2,1.7,0.0,90
CO,2020-05-02,0,cordoba,22.6,1.4,0.0,90
CO,2020-05-03,2,cordoba,25.0,1.9,0.0,90
CO,2020-05-04,3,cordoba,23.2,5.0,0.3,90
CO,2020-05-05,0,cordoba,22.4,2.2,0.0,90
CO,2020-05-06,0,cordoba,21.2,1.4,0.0,90
CO,2020-05-07,1,cordoba,22.4,2.2,0.0,90
CO,2020-05-08,0,cordoba,21.3,2.5,0.0,90
CO,2020-05-09,0,cordoba,20.0,5.0,7.1,90
