provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2020-02-16,0,coruña,14.6,7.2,8.8,58
C,2020-02-17,0,coruña,11.2,4.4,1.2,58
C,2020-02-18,0,coruña,10.4,1.9,0.6,58
C,2020-02-19,0,coruña,10.4,2.2,0.0,58
C,2020-02-20,1,coruña,11.8,3.6,0.0,58
C,2020-02-21,0,coruña,12.6,1.4,0.0,58
C,2020-02-22,1,coruña,12.3,2.5,0.0,58
C,2020-02-23,0,coruña,10.0,1.7,0.0,58
C,2020-02-24,0,coruña,11.4,3.6,2.0,58
C,2020-02-25,0,coruña,12.2,4.7,4.2,58
C,2020-02-26,2,coruña,12.3,3.9,0.8,58
C,2020-02-27,4,coruña,14.4,6.1,0.0,58
C,2020-02-28,3,coruña,14.6,3.9,19.6,58
C,2020-02-29,0,coruña,12.0,5.8,2.0,58
C,2020-03-01,2,coruña,13.8,6.4,38.0,58
C,2020-03-02,7,coruña,11.0,6.9,3.8,58
C,2020-03-03,9,coruña,13.4,5.8,2.6,58
C,2020-03-04,6,coruña,16.6,5.6,14.0,58
C,2020-03-05,7,coruña,13.1,7.8,9.4,58
C,2020-03-06,16,coruña,11.2,5.6,2.2,58
C,2020-03-07,15,coruña,13.0,3.3,0.0,58
C,2020-03-08,16,coruña,13.0,5.0,0.2,58
C,2020-03-09,35,coruña,13.0,3.9,0.0,58
C,2020-03-10,53,coruña,13.7,3.6,0.0,58
C,2020-03-11,52,coruña,14.6,2.5,0.2,58
C,2020-03-12,77,coruña,11.8,4.2,0.0,58
C,2020-03-13,98,coruña,11.5,5.6,0.0,58
C,2020-03-14,95,coruña,12.6,2.5,0.0,58
C,2020-03-15,113,coruña,10.4,2.8,12.2,58
C,2020-03-16,161,coruña,10.7,8.3,0.0,58
C,2020-03-17,146,coruña,13.4,4.2,0.0,58
C,2020-03-18,139,coruña,13.5,2.8,0.4,58
C,2020-03-19,115,coruña,12.4,3.1,10.0,58
C,2020-03-20,186,coruña,13.9,1.7,14.6,58
C,2020-03-21,105,coruña,13.4,1.9,0.0,58
C,2020-03-22,106,coruña,13.4,3.6,0.0,58
C,2020-03-23,131,coruña,11.8,4.7,0.0,58
C,2020-03-24,108,coruña,13.4,2.2,0.0,58
C,2020-03-25,126,coruña,12.5,2.8,0.0,58
C,2020-03-26,89,coruña,10.6,4.7,0.0,58
C,2020-03-27,131,coruña,11.6,5.0,0.0,58
C,2020-03-28,117,coruña,13.6,2.5,0.0,58
C,2020-03-29,94,coruña,12.0,6.1,0.0,58
C,2020-03-30,91,coruña,8.1,10.8,0.0,58
C,2020-03-31,44,coruña,8.3,6.1,6.4,58
C,2020-04-01,122,coruña,11.4,3.1,0.0,58
C,2020-04-02,93,coruña,12.0,5.0,0.0,58
C,2020-04-03,88,coruña,11.6,1.9,0.0,58
C,2020-04-04,51,coruña,16.8,4.4,0.0,58
C,2020-04-05,80,coruña,15.6,5.3,12.6,58
C,2020-04-06,109,coruña,14.4,2.8,0.0,58
C,2020-04-07,76,coruña,16.1,1.1,1.0,58
C,2020-04-08,58,coruña,15.2,1.9,1.0,58
C,2020-04-09,77,coruña,16.4,1.1,5.2,58
C,2020-04-10,42,coruña,14.7,3.9,7.4,58
C,2020-04-11,32,coruña,14.2,1.9,0.0,58
C,2020-04-12,28,coruña,12.0,2.8,3.8,58
C,2020-04-13,74,coruña,12.8,3.3,0.0,58
C,2020-04-14,34,coruña,17.3,1.9,0.6,58
C,2020-04-15,70,coruña,15.7,1.7,4.4,58
C,2020-04-16,41,coruña,15.0,2.8,7.0,58
C,2020-04-17,29,coruña,15.6,3.3,1.4,58
C,2020-04-18,31,coruña,14.9,1.7,10.8,58
C,2020-04-19,21,coruña,13.8,3.3,0.0,58
C,2020-04-20,33,coruña,13.9,3.6,0.0,58
C,2020-04-21,27,coruña,14.2,4.2,2.2,58
C,2020-04-22,35,coruña,13.3,3.6,0.8,58
C,2020-04-23,42,coruña,13.2,2.2,0.0,58
C,2020-04-24,26,coruña,14.5,2.5,0.0,58
C,2020-04-25,11,coruña,14.8,1.9,0.0,58
C,2020-04-26,11,coruña,16.2,2.2,0.0,58
C,2020-04-27,21,coruña,14.0,3.6,1.0,58
C,2020-04-28,16,coruña,14.2,4.7,3.2,58
