provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2020-02-16,0,cuenca,10.6,0.8,0.0,948
CU,2020-02-17,0,cuenca,9.3,1.7,0.0,948
CU,2020-02-18,0,cuenca,8.4,1.1,0.0,948
CU,2020-02-19,0,cuenca,9.4,0.8,0.0,948
CU,2020-02-20,0,cuenca,10.0,1.1,0.0,948
CU,2020-02-21,0,cuenca,11.2,1.1,0.0,948
CU,2020-02-22,0,cuenca,11.5,0.6,0.0,948
CU,2020-02-23,0,cuenca,11.4,0.8,0.0,948
CU,2020-02-24,0,cuenca,11.6,1.1,0.0,948
CU,2020-02-25,0,cuenca,9.5,1.7,0.0,948
CU,2020-02-26,0,cuenca,9.5,1.7,0.0,948
CU,2020-02-27,0,cuenca,8.3,1.7,0.0,948
CU,2020-02-28,2,cuenca,10.8,1.1,0.0,948
CU,2020-02-29,2,cuenca,10.2,2.8,0.2,948
CU,2020-03-01,4,cuenca,8.8,3.1,8.4,948
CU,2020-03-02,8,cuenca,6.6,4.2,3.6,948
CU,2020-03-03,11,cuenca,7.2,3.1,0.0,948
CU,2020-03-04,6,cuenca,12.4,1.9,0.0,948
CU,2020-03-05,14,cuenca,9.7,2.8,1.0,948
CU,2020-03-06,10,cuenca,7.2,3.3,0.0,948
CU,2020-03-07,12,cuenca,7.7,1.7,0.0,948
CU,2020-03-08,20,cuenca,9.0,1.1,0.0,948
CU,2020-03-09,31,cuenca,10.0,2.2,0.0,948
CU,2020-03-10,34,cuenca,13.4,1.4,0.0,948
CU,2020-03-11,37,cuenca,15.5,1.4,0.0,948
CU,2020-03-12,45,cuenca,16.8,1.1,0.0,948
CU,2020-03-13,65,cuenca,15.2,1.7,0.0,948
CU,2020-03-14,56,cuenca,14.2,1.1,0.2,948
CU,2020-03-15,92,cuenca,13.0,1.9,31.6,948
CU,2020-03-16,91,cuenca,5.8,1.7,10.0,948
CU,2020-03-17,91,cuenca,7.2,2.8,1.8,948
CU,2020-03-18,79,cuenca,12.5,2.2,0.0,948
CU,2020-03-19,93,cuenca,9.4,1.9,0.0,948
CU,2020-03-20,103,cuenca,8.9,2.2,0.0,948
CU,2020-03-21,64,cuenca,7.4,2.2,4.8,948
CU,2020-03-22,58,cuenca,7.7,1.1,11.2,948
CU,2020-03-23,75,cuenca,10.0,1.7,2.0,948
CU,2020-03-24,55,cuenca,9.0,1.9,0.0,948
CU,2020-03-25,69,cuenca,9.0,1.4,1.6,948
CU,2020-03-26,60,cuenca,8.2,1.7,0.0,948
CU,2020-03-27,58,cuenca,4.6,2.2,2.2,948
CU,2020-03-28,40,cuenca,6.4,1.4,0.0,948
CU,2020-03-29,55,cuenca,9.2,1.7,0.0,948
CU,2020-03-30,46,cuenca,5.3,1.1,11.6,948
CU,2020-03-31,33,cuenca,7.0,3.9,10.4,948
CU,2020-04-01,42,cuenca,9.8,1.7,0.7,948
CU,2020-04-02,32,cuenca,8.3,1.1,2.2,948
CU,2020-04-03,27,cuenca,9.3,1.4,0.0,948
CU,2020-04-04,22,cuenca,9.6,2.2,0.0,948
CU,2020-04-05,32,cuenca,13.4,1.7,0.0,948
CU,2020-04-06,36,cuenca,12.2,1.4,11.4,948
CU,2020-04-07,20,cuenca,12.8,1.9,1.0,948
CU,2020-04-08,18,cuenca,14.2,0.8,0.0,948
CU,2020-04-09,21,cuenca,12.8,1.9,1.0,948
CU,2020-04-10,18,cuenca,10.1,1.7,4.6,948
CU,2020-04-11,12,cuenca,12.2,1.4,0.0,948
CU,2020-04-12,17,cuenca,13.0,2.5,0.0,948
CU,2020-04-13,16,cuenca,11.8,1.4,0.0,948
CU,2020-04-14,14,cuenca,12.3,2.5,0.7,948
CU,2020-04-15,17,cuenca,11.7,2.5,32.2,948
CU,2020-04-16,13,cuenca,14.4,4.2,0.0,948
CU,2020-04-17,16,cuenca,13.7,1.9,0.2,948
CU,2020-04-18,12,cuenca,16.5,1.4,4.2,948
CU,2020-04-19,9,cuenca,14.4,1.7,0.4,948
CU,2020-04-20,16,cuenca,12.2,1.9,1.6,948
CU,2020-04-21,10,cuenca,8.4,1.9,1.8,948
CU,2020-04-22,11,cuenca,13.6,1.4,0.6,948
CU,2020-04-23,16,cuenca,14.0,2.2,0.0,948
CU,2020-04-24,14,cuenca,16.0,1.7,0.0,948
CU,2020-04-25,24,cuenca,14.9,1.9,1.8,948
CU,2020-04-26,8,cuenca,14.4,1.1,0.4,948
CU,2020-04-27,23,cuenca,12.4,1.7,1.4,948
CU,2020-04-28,23,cuenca,11.2,2.8,0.0,948
CU,2020-04-29,7,cuenca,11.8,2.5,0.0,948
CU,2020-04-30,27,cuenca,14.1,3.1,0.0,948
CU,2020-05-01,6,cuenca,15.5,1.1,0.0,948
CU,2020-05-02,7,cuenca,19.5,1.9,0.0,948
CU,2020-05-03,8,cuenca,19.4,1.4,0.0,948
CU,2020-05-04,19,cuenca,21.0,2.8,0.0,948
CU,2020-05-05,26,cuenca,17.5,1.1,0.0,948
CU,2020-05-06,26,cuenca,17.5,1.1,0.0,948
CU,2020-05-07,7,cuenca,19.0,3.9,0.0,948
CU,2020-05-08,7,cuenca,19.2,2.2,0.0,948
CU,2020-05-09,8,cuenca,18.4,2.2,0.6,948
CU,2020-05-10,5,cuenca,14.2,3.6,0.0,948
CU,2020-05-11,19,cuenca,14.2,2.8,0.4,948
CU,2020-05-12,19,cuenca,10.4,1.4,24.4,948
CU,2020-05-13,3,cuenca,12.3,1.4,11.6,948
CU,2020-05-14,12,cuenca,10.0,1.4,4.4,948
CU,2020-05-15,9,cuenca,13.0,1.9,19.0,948
CU,2020-05-16,8,cuenca,12.4,1.7,23.8,948
CU,2020-05-17,1,cuenca,13.6,1.4,0.0,948
CU,2020-05-18,7,cuenca,16.4,1.9,0.0,948
CU,2020-05-19,4,cuenca,18.2,1.7,0.0,948
CU,2020-05-20,12,cuenca,19.8,0.8,0.0,948
CU,2020-05-21,2,cuenca,20.2,1.7,0.0,948
CU,2020-05-22,11,cuenca,21.7,1.1,0.0,948
CU,2020-05-23,7,cuenca,23.2,1.1,0.0,948
CU,2020-05-24,3,cuenca,21.8,2.2,0.0,948
CU,2020-05-25,5,cuenca,18.2,2.8,0.4,948
CU,2020-05-26,5,cuenca,20.8,1.9,0.0,948
CU,2020-05-27,5,cuenca,20.0,2.8,0.0,948
CU,2020-05-28,6,cuenca,19.0,2.8,0.0,948
CU,2020-05-29,5,cuenca,19.8,1.1,0.4,948
CU,2020-05-30,2,cuenca,21.2,1.9,0.0,948
CU,2020-05-31,3,cuenca,21.5,2.2,0.0,948
CU,2020-06-01,1,cuenca,22.4,1.4,0.0,948
CU,2020-06-02,5,cuenca,22.0,1.4,0.0,948
CU,2020-06-03,5,cuenca,20.0,2.5,0.0,948
CU,2020-06-04,4,cuenca,15.5,3.1,14.2,948
CU,2020-06-05,5,cuenca,16.4,1.7,0.0,948
CU,2020-06-06,2,cuenca,18.6,1.9,0.0,948
CU,2020-06-07,1,cuenca,18.5,2.5,0.6,948
CU,2020-06-08,3,cuenca,16.1,1.7,0.0,948
CU,2020-06-09,3,cuenca,14.0,1.9,0.0,948
CU,2020-06-10,2,cuenca,15.6,1.7,0.0,948
CU,2020-06-11,2,cuenca,18.4,3.1,0.0,948
CU,2020-06-12,2,cuenca,14.7,3.3,0.0,948
CU,2020-06-13,1,cuenca,15.4,2.2,0.0,948
CU,2020-06-14,1,cuenca,16.8,2.5,0.0,948
CU,2020-06-15,2,cuenca,18.5,1.9,0.0,948
