provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SS,2020-02-16,0,gipuzkoa,18.7,13.1,2.5,251
SS,2020-02-17,0,gipuzkoa,12.8,5.3,13.3,251
SS,2020-02-18,0,gipuzkoa,8.7,3.3,0.2,251
SS,2020-02-19,0,gipuzkoa,9.2,2.2,0.0,251
SS,2020-02-20,0,gipuzkoa,9.6,3.1,0.0,251
SS,2020-02-21,0,gipuzkoa,9.7,1.4,0.0,251
SS,2020-02-22,0,gipuzkoa,11.2,1.7,0.0,251
SS,2020-02-23,0,gipuzkoa,10.8,1.7,0.0,251
SS,2020-02-24,0,gipuzkoa,9.2,1.7,0.0,251
SS,2020-02-25,2,gipuzkoa,9.8,4.2,26.2,251
SS,2020-02-26,0,gipuzkoa,7.8,5.6,10.8,251
SS,2020-02-27,0,gipuzkoa,11.0,7.5,17.2,251
SS,2020-02-28,0,gipuzkoa,13.5,2.2,0.0,251
SS,2020-02-29,2,gipuzkoa,12.6,7.2,6.0,251
SS,2020-03-01,1,gipuzkoa,11.8,6.4,14.6,251
SS,2020-03-02,2,gipuzkoa,10.0,12.5,10.6,251
SS,2020-03-03,5,gipuzkoa,10.8,11.1,12.1,251
SS,2020-03-04,3,gipuzkoa,11.8,4.4,1.0,251
SS,2020-03-05,6,gipuzkoa,12.0,10.8,22.7,251
SS,2020-03-06,5,gipuzkoa,6.0,13.3,25.1,251
SS,2020-03-07,10,gipuzkoa,8.6,5.0,2.3,251
SS,2020-03-08,11,gipuzkoa,10.5,4.2,8.5,251
SS,2020-03-09,23,gipuzkoa,9.3,7.8,0.7,251
SS,2020-03-10,35,gipuzkoa,10.2,1.7,0.0,251
SS,2020-03-11,39,gipuzkoa,11.9,1.7,0.0,251
SS,2020-03-12,49,gipuzkoa,11.0,1.7,4.0,251
SS,2020-03-13,72,gipuzkoa,9.4,2.8,0.0,251
SS,2020-03-14,82,gipuzkoa,9.2,1.9,0.0,251
SS,2020-03-15,79,gipuzkoa,13.0,7.8,62.0,251
SS,2020-03-16,91,gipuzkoa,8.8,5.6,18.1,251
SS,2020-03-17,80,gipuzkoa,10.9,1.1,0.5,251
SS,2020-03-18,85,gipuzkoa,13.2,2.2,0.0,251
SS,2020-03-19,78,gipuzkoa,17.2,5.3,0.0,251
SS,2020-03-20,106,gipuzkoa,16.0,8.6,0.0,251
SS,2020-03-21,73,gipuzkoa,15.8,6.4,0.0,251
SS,2020-03-22,76,gipuzkoa,11.8,1.9,0.0,251
SS,2020-03-23,109,gipuzkoa,12.0,1.9,0.7,251
SS,2020-03-24,65,gipuzkoa,13.0,1.7,0.0,251
SS,2020-03-25,77,gipuzkoa,10.0,4.2,0.0,251
SS,2020-03-26,65,gipuzkoa,8.0,6.1,0.0,251
SS,2020-03-27,69,gipuzkoa,7.2,2.8,0.0,251
SS,2020-03-28,48,gipuzkoa,9.4,2.2,0.0,251
SS,2020-03-29,56,gipuzkoa,7.7,3.9,4.4,251
SS,2020-03-30,47,gipuzkoa,3.8,3.6,3.8,251
SS,2020-03-31,57,gipuzkoa,5.0,1.1,5.6,251
SS,2020-04-01,64,gipuzkoa,11.5,3.6,0.2,251
SS,2020-04-02,51,gipuzkoa,10.2,3.6,0.0,251
SS,2020-04-03,54,gipuzkoa,9.0,2.8,0.0,251
SS,2020-04-04,42,gipuzkoa,14.1,8.6,0.0,251
SS,2020-04-05,33,gipuzkoa,17.5,11.9,0.4,251
SS,2020-04-06,81,gipuzkoa,12.8,5.0,7.9,251
SS,2020-04-07,40,gipuzkoa,15.6,5.0,0.0,251
SS,2020-04-08,32,gipuzkoa,15.7,3.6,0.0,251
SS,2020-04-09,47,gipuzkoa,19.2,5.3,0.0,251
SS,2020-04-10,46,gipuzkoa,18.8,3.6,0.0,251
SS,2020-04-11,30,gipuzkoa,15.0,2.5,9.6,251
SS,2020-04-12,37,gipuzkoa,16.4,2.8,1.4,251
SS,2020-04-13,24,gipuzkoa,15.0,5.6,0.0,251
SS,2020-04-14,17,gipuzkoa,14.0,1.7,0.0,251
SS,2020-04-15,17,gipuzkoa,17.8,9.4,0.0,251
SS,2020-04-16,17,gipuzkoa,18.8,8.9,0.8,251
SS,2020-04-17,21,gipuzkoa,18.1,6.1,3.1,251
SS,2020-04-18,11,gipuzkoa,15.6,2.5,7.5,251
SS,2020-04-19,6,gipuzkoa,12.4,5.0,2.8,251
SS,2020-04-20,13,gipuzkoa,13.4,3.1,5.9,251
SS,2020-04-21,9,gipuzkoa,11.6,6.1,44.3,251
SS,2020-04-22,7,gipuzkoa,12.2,4.7,1.5,251
SS,2020-04-23,3,gipuzkoa,13.8,1.9,0.0,251
SS,2020-04-24,10,gipuzkoa,15.8,1.9,2.5,251
SS,2020-04-25,5,gipuzkoa,15.0,3.1,0.5,251
SS,2020-04-26,1,gipuzkoa,14.8,2.2,3.5,251
SS,2020-04-27,3,gipuzkoa,13.2,3.9,3.5,251
SS,2020-04-28,3,gipuzkoa,12.9,2.5,1.6,251
SS,2020-04-29,6,gipuzkoa,14.1,6.4,0.0,251
SS,2020-04-30,7,gipuzkoa,15.2,4.2,0.7,251
SS,2020-05-01,7,gipuzkoa,17.0,6.1,0.8,251
SS,2020-05-02,9,gipuzkoa,18.6,2.2,0.0,251
SS,2020-05-03,6,gipuzkoa,17.6,1.9,0.0,251
SS,2020-05-04,3,gipuzkoa,23.0,10.0,2.0,251
SS,2020-05-05,3,gipuzkoa,18.2,3.3,0.0,251
SS,2020-05-06,3,gipuzkoa,17.0,2.2,0.0,251
SS,2020-05-07,4,gipuzkoa,18.6,1.4,0.0,251
SS,2020-05-08,6,gipuzkoa,21.6,3.9,6.9,251
SS,2020-05-09,4,gipuzkoa,18.8,6.7,15.3,251
SS,2020-05-10,3,gipuzkoa,13.9,5.6,45.7,251
SS,2020-05-11,4,gipuzkoa,12.6,6.4,12.9,251
SS,2020-05-12,3,gipuzkoa,10.8,2.2,23.1,251
SS,2020-05-13,3,gipuzkoa,12.2,1.7,5.0,251
SS,2020-05-14,2,gipuzkoa,12.2,3.1,1.4,251
SS,2020-05-15,1,gipuzkoa,12.5,4.4,0.0,251
SS,2020-05-16,3,gipuzkoa,14.0,5.6,0.0,251
SS,2020-05-17,5,gipuzkoa,13.8,3.9,0.0,251
SS,2020-05-18,2,gipuzkoa,14.2,2.8,0.0,251
SS,2020-05-19,5,gipuzkoa,16.0,1.9,0.0,251
SS,2020-05-20,0,gipuzkoa,17.0,1.9,0.0,251
SS,2020-05-21,0,gipuzkoa,18.4,2.2,0.0,251
SS,2020-05-22,0,gipuzkoa,17.3,3.1,11.7,251
SS,2020-05-23,2,gipuzkoa,14.0,4.7,9.3,251
SS,2020-05-24,3,gipuzkoa,14.6,3.3,0.0,251
SS,2020-05-25,3,gipuzkoa,16.0,1.1,0.0,251
SS,2020-05-26,1,gipuzkoa,16.4,3.1,0.0,251
SS,2020-05-27,2,gipuzkoa,17.8,1.4,0.0,251
SS,2020-05-28,2,gipuzkoa,23.2,5.0,0.0,251
SS,2020-05-29,3,gipuzkoa,21.4,2.8,0.0,251
SS,2020-05-30,7,gipuzkoa,20.6,3.9,0.0,251
SS,2020-05-31,3,gipuzkoa,22.7,5.6,0.0,251
SS,2020-06-01,2,gipuzkoa,20.5,3.9,0.0,251
SS,2020-06-02,2,gipuzkoa,19.4,1.7,0.0,251
SS,2020-06-03,1,gipuzkoa,17.6,3.9,11.5,251
SS,2020-06-04,2,gipuzkoa,14.3,8.1,26.1,251
SS,2020-06-05,4,gipuzkoa,15.2,5.3,0.1,251
SS,2020-06-06,5,gipuzkoa,16.0,4.2,9.2,251
SS,2020-06-07,7,gipuzkoa,13.4,4.7,10.5,251
SS,2020-06-08,1,gipuzkoa,13.6,5.6,13.9,251
SS,2020-06-09,3,gipuzkoa,14.3,5.0,6.6,251
SS,2020-06-10,9,gipuzkoa,14.7,2.8,0.4,251
SS,2020-06-11,3,gipuzkoa,14.2,4.4,22.6,251
SS,2020-06-12,11,gipuzkoa,14.2,3.9,5.5,251
SS,2020-06-13,6,gipuzkoa,16.2,2.8,1.3,251
SS,2020-06-14,7,gipuzkoa,16.0,3.6,0.0,251
SS,2020-06-15,3,gipuzkoa,17.5,2.2,0.0,251
