provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GR,2020-02-16,0,granada,11.3,2.2,0.0,785
GR,2020-02-17,0,granada,10.3,2.5,0.0,785
GR,2020-02-18,1,granada,8.7,2.8,0.0,785
GR,2020-02-19,0,granada,11.3,3.6,0.0,785
GR,2020-02-20,1,granada,8.4,2.5,0.0,785
GR,2020-02-21,1,granada,9.1,2.8,0.0,785
GR,2020-02-22,0,granada,10.5,2.8,0.0,785
GR,2020-02-23,0,granada,9.4,2.8,0.0,785
GR,2020-02-24,0,granada,9.4,1.4,0.0,785
GR,2020-02-25,0,granada,9.9,3.9,0.0,785
GR,2020-02-26,1,granada,11.7,4.2,0.0,785
GR,2020-02-27,0,granada,11.0,4.2,0.0,785
GR,2020-02-28,0,granada,10.6,2.2,0.0,785
GR,2020-02-29,1,granada,10.3,3.6,0.0,785
GR,2020-03-01,4,granada,13.1,4.7,0.0,785
GR,2020-03-03,4,granada,10.2,5.8,0.0,785
GR,2020-03-04,1,granada,14.0,5.3,0.0,785
GR,2020-03-05,4,granada,13.6,5.8,0.0,785
GR,2020-03-06,6,granada,9.6,6.4,0.0,785
GR,2020-03-07,11,granada,10.4,3.6,0.0,785
GR,2020-03-08,14,granada,9.9,3.9,0.0,785
GR,2020-03-09,30,granada,14.6,6.4,0.0,785
GR,2020-03-10,30,granada,15.6,2.8,0.0,785
GR,2020-03-11,41,granada,17.2,2.2,0.0,785
GR,2020-03-12,57,granada,16.4,2.5,0.0,785
GR,2020-03-13,76,granada,14.1,3.3,0.0,785
GR,2020-03-14,78,granada,13.0,2.5,0.0,785
GR,2020-03-15,87,granada,12.3,1.7,0.2,785
GR,2020-03-16,107,granada,7.2,3.1,0.0,785
GR,2020-03-17,106,granada,7.8,3.1,2.2,785
GR,2020-03-18,104,granada,12.7,4.4,0.0,785
GR,2020-03-19,95,granada,10.8,3.9,0.0,785
GR,2020-03-20,146,granada,9.0,3.1,0.0,785
GR,2020-03-21,101,granada,10.8,2.2,8.2,785
GR,2020-03-22,110,granada,9.6,0.8,10.2,785
GR,2020-03-23,78,granada,9.2,2.2,5.4,785
GR,2020-03-24,100,granada,8.6,2.8,0.8,785
GR,2020-03-25,88,granada,10.8,2.2,1.0,785
GR,2020-03-26,84,granada,11.9,4.7,0.0,785
GR,2020-03-27,109,granada,8.9,3.6,3.0,785
GR,2020-03-28,49,granada,9.6,2.2,0.8,785
GR,2020-03-29,82,granada,9.0,2.2,0.0,785
GR,2020-03-30,55,granada,10.2,1.9,3.6,785
GR,2020-03-31,40,granada,12.2,1.4,3.0,785
GR,2020-04-01,64,granada,10.4,2.5,0.0,785
GR,2020-04-02,45,granada,8.4,3.3,6.6,785
GR,2020-04-03,24,granada,11.3,2.5,0.0,785
GR,2020-04-04,31,granada,11.1,4.7,0.2,785
GR,2020-04-05,25,granada,13.0,2.8,0.0,785
GR,2020-04-06,25,granada,14.3,1.9,0.0,785
GR,2020-04-08,34,granada,15.8,3.6,0.0,785
GR,2020-04-09,17,granada,14.3,3.1,7.8,785
GR,2020-04-10,31,granada,13.6,2.2,0.0,785
GR,2020-04-11,27,granada,13.6,3.3,0.0,785
GR,2020-04-12,18,granada,12.9,2.5,1.6,785
GR,2020-04-13,23,granada,13.1,1.4,0.6,785
GR,2020-04-14,23,granada,13.4,2.5,0.6,785
GR,2020-04-15,30,granada,14.6,3.1,0.0,785
GR,2020-04-16,14,granada,14.8,3.3,1.4,785
GR,2020-04-17,15,granada,16.6,3.1,0.0,785
GR,2020-04-18,9,granada,16.1,2.2,0.0,785
GR,2020-04-19,8,granada,14.2,4.4,0.4,785
