provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2020-02-16,0,guadalajara,10.1,2.5,0.0,721
GU,2020-02-17,0,guadalajara,9.6,1.7,0.0,721
GU,2020-02-18,0,guadalajara,9.0,1.7,0.0,721
GU,2020-02-19,0,guadalajara,8.6,1.1,0.0,721
GU,2020-02-20,0,guadalajara,9.6,0.6,0.0,721
GU,2020-02-21,0,guadalajara,11.2,1.1,0.0,721
GU,2020-02-22,0,guadalajara,11.8,0.6,0.0,721
GU,2020-02-23,0,guadalajara,12.4,1.1,0.0,721
GU,2020-02-24,0,guadalajara,11.6,1.7,0.0,721
GU,2020-02-25,0,guadalajara,11.2,1.7,0.0,721
GU,2020-02-26,0,guadalajara,9.3,2.2,0.0,721
GU,2020-02-27,0,guadalajara,11.0,3.3,0.0,721
GU,2020-02-28,2,guadalajara,12.2,1.1,0.0,721
GU,2020-02-29,5,guadalajara,10.7,7.8,0.2,721
GU,2020-03-01,15,guadalajara,10.9,5.8,9.2,721
GU,2020-03-02,7,guadalajara,8.4,4.7,0.4,721
GU,2020-03-03,13,guadalajara,10.0,5.8,0.0,721
GU,2020-03-04,13,guadalajara,14.0,2.8,0.0,721
GU,2020-03-05,9,guadalajara,11.4,3.9,0.4,721
GU,2020-03-06,19,guadalajara,6.9,4.4,0.0,721
GU,2020-03-07,20,guadalajara,8.8,2.2,0.0,721
GU,2020-03-08,23,guadalajara,8.0,1.9,0.0,721
GU,2020-03-09,34,guadalajara,10.4,2.2,0.0,721
GU,2020-03-10,26,guadalajara,13.8,1.4,0.0,721
GU,2020-03-11,26,guadalajara,16.2,1.1,0.0,721
GU,2020-03-12,51,guadalajara,17.0,0.8,0.0,721
GU,2020-03-13,58,guadalajara,16.2,1.9,0.0,721
GU,2020-03-14,71,guadalajara,14.8,1.4,0.0,721
GU,2020-03-15,60,guadalajara,13.8,3.1,27.2,721
GU,2020-03-16,65,guadalajara,7.1,2.2,11.6,721
GU,2020-03-17,64,guadalajara,10.7,3.3,0.0,721
GU,2020-03-18,73,guadalajara,12.6,0.8,0.0,721
GU,2020-03-19,64,guadalajara,13.0,1.1,0.0,721
GU,2020-03-20,79,guadalajara,10.4,1.9,0.0,721
GU,2020-03-21,34,guadalajara,8.7,1.4,3.2,721
GU,2020-03-22,56,guadalajara,9.1,1.9,1.8,721
GU,2020-03-23,58,guadalajara,11.5,2.5,0.4,721
GU,2020-03-24,46,guadalajara,12.0,3.3,0.0,721
GU,2020-03-25,41,guadalajara,11.0,2.8,0.0,721
