provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2020-02-16,0,huelva,14.4,1.9,0.0,572
H,2020-02-17,0,huelva,13.2,3.6,0.0,572
H,2020-02-18,0,huelva,14.2,4.7,0.0,572
H,2020-02-19,0,huelva,14.7,1.9,0.0,572
H,2020-02-20,0,huelva,14.0,2.5,0.0,572
H,2020-02-21,0,huelva,15.7,1.7,0.0,572
H,2020-02-22,0,huelva,16.6,2.2,0.0,572
H,2020-02-23,0,huelva,17.6,3.1,0.0,572
H,2020-02-24,1,huelva,17.4,3.1,0.0,572
H,2020-02-25,0,huelva,12.4,2.5,0.0,572
H,2020-02-26,0,huelva,10.6,3.9,0.0,572
H,2020-02-27,0,huelva,13.4,3.3,0.0,572
H,2020-02-28,0,huelva,14.6,2.2,0.0,572
H,2020-02-29,0,huelva,9.2,2.2,7.4,572
H,2020-03-01,0,huelva,11.2,3.1,4.0,572
H,2020-03-02,1,huelva,11.4,3.6,0.4,572
H,2020-03-03,1,huelva,11.2,3.9,0.2,572
H,2020-03-04,0,huelva,13.5,2.2,0.0,572
H,2020-03-05,1,huelva,11.6,2.5,0.2,572
H,2020-03-06,2,huelva,10.8,4.7,0.0,572
H,2020-03-07,3,huelva,12.8,2.5,0.0,572
H,2020-03-08,1,huelva,14.4,1.9,0.0,572
H,2020-03-09,2,huelva,14.6,5.0,0.0,572
H,2020-03-10,2,huelva,20.2,2.5,0.0,572
H,2020-03-11,9,huelva,20.7,2.5,0.0,572
H,2020-03-12,10,huelva,15.9,1.4,0.0,572
H,2020-03-13,14,huelva,17.2,3.1,0.0,572
H,2020-03-14,11,huelva,15.6,1.9,0.0,572
H,2020-03-15,10,huelva,14.0,2.2,0.0,572
H,2020-03-16,19,huelva,7.8,5.0,4.4,572
H,2020-03-17,11,huelva,9.1,3.1,1.8,572
H,2020-03-18,22,huelva,16.8,3.9,0.0,572
H,2020-03-19,17,huelva,14.3,3.1,0.0,572
H,2020-03-20,26,huelva,10.6,1.7,30.6,572
