provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
J,2020-02-16,0,jaen,12.8,0.3,0.0,202
J,2020-02-17,0,jaen,12.6,1.4,0.0,202
J,2020-02-18,0,jaen,15.4,1.4,0.0,202
J,2020-02-19,0,jaen,14.3,0.8,0.0,202
J,2020-02-20,1,jaen,12.4,0.8,0.0,202
J,2020-02-21,0,jaen,13.6,1.1,0.0,202
J,2020-02-22,0,jaen,13.8,0.6,0.0,202
J,2020-02-23,0,jaen,13.6,1.1,0.0,202
J,2020-02-24,0,jaen,12.4,0.6,0.0,202
J,2020-02-25,0,jaen,11.2,2.8,0.0,202
J,2020-02-26,1,jaen,13.3,1.9,0.0,202
J,2020-02-27,0,jaen,11.4,0.3,0.0,202
J,2020-02-28,0,jaen,13.3,0.3,0.0,202
J,2020-02-29,1,jaen,13.0,3.6,1.1,202
J,2020-03-01,2,jaen,15.1,4.2,5.0,202
J,2020-03-02,4,jaen,14.1,6.4,3.1,202
J,2020-03-03,5,jaen,11.8,2.2,0.0,202
J,2020-03-04,7,jaen,14.9,1.4,0.0,202
J,2020-03-05,8,jaen,11.7,2.8,0.0,202
J,2020-03-06,10,jaen,12.6,4.4,0.0,202
J,2020-03-07,8,jaen,10.1,1.1,0.0,202
J,2020-03-08,6,jaen,12.0,1.7,0.0,202
J,2020-03-09,16,jaen,12.6,1.1,0.0,202
J,2020-03-10,23,jaen,16.2,0.8,0.0,202
J,2020-03-11,27,jaen,18.3,1.4,0.0,202
J,2020-03-12,31,jaen,18.2,2.8,0.0,202
J,2020-03-13,44,jaen,15.4,2.8,0.0,202
J,2020-03-14,41,jaen,17.7,1.1,0.0,202
J,2020-03-15,27,jaen,15.3,1.9,9.3,202
J,2020-03-16,45,jaen,11.2,3.6,1.0,202
J,2020-03-17,49,jaen,13.4,1.9,0.0,202
J,2020-03-18,58,jaen,18.0,3.9,0.0,202
J,2020-03-19,45,jaen,14.4,1.7,0.0,202
J,2020-03-20,103,jaen,14.8,1.1,10.0,202
J,2020-03-21,55,jaen,12.2,0.3,4.8,202
J,2020-03-22,43,jaen,10.0,1.4,1.0,202
J,2020-03-23,75,jaen,12.8,1.1,6.8,202
J,2020-03-24,57,jaen,14.8,2.5,0.0,202
J,2020-03-25,52,jaen,15.9,1.7,0.0,202
J,2020-03-26,44,jaen,16.8,4.2,0.0,202
J,2020-03-27,41,jaen,13.3,3.1,0.0,202
J,2020-03-28,40,jaen,12.3,0.6,0.0,202
J,2020-03-29,45,jaen,14.6,1.4,0.0,202
J,2020-03-30,46,jaen,14.2,2.5,21.7,202
J,2020-03-31,33,jaen,15.0,1.4,15.1,202
J,2020-04-01,52,jaen,12.6,3.1,5.8,202
J,2020-04-02,32,jaen,10.8,1.9,6.8,202
J,2020-04-03,22,jaen,13.9,0.8,0.1,202
J,2020-04-04,24,jaen,14.2,1.9,0.0,202
J,2020-04-05,37,jaen,15.0,1.9,0.0,202
J,2020-04-06,15,jaen,17.7,1.9,0.2,202
J,2020-04-07,18,jaen,18.8,1.7,0.1,202
J,2020-04-08,12,jaen,18.8,2.2,0.0,202
J,2020-04-09,9,jaen,17.8,1.9,13.2,202
J,2020-04-10,8,jaen,17.3,0.3,0.0,202
J,2020-04-11,16,jaen,17.7,1.1,0.0,202
J,2020-04-12,13,jaen,17.4,1.1,0.0,202
J,2020-04-13,10,jaen,18.6,2.8,3.0,202
J,2020-04-14,5,jaen,17.8,1.7,7.8,202
J,2020-04-15,17,jaen,16.4,1.9,8.3,202
J,2020-04-16,3,jaen,18.0,3.1,0.0,202
J,2020-04-17,4,jaen,17.3,1.4,0.0,202
J,2020-04-18,5,jaen,19.6,2.2,0.0,202
J,2020-04-19,3,jaen,17.6,2.5,2.9,202
J,2020-04-20,11,jaen,15.0,3.3,3.8,202
J,2020-04-21,2,jaen,14.0,2.8,0.6,202
J,2020-04-22,1,jaen,16.2,1.7,0.0,202
J,2020-04-23,3,jaen,17.4,0.8,0.0,202
J,2020-04-24,10,jaen,18.5,1.1,0.1,202
J,2020-04-25,6,jaen,16.0,1.7,13.1,202
J,2020-04-26,8,jaen,14.8,2.2,0.4,202
J,2020-04-27,6,jaen,14.4,1.4,4.9,202
J,2020-04-28,5,jaen,16.2,2.5,0.1,202
J,2020-04-29,10,jaen,16.2,3.3,0.0,202
J,2020-04-30,3,jaen,17.5,2.5,0.0,202
J,2020-05-01,3,jaen,19.2,1.9,0.0,202
J,2020-05-02,3,jaen,22.0,1.4,0.0,202
J,2020-05-03,0,jaen,23.6,1.1,0.0,202
J,2020-05-04,9,jaen,24.3,3.3,0.0,202
J,2020-05-05,3,jaen,22.4,2.2,0.0,202
J,2020-05-06,1,jaen,21.2,1.4,0.0,202
J,2020-05-07,0,jaen,23.4,1.7,0.0,202
J,2020-05-08,2,jaen,22.2,3.1,0.0,202
J,2020-05-09,1,jaen,20.0,4.2,0.9,202
J,2020-05-10,1,jaen,17.2,4.4,5.4,202
J,2020-05-11,5,jaen,17.6,2.8,0.8,202
J,2020-05-12,9,jaen,15.0,1.7,13.0,202
J,2020-05-13,0,jaen,17.8,0.8,0.5,202
J,2020-05-14,4,jaen,14.4,1.7,7.2,202
J,2020-05-15,5,jaen,16.4,1.4,0.2,202
J,2020-05-16,1,jaen,17.9,1.1,23.3,202
J,2020-05-17,2,jaen,19.4,0.0,0.0,202
J,2020-05-18,2,jaen,20.5,0.0,0.0,202
