provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2020-02-16,0,laRioja,9.4,1.9,0.0,353
LO,2020-02-18,0,laRioja,7.6,2.8,0.0,353
LO,2020-02-19,0,laRioja,8.0,2.5,0.0,353
LO,2020-02-20,0,laRioja,7.6,0.8,0.0,353
LO,2020-02-21,0,laRioja,10.3,1.7,0.0,353
LO,2020-02-22,0,laRioja,12.4,2.5,0.0,353
LO,2020-02-23,3,laRioja,11.0,1.1,0.0,353
LO,2020-02-24,2,laRioja,12.0,0.8,0.0,353
LO,2020-02-25,2,laRioja,10.8,2.2,0.0,353
LO,2020-02-26,3,laRioja,9.5,3.9,0.0,353
LO,2020-02-27,8,laRioja,9.6,2.2,0.0,353
LO,2020-02-28,11,laRioja,10.5,1.1,0.0,353
LO,2020-02-29,14,laRioja,10.8,2.8,0.0,353
LO,2020-03-01,23,laRioja,13.9,3.3,4.8,353
LO,2020-03-02,30,laRioja,8.2,6.7,2.7,353
LO,2020-03-03,29,laRioja,12.3,5.3,1.9,353
LO,2020-03-04,25,laRioja,14.2,3.6,0.0,353
LO,2020-03-05,27,laRioja,11.8,4.4,3.5,353
LO,2020-03-06,45,laRioja,7.0,6.4,4.9,353
LO,2020-03-07,39,laRioja,8.2,3.1,0.0,353
LO,2020-03-08,41,laRioja,8.2,3.1,0.0,353
LO,2020-03-09,61,laRioja,10.6,3.9,0.0,353
LO,2020-03-10,88,laRioja,13.6,2.5,0.0,353
LO,2020-03-11,69,laRioja,13.8,0.6,0.0,353
LO,2020-03-12,72,laRioja,14.0,2.2,0.1,353
LO,2020-03-13,108,laRioja,9.6,2.8,0.0,353
LO,2020-03-14,137,laRioja,11.2,2.5,0.0,353
LO,2020-03-15,111,laRioja,9.0,3.9,30.0,353
LO,2020-03-16,156,laRioja,5.6,3.1,42.7,353
LO,2020-03-17,120,laRioja,8.6,0.8,0.0,353
LO,2020-03-18,142,laRioja,10.0,1.4,0.0,353
LO,2020-03-19,169,laRioja,11.7,5.6,0.0,353
LO,2020-03-20,190,laRioja,10.7,8.3,0.0,353
LO,2020-03-21,134,laRioja,10.6,6.1,0.0,353
LO,2020-03-22,108,laRioja,11.6,2.8,0.2,353
LO,2020-03-23,158,laRioja,12.2,3.3,0.5,353
LO,2020-03-24,119,laRioja,12.0,1.4,0.0,353
LO,2020-03-25,130,laRioja,10.5,2.2,0.0,353
LO,2020-03-26,118,laRioja,7.4,4.2,0.0,353
LO,2020-03-27,131,laRioja,8.4,2.5,0.0,353
LO,2020-03-28,103,laRioja,10.6,1.4,0.0,353
LO,2020-03-29,90,laRioja,10.4,3.3,0.0,353
LO,2020-03-30,114,laRioja,5.6,2.2,0.8,353
LO,2020-03-31,107,laRioja,3.0,3.6,10.2,353
LO,2020-04-01,109,laRioja,8.4,4.4,11.5,353
LO,2020-04-02,103,laRioja,10.1,2.5,0.0,353
LO,2020-04-03,79,laRioja,10.2,1.7,0.0,353
LO,2020-04-04,56,laRioja,9.4,6.9,0.0,353
LO,2020-04-05,38,laRioja,13.4,8.1,0.1,353
LO,2020-04-06,42,laRioja,12.0,4.4,5.8,353
LO,2020-04-07,50,laRioja,11.6,5.6,0.9,353
LO,2020-04-08,47,laRioja,14.2,3.3,0.0,353
LO,2020-04-09,47,laRioja,14.4,5.3,0.0,353
LO,2020-04-10,40,laRioja,14.0,4.2,0.2,353
LO,2020-04-11,26,laRioja,14.2,1.9,22.7,353
LO,2020-04-12,22,laRioja,14.4,4.4,0.0,353
LO,2020-04-13,29,laRioja,14.1,5.6,0.0,353
LO,2020-04-14,25,laRioja,14.0,3.9,0.5,353
LO,2020-04-15,14,laRioja,13.9,8.3,0.0,353
LO,2020-04-16,30,laRioja,15.0,6.7,2.1,353
LO,2020-04-17,23,laRioja,16.2,5.3,0.0,353
LO,2020-04-18,17,laRioja,13.7,1.9,4.0,353
LO,2020-04-19,14,laRioja,13.6,2.2,0.2,353
LO,2020-04-20,11,laRioja,14.6,1.9,0.0,353
LO,2020-04-21,14,laRioja,10.4,2.8,7.5,353
LO,2020-04-22,22,laRioja,13.3,3.1,0.0,353
LO,2020-04-23,13,laRioja,13.0,1.7,0.0,353
LO,2020-04-24,5,laRioja,16.7,2.8,0.0,353
LO,2020-04-25,5,laRioja,16.2,1.7,7.8,353
LO,2020-04-26,2,laRioja,16.4,0.8,3.2,353
LO,2020-04-27,4,laRioja,14.4,3.1,1.4,353
LO,2020-04-28,9,laRioja,12.6,1.9,0.0,353
LO,2020-04-29,5,laRioja,13.6,2.5,0.0,353
LO,2020-04-30,2,laRioja,16.5,2.8,0.3,353
LO,2020-05-01,1,laRioja,18.5,3.1,0.0,353
LO,2020-05-02,1,laRioja,17.8,3.1,0.0,353
LO,2020-05-03,2,laRioja,18.1,2.5,0.0,353
LO,2020-05-04,3,laRioja,19.6,5.8,0.6,353
LO,2020-05-05,0,laRioja,19.4,1.1,0.0,353
