provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GC,2020-02-16,0,lasPalmas,19.0,6.4,0.0,25
GC,2020-02-17,0,lasPalmas,19.2,6.1,0.0,25
GC,2020-02-18,0,lasPalmas,19.4,9.4,0.0,25
GC,2020-02-19,0,lasPalmas,19.1,9.2,0.0,25
GC,2020-02-20,0,lasPalmas,18.6,6.1,0.0,25
GC,2020-02-21,0,lasPalmas,18.8,5.0,0.0,25
GC,2020-02-22,0,lasPalmas,19.5,7.2,0.0,25
GC,2020-02-23,0,lasPalmas,21.6,5.8,0.0,25
GC,2020-02-24,0,lasPalmas,23.4,2.8,0.0,25
GC,2020-02-25,0,lasPalmas,21.6,5.6,0.0,25
GC,2020-02-26,2,lasPalmas,19.2,8.6,0.0,25
GC,2020-02-27,0,lasPalmas,18.7,6.1,0.0,25
GC,2020-02-28,1,lasPalmas,18.2,5.0,0.0,25
GC,2020-02-29,2,lasPalmas,18.5,5.6,0.0,25
GC,2020-03-01,2,lasPalmas,18.4,5.3,0.0,25
GC,2020-03-02,2,lasPalmas,19.9,6.1,0.0,25
GC,2020-03-03,2,lasPalmas,19.0,7.2,0.0,25
GC,2020-03-04,3,lasPalmas,19.4,5.6,0.0,25
GC,2020-03-05,2,lasPalmas,19.6,7.8,0.1,25
GC,2020-03-06,2,lasPalmas,19.2,12.8,0.0,25
GC,2020-03-07,3,lasPalmas,19.3,10.3,0.0,25
GC,2020-03-08,13,lasPalmas,19.6,6.1,0.0,25
GC,2020-03-09,12,lasPalmas,19.0,5.3,0.0,25
GC,2020-03-10,22,lasPalmas,18.6,5.0,0.0,25
GC,2020-03-11,20,lasPalmas,18.8,4.2,0.0,25
GC,2020-03-12,30,lasPalmas,19.2,4.7,0.0,25
GC,2020-03-13,43,lasPalmas,19.4,6.9,0.0,25
GC,2020-03-14,41,lasPalmas,19.5,6.9,0.0,25
GC,2020-03-15,40,lasPalmas,18.9,7.8,0.0,25
GC,2020-03-16,48,lasPalmas,19.8,10.0,0.0,25
GC,2020-03-17,33,lasPalmas,17.8,9.7,0.2,25
GC,2020-03-18,37,lasPalmas,18.4,7.5,4.3,25
GC,2020-03-19,25,lasPalmas,19.6,8.1,0.0,25
GC,2020-03-20,33,lasPalmas,20.2,7.8,0.0,25
GC,2020-03-21,20,lasPalmas,18.8,7.8,0.0,25
GC,2020-03-22,22,lasPalmas,18.7,5.6,6.5,25
GC,2020-03-23,30,lasPalmas,16.8,7.2,1.6,25
GC,2020-03-24,15,lasPalmas,19.4,8.1,0.0,25
GC,2020-03-25,18,lasPalmas,18.6,4.7,0.0,25
GC,2020-03-26,21,lasPalmas,17.2,4.7,0.0,25
GC,2020-03-27,23,lasPalmas,19.4,5.0,0.0,25
GC,2020-03-28,12,lasPalmas,18.3,3.3,0.0,25
