provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LE,2020-02-16,0,leon,10.8,2.5,0.0,1020
LE,2020-02-17,0,leon,6.1,4.7,0.0,1020
LE,2020-02-18,1,leon,5.0,2.2,0.1,1020
LE,2020-02-19,0,leon,5.3,1.1,0.0,1020
LE,2020-02-20,0,leon,7.5,1.7,0.2,1020
LE,2020-02-21,2,leon,8.6,0.8,0.0,1020
LE,2020-02-22,0,leon,10.6,1.7,0.0,1020
LE,2020-02-23,0,leon,11.6,1.7,0.0,1020
LE,2020-02-24,1,leon,11.4,3.6,0.0,1020
LE,2020-02-25,0,leon,9.3,4.2,0.0,1020
LE,2020-02-26,1,leon,7.2,4.2,0.0,1020
LE,2020-02-27,2,leon,10.6,3.9,0.0,1020
LE,2020-02-28,1,leon,9.8,3.1,0.0,1020
LE,2020-02-29,2,leon,9.2,5.8,0.1,1020
LE,2020-03-01,3,leon,9.4,8.3,10.8,1020
LE,2020-03-02,8,leon,6.6,6.4,4.6,1020
LE,2020-03-03,4,leon,9.6,9.7,0.2,1020
LE,2020-03-04,0,leon,12.4,4.7,1.1,1020
LE,2020-03-05,6,leon,8.5,6.7,1.6,1020
LE,2020-03-06,4,leon,5.2,8.9,0.0,1020
LE,2020-03-07,6,leon,9.5,3.1,0.0,1020
LE,2020-03-08,7,leon,8.0,4.7,0.0,1020
LE,2020-03-09,24,leon,9.4,3.3,0.0,1020
LE,2020-03-10,11,leon,14.1,1.4,0.0,1020
LE,2020-03-11,24,leon,13.2,1.4,0.0,1020
LE,2020-03-12,37,leon,13.2,2.2,0.0,1020
LE,2020-03-13,58,leon,9.8,1.7,0.0,1020
LE,2020-03-14,54,leon,8.7,1.9,0.1,1020
LE,2020-03-15,54,leon,7.5,5.3,0.0,1020
LE,2020-03-16,65,leon,6.4,5.6,0.0,1020
LE,2020-03-17,59,leon,10.4,3.9,0.0,1020
LE,2020-03-18,87,leon,13.2,1.7,0.0,1020
LE,2020-03-19,133,leon,11.6,2.5,0.1,1020
LE,2020-03-20,125,leon,9.0,1.4,2.7,1020
LE,2020-03-21,65,leon,9.1,1.4,0.0,1020
LE,2020-03-22,91,leon,10.1,2.2,0.2,1020
LE,2020-03-23,115,leon,8.4,1.7,0.1,1020
LE,2020-03-24,52,leon,9.8,2.2,0.0,1020
LE,2020-03-25,84,leon,10.2,3.9,0.0,1020
LE,2020-03-26,47,leon,8.6,1.7,0.0,1020
LE,2020-03-27,80,leon,4.0,2.8,0.0,1020
LE,2020-03-28,68,leon,7.7,1.7,0.0,1020
LE,2020-03-29,67,leon,8.6,1.9,0.6,1020
LE,2020-03-30,51,leon,2.2,4.2,0.2,1020
LE,2020-03-31,24,leon,1.6,3.6,11.0,1020
LE,2020-04-01,37,leon,8.8,1.7,6.7,1020
LE,2020-04-02,45,leon,8.6,3.3,0.0,1020
LE,2020-04-03,65,leon,7.8,2.5,0.0,1020
LE,2020-04-04,63,leon,8.0,3.1,0.2,1020
LE,2020-04-05,32,leon,9.6,4.2,2.2,1020
LE,2020-04-06,55,leon,11.6,1.7,1.5,1020
LE,2020-04-07,44,leon,13.0,1.9,1.8,1020
LE,2020-04-08,34,leon,12.6,1.4,0.1,1020
LE,2020-04-09,89,leon,11.4,2.2,7.5,1020
LE,2020-04-10,104,leon,12.3,2.5,6.3,1020
LE,2020-04-11,127,leon,13.9,1.9,0.1,1020
LE,2020-04-12,32,leon,13.4,1.9,7.0,1020
LE,2020-04-13,48,leon,9.2,1.7,1.8,1020
LE,2020-04-14,43,leon,13.3,1.7,10.4,1020
LE,2020-04-15,22,leon,9.6,2.8,7.5,1020
LE,2020-04-16,12,leon,9.0,3.6,12.5,1020
LE,2020-04-17,34,leon,9.8,3.6,2.4,1020
LE,2020-04-18,5,leon,10.5,1.7,0.0,1020
LE,2020-04-19,25,leon,10.4,2.5,1.0,1020
LE,2020-04-20,88,leon,9.2,2.8,0.0,1020
LE,2020-04-21,23,leon,12.2,3.6,0.0,1020
LE,2020-04-22,60,leon,11.4,2.5,0.0,1020
LE,2020-04-23,17,leon,12.4,1.4,0.0,1020
LE,2020-04-24,77,leon,13.7,2.2,1.0,1020
LE,2020-04-25,19,leon,15.0,2.8,0.1,1020
LE,2020-04-26,3,leon,12.9,2.8,0.0,1020
LE,2020-04-27,20,leon,10.0,2.8,1.0,1020
LE,2020-04-28,17,leon,9.8,2.8,0.1,1020
LE,2020-04-29,12,leon,10.8,4.2,0.0,1020
LE,2020-04-30,11,leon,10.9,3.3,0.4,1020
LE,2020-05-01,8,leon,14.7,4.7,0.0,1020
LE,2020-05-02,14,leon,14.4,1.7,0.0,1020
LE,2020-05-03,8,leon,15.2,2.8,0.0,1020
LE,2020-05-04,3,leon,17.0,5.6,0.1,1020
LE,2020-05-05,1,leon,13.0,2.8,0.0,1020
LE,2020-05-06,4,leon,13.4,2.8,0.0,1020
LE,2020-05-07,6,leon,16.6,2.5,8.4,1020
LE,2020-05-08,2,leon,15.5,2.2,4.3,1020
LE,2020-05-09,5,leon,13.3,3.3,1.2,1020
LE,2020-05-10,4,leon,12.4,2.5,1.0,1020
LE,2020-05-11,5,leon,11.6,1.1,0.8,1020
LE,2020-05-12,6,leon,12.8,2.5,9.0,1020
