provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
L,2020-02-16,0,lleida,9.2,1.4,0.1,185
L,2020-02-17,0,lleida,12.4,2.5,0.0,185
L,2020-02-18,0,lleida,9.5,1.9,0.0,185
L,2020-02-19,0,lleida,7.4,1.7,0.0,185
L,2020-02-20,0,lleida,8.8,0.6,0.0,185
L,2020-02-21,0,lleida,8.8,1.4,0.0,185
L,2020-02-22,1,lleida,9.2,1.1,0.0,185
L,2020-02-23,0,lleida,9.9,1.4,0.0,185
L,2020-02-24,0,lleida,10.8,1.7,0.0,185
L,2020-02-25,0,lleida,10.8,3.9,0.0,185
L,2020-02-26,0,lleida,11.3,7.5,0.0,185
L,2020-02-27,0,lleida,10.4,5.8,0.0,185
L,2020-02-28,0,lleida,13.7,2.5,0.0,185
L,2020-02-29,0,lleida,12.8,1.7,0.0,185
L,2020-03-01,3,lleida,14.4,3.9,3.8,185
L,2020-03-02,3,lleida,11.0,10.3,0.0,185
L,2020-03-03,2,lleida,9.9,5.8,1.0,185
L,2020-03-04,5,lleida,14.4,4.4,0.0,185
L,2020-03-05,3,lleida,13.6,4.7,0.0,185
L,2020-03-06,8,lleida,9.0,8.6,0.0,185
L,2020-03-07,9,lleida,11.4,5.3,0.0,185
L,2020-03-08,12,lleida,11.3,1.7,0.0,185
L,2020-03-09,16,lleida,12.4,10.0,0.0,185
L,2020-03-10,20,lleida,11.4,2.5,0.0,185
L,2020-03-11,11,lleida,14.0,1.9,0.0,185
L,2020-03-12,23,lleida,16.6,1.4,0.0,185
L,2020-03-13,35,lleida,14.4,1.4,0.0,185
L,2020-03-14,35,lleida,12.7,1.4,0.0,185
L,2020-03-15,37,lleida,12.8,1.7,9.0,185
L,2020-03-16,55,lleida,11.8,5.8,8.8,185
L,2020-03-17,44,lleida,14.4,2.8,1.4,185
L,2020-03-18,85,lleida,12.6,0.8,0.0,185
L,2020-03-19,80,lleida,12.4,2.5,0.0,185
L,2020-03-20,73,lleida,11.6,1.9,0.0,185
L,2020-03-21,91,lleida,11.4,2.2,0.0,185
L,2020-03-22,68,lleida,12.2,1.9,0.0,185
L,2020-03-23,84,lleida,13.0,3.3,0.0,185
L,2020-03-24,46,lleida,12.6,2.5,0.8,185
L,2020-03-25,40,lleida,8.4,1.4,0.6,185
L,2020-03-26,51,lleida,8.6,2.5,0.0,185
L,2020-03-27,67,lleida,7.5,1.9,0.0,185
L,2020-03-28,53,lleida,12.9,1.4,0.0,185
L,2020-03-29,53,lleida,12.8,3.1,0.0,185
L,2020-03-30,47,lleida,8.0,3.1,0.0,185
L,2020-03-31,35,lleida,6.1,1.4,10.4,185
L,2020-04-01,51,lleida,9.8,4.2,15.0,185
L,2020-04-02,47,lleida,12.5,1.1,1.4,185
L,2020-04-03,41,lleida,12.2,2.2,0.0,185
L,2020-04-04,40,lleida,12.6,1.9,0.0,185
L,2020-04-05,36,lleida,12.4,2.5,0.0,185
L,2020-04-06,45,lleida,14.2,2.2,0.0,185
L,2020-04-07,37,lleida,13.2,2.5,0.6,185
L,2020-04-08,35,lleida,13.5,1.1,0.0,185
L,2020-04-09,59,lleida,15.0,2.5,0.0,185
L,2020-04-10,42,lleida,15.1,3.3,0.2,185
L,2020-04-11,35,lleida,16.0,2.8,0.0,185
L,2020-04-12,35,lleida,14.4,2.5,0.0,185
L,2020-04-13,22,lleida,12.8,2.5,4.2,185
L,2020-04-14,28,lleida,16.6,1.4,0.0,185
L,2020-04-15,37,lleida,14.5,1.9,0.4,185
L,2020-04-16,16,lleida,17.4,2.5,0.0,185
L,2020-04-17,25,lleida,16.8,1.9,0.0,185
L,2020-04-18,7,lleida,18.6,2.2,1.2,185
L,2020-04-19,9,lleida,18.0,1.9,4.2,185
L,2020-04-20,13,lleida,16.8,2.5,8.6,185
L,2020-04-21,14,lleida,14.3,1.9,16.2,185
L,2020-04-22,8,lleida,16.4,2.2,6.2,185
L,2020-04-23,17,lleida,17.2,1.1,0.0,185
L,2020-04-24,13,lleida,18.0,1.9,0.0,185
L,2020-04-25,17,lleida,17.0,2.5,0.0,185
L,2020-04-26,6,lleida,17.6,2.2,0.2,185
L,2020-04-27,3,lleida,15.8,1.7,16.8,185
L,2020-04-28,9,lleida,15.1,3.3,0.0,185
L,2020-04-29,4,lleida,15.4,1.7,0.0,185
L,2020-04-30,3,lleida,17.1,3.3,0.0,185
L,2020-05-01,7,lleida,18.4,3.3,0.2,185
L,2020-05-02,7,lleida,21.0,4.4,0.0,185
L,2020-05-03,3,lleida,21.2,1.1,0.0,185
L,2020-05-04,14,lleida,22.4,2.5,0.0,185
L,2020-05-05,8,lleida,20.6,0.6,0.0,185
L,2020-05-06,5,lleida,21.2,1.9,0.0,185
L,2020-05-07,7,lleida,20.9,2.2,0.0,185
L,2020-05-08,6,lleida,20.5,4.2,0.0,185
L,2020-05-09,5,lleida,18.6,2.8,0.0,185
L,2020-05-10,11,lleida,16.0,2.5,23.6,185
L,2020-05-11,14,lleida,18.3,5.0,0.0,185
