provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LU,2020-02-16,1,lugo,14.0,5.8,14.2,445
LU,2020-02-17,0,lugo,6.4,1.7,0.4,445
LU,2020-02-18,0,lugo,5.0,0.8,0.0,445
LU,2020-02-19,0,lugo,7.0,1.1,0.0,445
LU,2020-02-20,0,lugo,7.2,1.4,0.0,445
LU,2020-02-21,0,lugo,10.2,0.8,0.0,445
LU,2020-02-22,0,lugo,9.3,0.8,0.0,445
LU,2020-02-23,0,lugo,10.7,0.8,0.0,445
LU,2020-02-24,0,lugo,10.2,1.9,1.8,445
LU,2020-02-25,0,lugo,9.5,2.2,1.6,445
LU,2020-02-26,0,lugo,8.2,3.1,0.4,445
LU,2020-02-27,2,lugo,12.2,4.2,0.0,445
LU,2020-02-28,1,lugo,12.8,4.2,8.8,445
LU,2020-02-29,0,lugo,8.8,5.3,10.6,445
LU,2020-03-01,2,lugo,10.6,5.3,31.4,445
LU,2020-03-02,1,lugo,8.1,2.5,8.6,445
LU,2020-03-03,1,lugo,11.6,4.2,3.2,445
LU,2020-03-04,1,lugo,13.8,3.3,16.6,445
LU,2020-03-05,0,lugo,9.6,3.1,11.2,445
LU,2020-03-06,2,lugo,7.5,2.2,2.0,445
LU,2020-03-07,3,lugo,11.0,1.4,0.0,445
LU,2020-03-08,6,lugo,11.0,2.5,0.2,445
LU,2020-03-09,8,lugo,9.7,1.4,0.0,445
LU,2020-03-10,16,lugo,11.2,2.2,0.0,445
LU,2020-03-11,13,lugo,14.2,1.4,0.0,445
LU,2020-03-12,21,lugo,9.6,1.9,0.0,445
LU,2020-03-13,27,lugo,9.6,2.2,0.0,445
LU,2020-03-14,24,lugo,10.3,1.1,0.0,445
LU,2020-03-15,27,lugo,6.4,1.1,17.2,445
LU,2020-03-16,38,lugo,6.4,2.8,5.4,445
LU,2020-03-17,27,lugo,9.6,1.7,0.0,445
LU,2020-03-18,19,lugo,12.6,0.8,0.0,445
LU,2020-03-19,26,lugo,13.4,1.4,21.6,445
LU,2020-03-20,41,lugo,12.6,0.3,10.2,445
LU,2020-03-21,32,lugo,12.8,1.4,0.6,445
LU,2020-03-22,17,lugo,11.0,1.9,0.0,445
LU,2020-03-23,49,lugo,10.0,1.7,0.0,445
LU,2020-03-24,32,lugo,10.8,1.1,0.0,445
LU,2020-03-25,39,lugo,11.3,1.1,0.0,445
LU,2020-03-26,36,lugo,6.5,1.9,0.0,445
LU,2020-03-27,31,lugo,7.8,1.7,0.0,445
LU,2020-03-28,22,lugo,8.7,1.9,0.0,445
LU,2020-03-29,32,lugo,8.6,2.2,0.0,445
LU,2020-03-30,19,lugo,4.5,5.3,0.0,445
LU,2020-03-31,18,lugo,3.5,3.3,5.2,445
LU,2020-04-01,21,lugo,9.7,1.4,0.2,445
LU,2020-04-02,14,lugo,8.9,2.8,0.2,445
LU,2020-04-03,19,lugo,10.2,1.7,0.0,445
LU,2020-04-04,4,lugo,11.4,2.2,0.0,445
LU,2020-04-05,8,lugo,13.1,2.8,11.8,445
LU,2020-04-06,6,lugo,11.6,1.1,0.0,445
LU,2020-04-07,4,lugo,14.2,1.7,0.0,445
