provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
M,2020-02-16,13,madrid,10.5,2.2,0.0,540
M,2020-02-17,19,madrid,9.8,1.7,0.0,540
M,2020-02-18,14,madrid,9.2,1.1,0.0,540
M,2020-02-19,12,madrid,8.6,0.8,0.0,540
M,2020-02-20,25,madrid,8.1,1.1,0.0,540
M,2020-02-21,26,madrid,10.4,0.8,0.0,540
M,2020-02-22,29,madrid,9.6,0.8,0.0,540
M,2020-02-23,44,madrid,10.4,0.6,0.0,540
M,2020-02-24,56,madrid,10.6,0.8,0.0,540
M,2020-02-25,50,madrid,10.2,2.2,0.0,540
M,2020-02-26,67,madrid,10.4,2.2,0.0,540
M,2020-02-27,93,madrid,9.7,2.2,0.0,540
M,2020-02-28,157,madrid,11.4,1.1,0.0,540
M,2020-02-29,109,madrid,10.7,3.1,0.0,540
M,2020-03-01,319,madrid,12.2,1.7,1.1,540
M,2020-03-02,376,madrid,9.6,5.6,3.2,540
M,2020-03-03,399,madrid,9.1,3.9,0.0,540
M,2020-03-04,463,madrid,14.6,2.8,0.0,540
M,2020-03-05,654,madrid,12.0,3.6,0.2,540
M,2020-03-06,784,madrid,8.0,5.6,0.0,540
M,2020-03-07,852,madrid,8.0,1.9,0.0,540
M,2020-03-08,1070,madrid,9.0,1.7,0.0,540
M,2020-03-09,1504,madrid,11.9,1.7,0.0,540
M,2020-03-10,2004,madrid,13.1,2.2,0.0,540
M,2020-03-11,1929,madrid,16.4,1.7,0.0,540
M,2020-03-12,2341,madrid,16.2,0.8,0.0,540
M,2020-03-13,2800,madrid,16.0,1.7,0.0,540
M,2020-03-14,2563,madrid,15.4,1.4,0.0,540
M,2020-03-15,2600,madrid,13.6,1.4,18.7,540
M,2020-03-16,2914,madrid,6.6,1.9,1.2,540
M,2020-03-18,2671,madrid,11.6,1.4,0.0,540
M,2020-03-19,2498,madrid,11.9,4.2,0.0,540
M,2020-03-20,3105,madrid,11.2,4.7,0.0,540
M,2020-03-21,1959,madrid,8.6,1.7,0.5,540
M,2020-03-22,1673,madrid,8.4,1.1,5.9,540
M,2020-03-23,2130,madrid,11.7,1.9,7.0,540
M,2020-03-24,2035,madrid,11.8,2.2,0.0,540
M,2020-03-25,1767,madrid,10.4,0.8,0.0,540
M,2020-03-26,1579,madrid,8.8,1.9,0.0,540
M,2020-03-27,1499,madrid,6.4,3.9,4.6,540
M,2020-03-28,1252,madrid,8.3,1.7,0.0,540
M,2020-03-29,884,madrid,11.0,1.7,0.1,540
M,2020-03-30,1091,madrid,6.6,3.6,7.3,540
M,2020-03-31,1104,madrid,7.6,2.8,24.8,540
M,2020-04-01,1338,madrid,9.3,1.4,1.2,540
M,2020-04-02,1004,madrid,9.1,2.5,0.0,540
M,2020-04-03,932,madrid,10.6,1.4,0.0,540
M,2020-04-04,730,madrid,11.7,4.7,0.2,540
M,2020-04-05,651,madrid,15.4,2.5,1.2,540
M,2020-04-06,631,madrid,15.9,1.7,7.4,540
M,2020-04-07,755,madrid,15.0,1.9,0.3,540
M,2020-04-08,686,madrid,15.6,0.6,0.0,540
M,2020-04-09,638,madrid,14.1,0.3,11.1,540
M,2020-04-10,712,madrid,13.8,2.8,3.2,540
M,2020-04-11,586,madrid,14.8,1.7,0.0,540
M,2020-04-12,496,madrid,15.0,2.8,3.4,540
M,2020-04-13,371,madrid,14.2,1.1,0.0,540
M,2020-04-14,499,madrid,15.4,3.1,6.4,540
M,2020-04-15,474,madrid,13.8,2.5,5.0,540
M,2020-04-16,585,madrid,15.5,2.8,3.0,540
M,2020-04-17,396,madrid,14.8,1.7,0.0,540
M,2020-04-18,467,madrid,15.0,0.8,8.6,540
M,2020-04-19,260,madrid,14.1,1.7,0.0,540
M,2020-04-20,264,madrid,11.6,2.2,0.5,540
M,2020-04-21,470,madrid,11.9,1.9,0.3,540
M,2020-04-22,462,madrid,14.2,1.1,0.0,540
M,2020-04-23,357,madrid,15.1,1.9,0.0,540
M,2020-04-24,237,madrid,16.5,2.5,0.0,540
M,2020-04-25,130,madrid,15.8,1.9,1.2,540
M,2020-04-26,120,madrid,15.7,2.8,0.0,540
M,2020-04-27,202,madrid,12.4,1.9,0.0,540
M,2020-04-28,257,madrid,12.4,2.5,0.0,540
M,2020-04-29,216,madrid,13.2,2.8,0.1,540
M,2020-04-30,180,madrid,15.8,2.8,0.0,540
M,2020-05-01,186,madrid,17.0,3.3,0.0,540
M,2020-05-02,177,madrid,18.6,2.2,0.0,540
M,2020-05-03,71,madrid,20.6,1.7,0.0,540
M,2020-05-04,86,madrid,23.4,2.5,0.0,540
M,2020-05-05,52,madrid,17.1,2.2,0.0,540
M,2020-05-06,44,madrid,16.8,1.7,0.0,540
M,2020-05-07,73,madrid,19.6,3.1,0.0,540
M,2020-05-08,131,madrid,22.2,2.2,0.0,540
M,2020-05-09,144,madrid,18.6,1.7,0.1,540
M,2020-05-10,144,madrid,15.0,3.9,0.0,540
M,2020-05-11,232,madrid,14.8,2.2,0.0,540
M,2020-05-12,196,madrid,12.2,1.4,8.9,540
M,2020-05-13,130,madrid,15.1,1.1,12.0,540
M,2020-05-14,150,madrid,13.0,1.1,1.3,540
M,2020-05-15,160,madrid,13.0,1.4,2.6,540
M,2020-05-16,117,madrid,15.6,1.4,7.1,540
M,2020-05-17,143,madrid,16.4,1.7,0.0,540
M,2020-05-18,178,madrid,17.8,1.4,0.0,540
M,2020-05-19,148,madrid,19.1,1.7,0.0,540
M,2020-05-20,104,madrid,21.0,1.7,0.0,540
M,2020-05-21,104,madrid,21.4,1.9,0.0,540
M,2020-05-22,107,madrid,23.4,1.7,0.0,540
M,2020-05-23,107,madrid,24.7,1.9,0.0,540
M,2020-05-24,80,madrid,24.8,2.5,0.0,540
M,2020-05-25,153,madrid,23.2,4.2,1.3,540
M,2020-05-26,196,madrid,21.4,2.2,3.2,540
M,2020-05-27,86,madrid,22.0,4.2,0.0,540
M,2020-05-28,116,madrid,21.6,3.1,0.0,540
M,2020-05-29,135,madrid,22.7,1.4,0.0,540
M,2020-05-30,107,madrid,24.6,1.9,0.0,540
M,2020-05-31,119,madrid,24.3,2.8,3.9,540
M,2020-06-01,149,madrid,22.2,1.4,0.0,540
M,2020-06-02,142,madrid,23.2,2.8,0.0,540
M,2020-06-03,136,madrid,20.8,3.3,0.0,540
M,2020-06-04,75,madrid,19.0,3.6,0.0,540
M,2020-06-05,129,madrid,18.6,1.4,0.0,540
M,2020-06-06,89,madrid,21.4,1.9,0.0,540
M,2020-06-07,73,madrid,20.0,3.1,0.8,540
M,2020-06-08,133,madrid,18.0,1.9,0.0,540
M,2020-06-09,124,madrid,17.1,1.4,0.0,540
M,2020-06-10,90,madrid,18.6,1.4,0.0,540
M,2020-06-11,70,madrid,18.8,3.6,0.0,540
M,2020-06-12,127,madrid,16.2,3.6,8.8,540
M,2020-06-13,57,madrid,17.0,2.2,0.0,540
M,2020-06-14,65,madrid,18.0,1.9,0.0,540
M,2020-06-15,139,madrid,19.3,2.5,0.0,540
