provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MA,2020-02-16,0,malaga,13.5,0.6,0.0,408
MA,2020-02-17,0,malaga,12.0,0.8,0.0,408
MA,2020-02-18,0,malaga,12.2,1.7,0.0,408
MA,2020-02-19,0,malaga,13.2,3.1,0.0,408
MA,2020-02-20,1,malaga,12.9,3.1,0.0,408
MA,2020-02-21,3,malaga,12.8,2.8,0.0,408
MA,2020-02-22,2,malaga,14.2,2.5,0.0,408
MA,2020-02-23,2,malaga,11.9,1.9,0.0,408
MA,2020-02-24,2,malaga,14.4,0.6,0.0,408
MA,2020-02-25,8,malaga,11.6,2.5,0.0,408
MA,2020-02-26,3,malaga,13.0,1.4,0.0,408
MA,2020-02-27,4,malaga,10.5,0.3,0.0,408
MA,2020-02-28,4,malaga,11.0,1.7,0.0,408
MA,2020-02-29,4,malaga,9.8,1.4,0.0,408
MA,2020-03-01,15,malaga,13.6,2.2,0.8,408
MA,2020-03-02,15,malaga,14.2,3.9,0.5,408
MA,2020-03-03,16,malaga,10.4,2.2,0.0,408
MA,2020-03-04,13,malaga,14.6,2.2,0.0,408
MA,2020-03-05,24,malaga,10.5,1.7,0.0,408
MA,2020-03-06,40,malaga,10.8,2.5,0.0,408
MA,2020-03-07,32,malaga,9.9,0.8,0.0,408
MA,2020-03-08,38,malaga,11.6,0.8,0.0,408
MA,2020-03-09,43,malaga,12.5,1.1,0.0,408
MA,2020-03-10,67,malaga,14.0,1.9,0.0,408
MA,2020-03-11,82,malaga,16.8,1.7,0.0,408
MA,2020-03-12,92,malaga,20.6,1.4,0.0,408
MA,2020-03-13,141,malaga,15.2,1.1,0.0,408
MA,2020-03-14,105,malaga,14.4,1.4,0.0,408
MA,2020-03-15,113,malaga,14.8,1.9,0.1,408
MA,2020-03-16,151,malaga,9.8,3.1,0.8,408
MA,2020-03-17,150,malaga,10.2,0.8,0.6,408
MA,2020-03-18,133,malaga,12.9,2.5,0.1,408
MA,2020-03-19,144,malaga,13.4,3.6,0.0,408
MA,2020-03-20,196,malaga,13.6,3.3,17.1,408
MA,2020-03-21,107,malaga,10.5,1.4,7.2,408
MA,2020-03-22,89,malaga,10.4,0.8,2.4,408
MA,2020-03-23,96,malaga,9.7,1.1,8.1,408
MA,2020-03-24,98,malaga,12.6,0.3,1.0,408
MA,2020-03-25,98,malaga,10.8,0.3,6.5,408
MA,2020-03-26,76,malaga,13.2,2.2,0.0,408
MA,2020-03-27,50,malaga,11.8,2.8,0.0,408
MA,2020-03-28,50,malaga,10.8,1.9,0.0,408
MA,2020-03-29,53,malaga,12.7,0.8,0.0,408
MA,2020-03-30,36,malaga,13.5,0.0,8.2,408
MA,2020-03-31,32,malaga,12.8,2.2,5.9,408
MA,2020-04-01,51,malaga,12.1,2.2,9.0,408
MA,2020-04-02,44,malaga,9.2,1.9,0.2,408
MA,2020-04-03,37,malaga,11.2,2.8,0.0,408
MA,2020-04-04,20,malaga,12.8,3.6,1.0,408
MA,2020-04-05,26,malaga,14.7,2.2,0.0,408
MA,2020-04-06,18,malaga,14.6,1.9,0.0,408
MA,2020-04-07,25,malaga,14.9,2.2,0.0,408
MA,2020-04-08,34,malaga,15.0,2.8,0.0,408
MA,2020-04-09,26,malaga,14.6,2.2,0.7,408
MA,2020-04-10,16,malaga,14.4,1.9,0.0,408
MA,2020-04-11,14,malaga,15.0,2.8,0.0,408
MA,2020-04-12,11,malaga,14.8,2.5,1.3,408
MA,2020-04-13,7,malaga,14.9,1.1,4.9,408
MA,2020-04-14,9,malaga,13.8,2.5,11.3,408
MA,2020-04-15,10,malaga,14.1,2.5,11.6,408
MA,2020-04-16,9,malaga,15.4,3.3,0.0,408
MA,2020-04-17,14,malaga,16.2,1.9,0.0,408
MA,2020-04-18,11,malaga,16.0,1.1,0.0,408
MA,2020-04-19,6,malaga,17.0,2.5,0.0,408
MA,2020-04-20,4,malaga,12.9,1.7,4.2,408
MA,2020-04-21,6,malaga,12.2,1.7,0.8,408
MA,2020-04-22,7,malaga,14.1,1.1,0.0,408
MA,2020-04-23,8,malaga,15.2,3.1,0.0,408
MA,2020-04-24,6,malaga,15.8,3.3,0.3,408
MA,2020-04-25,3,malaga,14.3,0.8,0.7,408
MA,2020-04-26,4,malaga,13.8,0.8,0.0,408
MA,2020-04-27,2,malaga,12.8,0.6,0.1,408
MA,2020-04-28,2,malaga,13.4,0.8,0.0,408
MA,2020-04-29,5,malaga,14.4,1.9,0.0,408
MA,2020-04-30,4,malaga,14.8,2.5,0.0,408
MA,2020-05-01,2,malaga,17.8,1.4,0.0,408
MA,2020-05-02,4,malaga,20.8,0.6,0.0,408
MA,2020-05-03,1,malaga,20.8,2.2,0.0,408
MA,2020-05-04,4,malaga,22.4,2.2,0.0,408
MA,2020-05-05,1,malaga,20.1,1.1,0.0,408
MA,2020-05-06,1,malaga,19.4,1.1,0.0,408
MA,2020-05-08,0,malaga,20.6,3.6,0.0,408
MA,2020-05-09,0,malaga,17.6,1.7,1.0,408
MA,2020-05-10,1,malaga,15.3,2.5,2.0,408
MA,2020-05-11,2,malaga,16.0,2.5,12.5,408
MA,2020-05-12,3,malaga,13.6,0.8,4.5,408
MA,2020-05-13,3,malaga,13.8,1.1,4.8,408
MA,2020-05-14,1,malaga,13.5,3.3,0.0,408
MA,2020-05-19,3,malaga,20.4,1.4,0.0,408
MA,2020-05-21,0,malaga,23.3,0.8,0.0,408
MA,2020-05-22,1,malaga,24.0,1.9,0.0,408
MA,2020-05-23,3,malaga,24.0,2.2,0.0,408
MA,2020-05-24,1,malaga,22.6,4.2,0.0,408
