provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ML,2020-02-16,0,melilla,15.0,1.9,0.0,52
ML,2020-02-17,0,melilla,15.5,1.4,0.0,52
ML,2020-02-18,0,melilla,15.5,2.5,0.0,52
ML,2020-02-19,0,melilla,15.8,6.4,0.0,52
ML,2020-02-20,0,melilla,16.2,2.8,0.0,52
ML,2020-02-21,0,melilla,16.0,5.0,0.0,52
ML,2020-02-22,0,melilla,16.3,4.7,0.0,52
ML,2020-02-23,0,melilla,15.8,3.9,0.0,52
ML,2020-02-24,0,melilla,15.4,1.9,0.0,52
ML,2020-02-25,0,melilla,16.6,5.6,0.0,52
ML,2020-02-26,0,melilla,17.0,6.9,0.0,52
ML,2020-02-27,0,melilla,17.2,2.2,0.0,52
ML,2020-02-28,0,melilla,14.9,1.9,0.0,52
ML,2020-02-29,0,melilla,16.6,4.4,0.0,52
ML,2020-03-01,0,melilla,17.3,3.6,0.0,52
ML,2020-03-02,0,melilla,19.6,4.2,0.0,52
ML,2020-03-03,0,melilla,17.0,5.3,0.0,52
ML,2020-03-04,0,melilla,18.4,6.4,0.0,52
ML,2020-03-05,1,melilla,18.0,5.6,0.0,52
ML,2020-03-06,1,melilla,16.4,6.9,0.0,52
ML,2020-03-07,3,melilla,15.8,3.1,0.0,52
ML,2020-03-08,1,melilla,15.7,2.2,0.0,52
ML,2020-03-09,2,melilla,18.8,3.6,0.0,52
ML,2020-03-10,5,melilla,18.6,2.5,0.0,52
ML,2020-03-11,4,melilla,16.6,2.5,0.0,52
ML,2020-03-12,2,melilla,19.0,3.1,0.0,52
ML,2020-03-13,9,melilla,18.1,2.5,0.0,52
ML,2020-03-14,3,melilla,15.4,2.2,0.0,52
ML,2020-03-15,3,melilla,15.2,1.7,0.0,52
ML,2020-03-16,4,melilla,16.2,3.6,0.0,52
ML,2020-03-17,3,melilla,13.9,5.6,0.4,52
ML,2020-03-18,6,melilla,16.4,8.9,0.2,52
ML,2020-03-19,5,melilla,15.3,7.2,1.2,52
ML,2020-03-20,4,melilla,15.2,6.1,5.2,52
ML,2020-03-21,3,melilla,15.3,3.3,0.0,52
ML,2020-03-22,5,melilla,14.0,1.7,1.2,52
ML,2020-03-23,5,melilla,14.2,4.7,0.4,52
ML,2020-03-24,1,melilla,15.8,9.4,8.8,52
ML,2020-03-25,3,melilla,13.2,4.2,0.0,52
ML,2020-03-26,5,melilla,15.2,5.0,0.0,52
ML,2020-03-27,5,melilla,17.2,3.1,0.0,52
ML,2020-03-28,3,melilla,14.6,4.7,0.0,52
ML,2020-03-29,5,melilla,14.0,2.5,0.0,52
ML,2020-03-30,3,melilla,16.6,3.1,0.0,52
ML,2020-03-31,3,melilla,17.5,2.2,0.6,52
ML,2020-04-01,5,melilla,17.0,2.5,1.6,52
ML,2020-04-02,3,melilla,15.8,2.8,3.6,52
ML,2020-04-03,3,melilla,15.6,4.4,0.0,52
ML,2020-04-04,2,melilla,15.8,4.2,0.0,52
ML,2020-04-05,0,melilla,16.0,3.9,0.0,52
ML,2020-04-06,0,melilla,15.8,2.2,0.0,52
ML,2020-04-07,2,melilla,16.6,3.9,0.0,52
ML,2020-04-08,0,melilla,16.6,4.2,0.0,52
ML,2020-04-09,0,melilla,16.2,2.2,2.8,52
ML,2020-04-10,1,melilla,16.8,3.3,0.0,52
ML,2020-04-11,0,melilla,15.6,4.2,5.4,52
ML,2020-04-12,1,melilla,16.0,4.4,20.2,52
ML,2020-04-14,0,melilla,16.4,2.5,2.0,52
ML,2020-04-16,0,melilla,17.4,4.2,0.0,52
ML,2020-04-20,2,melilla,17.1,5.0,6.0,52
ML,2020-04-21,0,melilla,16.8,3.3,0.0,52
ML,2020-04-22,1,melilla,18.4,3.9,0.0,52
ML,2020-04-23,0,melilla,17.0,5.0,0.0,52
ML,2020-04-24,1,melilla,16.7,5.0,4.8,52
ML,2020-04-25,1,melilla,17.6,1.9,6.4,52
ML,2020-04-26,0,melilla,18.2,3.6,0.0,52
ML,2020-04-27,0,melilla,18.8,2.5,0.0,52
ML,2020-04-28,0,melilla,18.5,1.9,0.0,52
ML,2020-04-29,1,melilla,19.6,3.9,0.0,52
ML,2020-04-30,1,melilla,19.5,5.0,0.0,52
ML,2020-05-01,0,melilla,21.2,3.1,0.0,52
ML,2020-05-02,0,melilla,22.6,1.9,0.0,52
ML,2020-05-03,0,melilla,22.0,2.5,0.0,52
ML,2020-05-04,0,melilla,21.8,3.6,0.0,52
ML,2020-05-05,0,melilla,23.6,3.9,0.0,52
ML,2020-05-06,0,melilla,23.3,3.9,0.0,52
ML,2020-05-07,0,melilla,19.5,3.9,0.0,52
ML,2020-05-08,0,melilla,20.0,2.5,0.0,52
ML,2020-05-09,0,melilla,20.4,3.1,0.8,52
ML,2020-05-10,0,melilla,19.2,3.1,0.0,52
ML,2020-05-11,0,melilla,20.4,2.5,0.0,52
ML,2020-05-12,0,melilla,18.0,2.8,0.2,52
ML,2020-05-13,0,melilla,17.9,2.8,23.8,52
ML,2020-05-14,0,melilla,18.4,3.9,4.2,52
ML,2020-05-15,0,melilla,18.0,1.9,0.0,52
ML,2020-05-16,0,melilla,19.0,2.2,0.0,52
ML,2020-05-17,0,melilla,17.7,3.1,0.0,52
ML,2020-05-18,1,melilla,19.2,2.2,0.0,52
ML,2020-05-19,0,melilla,21.1,2.2,0.0,52
ML,2020-05-20,0,melilla,22.9,2.2,0.0,52
ML,2020-05-21,0,melilla,25.8,1.9,0.0,52
ML,2020-05-22,0,melilla,24.2,2.2,0.0,52
ML,2020-05-23,0,melilla,22.3,2.5,0.0,52
ML,2020-05-24,0,melilla,21.6,5.3,0.0,52
ML,2020-05-25,0,melilla,21.7,5.3,0.0,52
ML,2020-05-26,0,melilla,20.9,4.7,0.0,52
ML,2020-05-27,0,melilla,20.4,4.7,0.0,52
ML,2020-05-28,0,melilla,20.0,4.4,0.0,52
ML,2020-05-29,0,melilla,19.9,3.9,0.0,52
ML,2020-05-30,0,melilla,20.6,4.7,0.0,52
ML,2020-05-31,0,melilla,21.2,2.8,0.0,52
ML,2020-06-01,1,melilla,20.7,2.2,0.0,52
ML,2020-06-02,0,melilla,21.2,3.6,0.0,52
ML,2020-06-03,0,melilla,22.3,4.2,0.0,52
ML,2020-06-04,0,melilla,22.9,4.7,0.0,52
ML,2020-06-05,0,melilla,23.0,3.3,0.0,52
ML,2020-06-06,0,melilla,23.8,2.5,1.6,52
ML,2020-06-07,0,melilla,22.8,3.6,0.0,52
ML,2020-06-08,0,melilla,21.6,5.3,0.0,52
ML,2020-06-09,1,melilla,21.7,3.3,0.0,52
ML,2020-06-10,0,melilla,22.3,2.2,0.0,52
ML,2020-06-11,0,melilla,21.8,4.7,0.0,52
ML,2020-06-12,0,melilla,21.6,3.6,0.0,52
ML,2020-06-13,0,melilla,21.6,3.6,0.0,52
ML,2020-06-14,0,melilla,22.6,4.2,0.0,52
ML,2020-06-15,1,melilla,23.2,4.4,0.0,52
