provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2020-02-16,0,murcia,12.6,1.1,0.0,26
MU,2020-02-17,0,murcia,14.2,1.1,0.0,26
MU,2020-02-18,0,murcia,14.6,3.1,0.2,26
MU,2020-02-19,0,murcia,13.9,3.1,0.0,26
MU,2020-02-20,0,murcia,12.7,1.9,0.0,26
MU,2020-02-21,0,murcia,12.9,2.5,0.0,26
MU,2020-02-22,1,murcia,12.2,1.1,0.0,26
MU,2020-02-23,1,murcia,13.8,1.4,0.0,26
MU,2020-02-24,1,murcia,12.7,1.1,0.0,26
MU,2020-02-25,3,murcia,15.4,1.9,0.0,26
MU,2020-02-26,1,murcia,17.8,1.4,0.0,26
MU,2020-02-27,1,murcia,15.9,1.7,0.0,26
MU,2020-02-28,1,murcia,17.0,1.7,0.0,26
MU,2020-02-29,2,murcia,15.8,1.7,0.0,26
MU,2020-03-01,5,murcia,19.6,3.9,0.0,26
MU,2020-03-02,7,murcia,20.4,10.8,0.0,26
MU,2020-03-03,3,murcia,20.2,7.2,0.0,26
MU,2020-03-04,5,murcia,19.6,2.5,0.0,26
MU,2020-03-05,12,murcia,18.7,3.9,0.0,26
MU,2020-03-06,10,murcia,17.7,5.0,0.0,26
MU,2020-03-07,18,murcia,16.2,2.2,0.0,26
MU,2020-03-08,15,murcia,15.6,1.9,0.0,26
MU,2020-03-09,25,murcia,17.0,1.7,0.0,26
MU,2020-03-10,50,murcia,16.3,2.2,0.0,26
MU,2020-03-11,60,murcia,16.7,1.4,0.0,26
MU,2020-03-12,40,murcia,19.0,1.1,0.0,26
MU,2020-03-13,74,murcia,17.6,2.2,0.0,26
MU,2020-03-14,84,murcia,16.2,1.9,0.0,26
MU,2020-03-15,75,murcia,15.4,1.7,0.0,26
MU,2020-03-16,100,murcia,15.7,2.5,0.0,26
MU,2020-03-17,79,murcia,15.0,3.1,0.0,26
MU,2020-03-18,93,murcia,18.2,5.3,0.0,26
MU,2020-03-19,81,murcia,16.8,4.4,0.0,26
MU,2020-03-20,92,murcia,16.0,4.2,0.0,26
MU,2020-03-21,70,murcia,14.0,2.5,14.2,26
MU,2020-03-22,65,murcia,12.2,1.1,6.4,26
MU,2020-03-23,103,murcia,13.4,3.1,7.6,26
MU,2020-03-24,62,murcia,13.4,6.4,13.0,26
MU,2020-03-25,69,murcia,14.2,1.9,0.2,26
MU,2020-03-26,36,murcia,15.8,3.6,0.0,26
MU,2020-03-27,39,murcia,13.9,3.3,12.4,26
MU,2020-03-28,31,murcia,13.4,1.9,0.0,26
MU,2020-03-29,25,murcia,13.5,1.4,0.0,26
MU,2020-03-30,30,murcia,14.8,2.5,2.6,26
MU,2020-03-31,23,murcia,15.4,2.2,0.4,26
MU,2020-04-01,23,murcia,16.8,1.9,0.0,26
MU,2020-04-02,20,murcia,14.3,1.9,0.0,26
MU,2020-04-03,16,murcia,15.6,1.9,0.0,26
MU,2020-04-04,20,murcia,15.7,3.3,0.0,26
MU,2020-04-05,12,murcia,15.4,3.1,0.0,26
MU,2020-04-06,12,murcia,16.0,2.2,0.0,26
MU,2020-04-07,4,murcia,15.7,2.8,0.0,26
MU,2020-04-08,18,murcia,15.4,3.1,0.0,26
MU,2020-04-09,7,murcia,16.6,2.8,0.4,26
MU,2020-04-10,7,murcia,17.6,1.9,0.0,26
