provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
NC,2020-02-16,0,navarra,13.9,1.7,0.0,572
NC,2020-02-17,0,navarra,8.4,2.5,0.6,572
NC,2020-02-18,0,navarra,5.8,1.9,0.0,572
NC,2020-02-19,0,navarra,6.9,1.9,0.0,572
NC,2020-02-20,3,navarra,7.6,0.6,0.0,572
NC,2020-02-21,0,navarra,8.8,0.8,0.0,572
NC,2020-02-22,1,navarra,9.6,0.8,0.0,572
NC,2020-02-23,0,navarra,9.9,0.8,0.0,572
NC,2020-02-24,2,navarra,9.4,1.1,0.0,572
NC,2020-02-25,1,navarra,8.0,2.8,0.4,572
NC,2020-02-26,2,navarra,5.6,2.5,1.5,572
NC,2020-02-27,2,navarra,7.6,1.9,0.4,572
NC,2020-02-28,3,navarra,10.6,0.6,0.0,572
NC,2020-02-29,0,navarra,10.6,3.1,0.2,572
NC,2020-03-01,6,navarra,11.7,4.4,6.5,572
NC,2020-03-02,11,navarra,7.8,5.0,5.2,572
NC,2020-03-03,9,navarra,8.0,3.1,5.9,572
NC,2020-03-04,10,navarra,10.5,1.9,0.0,572
NC,2020-03-05,17,navarra,8.2,3.6,8.9,572
NC,2020-03-06,18,navarra,3.0,2.5,18.5,572
NC,2020-03-07,37,navarra,6.6,3.1,0.9,572
NC,2020-03-08,34,navarra,7.0,1.4,0.0,572
NC,2020-03-09,68,navarra,6.9,3.1,0.9,572
NC,2020-03-10,92,navarra,10.4,0.6,0.0,572
NC,2020-03-11,89,navarra,13.2,1.1,0.0,572
NC,2020-03-12,102,navarra,12.4,1.7,1.4,572
NC,2020-03-13,164,navarra,6.2,1.7,0.0,572
NC,2020-03-14,167,navarra,7.0,1.9,0.0,572
NC,2020-03-15,139,navarra,10.0,1.4,37.6,572
NC,2020-03-16,173,navarra,6.6,1.1,2.6,572
NC,2020-03-17,141,navarra,9.6,0.0,0.0,572
NC,2020-03-18,177,navarra,11.2,0.6,0.0,572
NC,2020-03-19,130,navarra,12.8,1.1,0.0,572
NC,2020-03-20,194,navarra,9.6,2.8,0.0,572
NC,2020-03-21,135,navarra,11.0,1.7,0.0,572
NC,2020-03-22,149,navarra,10.7,1.4,1.1,572
NC,2020-03-23,170,navarra,12.0,1.4,0.2,572
NC,2020-03-24,131,navarra,10.5,1.7,0.0,572
NC,2020-03-25,116,navarra,7.0,1.1,0.0,572
NC,2020-03-26,141,navarra,5.5,3.1,0.0,572
NC,2020-03-27,113,navarra,6.4,2.2,0.0,572
NC,2020-03-28,121,navarra,8.4,1.1,0.0,572
NC,2020-03-29,80,navarra,6.6,2.5,0.0,572
NC,2020-03-30,78,navarra,2.3,2.2,2.8,572
NC,2020-03-31,99,navarra,4.3,0.3,0.7,572
NC,2020-04-01,100,navarra,8.7,1.7,17.5,572
NC,2020-04-02,114,navarra,9.2,2.8,0.0,572
NC,2020-04-03,98,navarra,8.0,1.7,0.0,572
NC,2020-04-04,73,navarra,9.9,3.1,0.0,572
NC,2020-04-05,69,navarra,14.0,4.4,1.1,572
NC,2020-04-06,50,navarra,12.5,1.4,2.2,572
NC,2020-04-07,67,navarra,12.4,1.1,1.9,572
NC,2020-04-08,127,navarra,14.8,0.6,0.0,572
NC,2020-04-09,99,navarra,14.4,1.4,0.0,572
NC,2020-04-10,104,navarra,14.6,1.9,0.0,572
NC,2020-04-11,111,navarra,14.7,1.9,2.3,572
NC,2020-04-12,111,navarra,14.2,2.2,0.0,572
NC,2020-04-13,95,navarra,12.8,1.1,0.0,572
NC,2020-04-14,112,navarra,13.4,1.1,0.0,572
NC,2020-04-15,167,navarra,14.9,3.3,0.0,572
NC,2020-04-16,227,navarra,15.8,3.9,3.4,572
NC,2020-04-17,98,navarra,15.0,3.9,0.3,572
NC,2020-04-18,141,navarra,14.5,1.1,21.1,572
NC,2020-04-19,60,navarra,13.6,1.9,0.0,572
NC,2020-04-20,80,navarra,11.2,1.9,0.1,572
NC,2020-04-21,56,navarra,8.5,2.8,3.3,572
NC,2020-04-22,58,navarra,11.6,3.1,0.0,572
NC,2020-04-23,45,navarra,13.0,0.6,0.0,572
NC,2020-04-24,51,navarra,16.5,1.1,5.9,572
NC,2020-04-25,25,navarra,16.4,0.6,0.3,572
NC,2020-04-26,23,navarra,14.4,1.7,5.9,572
NC,2020-04-27,18,navarra,13.8,0.6,8.0,572
NC,2020-04-28,32,navarra,10.6,1.7,0.0,572
NC,2020-04-29,26,navarra,11.9,1.1,0.0,572
NC,2020-04-30,24,navarra,14.4,3.3,0.1,572
NC,2020-05-01,26,navarra,17.4,1.4,4.6,572
NC,2020-05-02,27,navarra,16.6,1.1,0.0,572
NC,2020-05-03,13,navarra,17.1,0.8,0.0,572
NC,2020-05-04,13,navarra,20.0,2.5,0.0,572
NC,2020-05-05,4,navarra,17.8,0.8,0.0,572
NC,2020-05-06,7,navarra,17.4,1.9,0.0,572
NC,2020-05-07,2,navarra,18.2,2.2,0.0,572
