provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
OR,2020-02-16,0,ourense,12.2,4.7,7.2,840
OR,2020-02-17,0,ourense,6.4,3.3,1.0,840
OR,2020-02-18,1,ourense,3.8,1.7,0.0,840
OR,2020-02-19,0,ourense,5.0,0.8,0.0,840
OR,2020-02-20,2,ourense,7.2,1.9,0.0,840
OR,2020-02-21,0,ourense,8.2,2.2,0.0,840
OR,2020-02-22,1,ourense,9.4,2.2,0.0,840
OR,2020-02-23,0,ourense,10.2,1.4,0.0,840
OR,2020-02-24,1,ourense,11.1,1.7,1.6,840
OR,2020-02-25,2,ourense,8.2,2.8,1.8,840
OR,2020-02-26,1,ourense,6.0,3.1,0.2,840
OR,2020-02-27,0,ourense,9.4,4.7,0.0,840
OR,2020-02-28,2,ourense,9.4,1.9,6.2,840
OR,2020-02-29,0,ourense,7.8,5.6,1.4,840
OR,2020-03-01,1,ourense,10.2,5.6,34.6,840
OR,2020-03-02,4,ourense,6.0,4.2,7.4,840
OR,2020-03-03,2,ourense,9.0,4.7,8.2,840
OR,2020-03-04,3,ourense,11.6,4.4,13.2,840
OR,2020-03-05,5,ourense,7.4,4.4,17.2,840
OR,2020-03-06,4,ourense,5.2,4.4,4.8,840
OR,2020-03-07,6,ourense,8.4,0.8,0.0,840
OR,2020-03-08,2,ourense,8.2,3.3,0.4,840
OR,2020-03-09,23,ourense,7.6,2.5,0.0,840
OR,2020-03-10,15,ourense,11.8,1.4,0.0,840
OR,2020-03-11,27,ourense,13.4,1.7,0.0,840
OR,2020-03-12,30,ourense,10.0,3.1,0.0,840
OR,2020-03-13,39,ourense,8.5,1.7,0.0,840
OR,2020-03-14,37,ourense,8.8,1.9,0.0,840
OR,2020-03-15,57,ourense,8.0,3.3,7.0,840
OR,2020-03-16,66,ourense,5.0,3.1,0.2,840
OR,2020-03-17,52,ourense,8.3,3.1,0.0,840
OR,2020-03-18,35,ourense,12.3,1.9,0.0,840
OR,2020-03-19,54,ourense,13.0,1.4,5.0,840
OR,2020-03-20,100,ourense,9.7,1.9,1.0,840
OR,2020-03-21,51,ourense,10.0,2.8,0.0,840
OR,2020-03-22,40,ourense,10.8,2.5,0.0,840
OR,2020-03-23,73,ourense,9.8,1.9,0.0,840
OR,2020-03-24,50,ourense,11.0,2.2,0.0,840
OR,2020-03-25,42,ourense,11.2,3.1,0.0,840
OR,2020-03-26,48,ourense,7.6,4.2,0.0,840
OR,2020-03-27,49,ourense,5.6,1.9,0.0,840
OR,2020-03-28,31,ourense,8.1,2.2,0.0,840
OR,2020-03-29,37,ourense,9.0,2.2,0.0,840
OR,2020-03-30,71,ourense,3.5,4.4,0.0,840
OR,2020-03-31,43,ourense,2.6,2.5,2.0,840
OR,2020-04-01,38,ourense,7.8,1.9,7.2,840
OR,2020-04-02,117,ourense,9.4,2.8,0.0,840
OR,2020-04-03,48,ourense,10.1,1.4,0.0,840
OR,2020-04-04,40,ourense,10.5,3.3,0.0,840
OR,2020-04-05,17,ourense,12.2,2.5,5.6,840
OR,2020-04-06,35,ourense,10.6,1.4,1.8,840
OR,2020-04-07,40,ourense,13.7,1.7,0.0,840
OR,2020-04-08,35,ourense,13.8,2.5,5.8,840
OR,2020-04-09,42,ourense,12.2,1.7,6.8,840
OR,2020-04-10,18,ourense,12.8,2.5,1.2,840
OR,2020-04-11,7,ourense,12.3,1.7,0.0,840
OR,2020-04-12,13,ourense,12.0,2.8,1.6,840
OR,2020-04-13,14,ourense,9.8,2.8,4.0,840
OR,2020-04-14,12,ourense,13.2,2.5,4.6,840
OR,2020-04-15,12,ourense,9.8,3.6,5.0,840
OR,2020-04-16,20,ourense,10.0,2.8,9.6,840
OR,2020-04-17,15,ourense,11.0,1.9,4.6,840
OR,2020-04-18,14,ourense,9.8,1.4,3.6,840
OR,2020-04-19,15,ourense,9.9,2.8,0.2,840
OR,2020-04-20,17,ourense,11.4,1.9,0.2,840
OR,2020-04-21,7,ourense,11.4,2.8,0.6,840
OR,2020-04-22,7,ourense,11.4,2.2,0.0,840
OR,2020-04-23,10,ourense,12.2,1.7,0.0,840
OR,2020-04-24,5,ourense,13.6,1.7,0.0,840
OR,2020-04-25,7,ourense,13.8,2.8,3.6,840
OR,2020-04-26,6,ourense,10.4,1.9,0.6,840
OR,2020-04-27,6,ourense,9.4,3.3,6.6,840
OR,2020-04-28,1,ourense,9.7,3.6,0.8,840
OR,2020-04-29,3,ourense,11.6,3.9,3.0,840
OR,2020-04-30,2,ourense,11.2,5.0,9.0,840
OR,2020-05-01,8,ourense,14.8,4.2,2.8,840
OR,2020-05-02,2,ourense,15.1,2.5,0.0,840
OR,2020-05-03,2,ourense,17.2,2.5,0.0,840
OR,2020-05-04,4,ourense,17.2,5.6,10.0,840
OR,2020-05-05,1,ourense,13.4,2.2,0.2,840
OR,2020-05-06,4,ourense,13.7,2.8,0.0,840
OR,2020-05-07,2,ourense,17.0,1.9,9.8,840
OR,2020-05-16,0,ourense,12.0,1.7,0.0,840
OR,2020-05-17,0,ourense,14.6,1.7,0.0,840
OR,2020-05-18,2,ourense,16.2,1.7,0.0,840
OR,2020-05-19,1,ourense,17.7,1.7,0.0,840
OR,2020-05-20,1,ourense,19.6,2.5,0.8,840
OR,2020-05-21,0,ourense,20.0,2.8,0.0,840
OR,2020-05-22,2,ourense,17.7,2.8,0.0,840
OR,2020-05-23,2,ourense,16.4,3.1,0.0,840
OR,2020-05-24,0,ourense,18.6,1.9,0.0,840
OR,2020-05-25,0,ourense,18.4,1.9,0.0,840
OR,2020-05-26,0,ourense,20.0,2.5,0.0,840
OR,2020-05-27,1,ourense,21.6,1.9,0.0,840
OR,2020-05-28,0,ourense,22.6,2.2,3.6,840
OR,2020-05-29,1,ourense,21.8,2.2,0.2,840
OR,2020-05-30,0,ourense,19.6,1.7,0.0,840
OR,2020-05-31,0,ourense,19.6,1.1,0.0,840
OR,2020-06-01,0,ourense,18.0,1.7,0.2,840
OR,2020-06-02,0,ourense,20.4,1.7,0.4,840
OR,2020-06-03,0,ourense,17.6,2.8,3.4,840
OR,2020-06-04,0,ourense,13.2,2.5,0.2,840
OR,2020-06-05,0,ourense,14.2,2.2,0.0,840
OR,2020-06-06,0,ourense,14.6,2.5,0.0,840
OR,2020-06-07,0,ourense,11.5,2.8,0.0,840
OR,2020-06-08,0,ourense,12.2,2.2,0.0,840
OR,2020-06-09,0,ourense,12.6,2.2,0.0,840
OR,2020-06-10,0,ourense,13.4,2.2,0.0,840
OR,2020-06-11,0,ourense,11.4,3.9,7.2,840
OR,2020-06-12,0,ourense,11.0,3.6,21.8,840
OR,2020-06-13,0,ourense,11.8,3.1,0.4,840
OR,2020-06-14,1,ourense,11.3,1.9,0.0,840
OR,2020-06-15,0,ourense,12.8,2.5,0.0,840
