provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
P,2020-02-16,0,palencia,8.0,5.6,0.0,874
P,2020-02-17,0,palencia,6.4,5.0,0.3,874
P,2020-02-18,0,palencia,3.8,3.3,0.0,874
P,2020-02-19,0,palencia,4.0,1.4,0.0,874
P,2020-02-20,0,palencia,6.6,2.8,0.0,874
P,2020-02-21,0,palencia,8.3,1.9,0.0,874
P,2020-02-22,0,palencia,10.5,1.1,0.0,874
P,2020-02-23,0,palencia,10.0,1.1,0.0,874
P,2020-02-24,0,palencia,10.0,3.3,0.0,874
P,2020-02-25,1,palencia,8.0,5.3,0.0,874
P,2020-02-26,0,palencia,5.7,5.8,0.0,874
P,2020-02-27,0,palencia,8.2,9.2,0.0,874
P,2020-02-28,0,palencia,8.0,3.1,0.0,874
P,2020-02-29,0,palencia,8.0,11.1,0.0,874
P,2020-03-01,4,palencia,9.2,10.3,5.4,874
P,2020-03-02,0,palencia,4.9,11.1,0.2,874
P,2020-03-03,3,palencia,9.2,10.6,0.0,874
P,2020-03-04,0,palencia,11.6,7.8,0.0,874
P,2020-03-05,0,palencia,7.2,10.6,0.0,874
P,2020-03-06,0,palencia,4.5,7.8,0.0,874
P,2020-03-07,2,palencia,5.6,3.1,0.0,874
P,2020-03-08,2,palencia,6.0,4.7,0.0,874
P,2020-03-09,0,palencia,6.6,3.3,0.0,874
P,2020-03-10,4,palencia,10.0,3.3,0.0,874
P,2020-03-11,10,palencia,12.4,3.3,0.0,874
P,2020-03-12,10,palencia,12.2,4.2,0.0,874
P,2020-03-13,8,palencia,7.6,7.5,0.0,874
P,2020-03-14,16,palencia,7.7,2.2,0.0,874
P,2020-03-15,27,palencia,9.8,4.4,3.2,874
P,2020-03-16,27,palencia,3.2,8.1,3.0,874
P,2020-03-17,29,palencia,8.2,5.8,0.0,874
P,2020-03-18,27,palencia,10.6,1.9,0.0,874
P,2020-03-19,42,palencia,11.2,2.2,0.0,874
P,2020-03-20,50,palencia,10.3,3.1,1.0,874
P,2020-03-21,37,palencia,8.6,2.5,1.7,874
P,2020-03-22,33,palencia,9.4,1.9,0.0,874
P,2020-03-23,33,palencia,8.0,3.9,0.0,874
P,2020-03-24,33,palencia,9.4,4.7,0.0,874
P,2020-03-25,27,palencia,9.0,1.1,0.0,874
P,2020-03-26,36,palencia,4.3,3.1,0.0,874
P,2020-03-27,36,palencia,4.3,4.2,0.0,874
P,2020-03-28,28,palencia,6.5,1.7,0.0,874
P,2020-03-29,24,palencia,7.2,4.4,0.0,874
P,2020-03-30,24,palencia,2.0,6.7,0.0,874
P,2020-03-31,28,palencia,2.8,7.5,2.9,874
P,2020-04-01,27,palencia,7.4,2.5,5.7,874
P,2020-04-02,25,palencia,6.8,4.7,0.0,874
P,2020-04-03,24,palencia,5.9,2.8,0.0,874
P,2020-04-04,14,palencia,8.6,4.4,0.0,874
P,2020-04-05,19,palencia,11.8,3.9,6.7,874
P,2020-04-06,10,palencia,11.6,4.4,1.7,874
P,2020-04-07,9,palencia,12.5,2.5,0.7,874
P,2020-04-08,13,palencia,13.6,1.9,0.0,874
P,2020-04-09,12,palencia,12.2,2.2,8.6,874
P,2020-04-10,17,palencia,13.5,5.0,2.2,874
P,2020-04-11,14,palencia,12.4,3.3,0.0,874
P,2020-04-12,8,palencia,12.3,1.1,5.0,874
P,2020-04-13,21,palencia,11.7,2.5,1.6,874
P,2020-04-14,25,palencia,11.8,4.2,0.6,874
P,2020-04-15,19,palencia,10.8,4.4,1.1,874
P,2020-04-16,10,palencia,9.7,3.3,4.1,874
P,2020-04-17,11,palencia,10.8,5.0,8.8,874
P,2020-04-18,19,palencia,11.0,0.8,1.7,874
P,2020-04-19,14,palencia,10.5,2.2,1.3,874
P,2020-04-20,10,palencia,8.6,0.6,0.0,874
P,2020-04-21,20,palencia,10.0,3.1,0.0,874
P,2020-04-22,9,palencia,9.0,0.6,0.0,874
P,2020-04-23,3,palencia,11.8,1.7,0.0,874
P,2020-04-24,6,palencia,15.4,0.6,4.3,874
P,2020-04-25,11,palencia,14.2,3.1,1.2,874
