provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2020-02-16,0,pontevedra,13.8,5.6,16.2,108
PO,2020-02-17,0,pontevedra,10.0,2.5,0.6,108
PO,2020-02-18,0,pontevedra,8.4,2.2,0.0,108
PO,2020-02-19,0,pontevedra,8.8,1.4,0.0,108
PO,2020-02-20,0,pontevedra,10.2,1.7,0.0,108
PO,2020-02-21,0,pontevedra,13.2,1.1,0.0,108
PO,2020-02-22,0,pontevedra,12.6,1.7,0.0,108
PO,2020-02-23,0,pontevedra,14.1,2.2,0.0,108
PO,2020-02-24,0,pontevedra,10.8,2.2,5.0,108
PO,2020-02-25,0,pontevedra,11.0,2.2,7.0,108
PO,2020-02-26,0,pontevedra,10.9,1.9,3.2,108
PO,2020-02-27,1,pontevedra,13.2,2.8,0.0,108
PO,2020-02-28,0,pontevedra,12.5,2.8,18.2,108
PO,2020-02-29,1,pontevedra,11.4,4.7,6.0,108
PO,2020-03-01,1,pontevedra,12.2,3.3,29.0,108
PO,2020-03-02,7,pontevedra,10.7,4.2,12.4,108
PO,2020-03-03,4,pontevedra,12.2,3.3,27.4,108
PO,2020-03-04,3,pontevedra,14.8,3.6,27.8,108
PO,2020-03-05,6,pontevedra,11.9,4.4,9.0,108
PO,2020-03-06,3,pontevedra,10.7,2.2,0.4,108
PO,2020-03-07,8,pontevedra,11.4,2.8,0.0,108
PO,2020-03-08,11,pontevedra,10.5,1.7,4.4,108
PO,2020-03-09,14,pontevedra,10.6,2.2,0.0,108
PO,2020-03-10,29,pontevedra,10.8,2.2,0.0,108
PO,2020-03-11,39,pontevedra,12.6,2.2,0.0,108
PO,2020-03-12,54,pontevedra,13.4,3.6,0.0,108
PO,2020-03-13,82,pontevedra,12.4,2.8,0.0,108
PO,2020-03-14,88,pontevedra,12.4,2.2,0.0,108
PO,2020-03-15,76,pontevedra,9.2,2.2,6.8,108
PO,2020-03-16,118,pontevedra,8.8,3.9,0.2,108
PO,2020-03-17,103,pontevedra,14.6,3.3,0.0,108
PO,2020-03-18,117,pontevedra,17.8,2.5,0.0,108
PO,2020-03-19,95,pontevedra,14.9,2.8,1.0,108
PO,2020-03-20,138,pontevedra,13.8,0.8,2.6,108
PO,2020-03-21,79,pontevedra,13.0,2.2,0.6,108
PO,2020-03-22,79,pontevedra,14.6,1.9,0.0,108
PO,2020-03-23,122,pontevedra,14.7,3.1,0.0,108
PO,2020-03-24,97,pontevedra,15.0,2.8,0.0,108
PO,2020-03-25,79,pontevedra,13.1,3.1,0.0,108
PO,2020-03-26,117,pontevedra,12.4,4.2,0.0,108
PO,2020-03-27,84,pontevedra,10.9,1.9,0.0,108
PO,2020-03-28,168,pontevedra,12.6,2.5,0.0,108
PO,2020-03-29,36,pontevedra,13.3,1.4,0.0,108
PO,2020-03-30,69,pontevedra,9.4,5.0,0.0,108
PO,2020-03-31,54,pontevedra,6.6,1.7,3.8,108
PO,2020-04-01,65,pontevedra,10.8,2.5,0.0,108
PO,2020-04-02,45,pontevedra,13.8,3.1,0.0,108
PO,2020-04-03,54,pontevedra,12.4,2.5,0.0,108
PO,2020-04-04,35,pontevedra,15.8,2.5,2.4,108
PO,2020-04-05,24,pontevedra,14.4,3.6,28.0,108
PO,2020-04-06,31,pontevedra,13.3,1.4,1.8,108
PO,2020-04-07,27,pontevedra,15.4,2.2,1.8,108
PO,2020-04-08,49,pontevedra,15.3,2.2,7.4,108
PO,2020-04-09,18,pontevedra,15.4,1.1,40.0,108
PO,2020-04-10,13,pontevedra,13.8,1.9,4.0,108
PO,2020-04-11,27,pontevedra,13.9,1.7,0.6,108
PO,2020-04-12,20,pontevedra,13.7,2.2,2.6,108
PO,2020-04-13,13,pontevedra,11.8,1.7,6.0,108
PO,2020-04-14,16,pontevedra,15.4,1.9,4.6,108
PO,2020-04-15,17,pontevedra,14.4,1.4,11.6,108
PO,2020-04-16,12,pontevedra,13.4,1.4,41.0,108
PO,2020-04-17,15,pontevedra,14.6,2.8,4.0,108
PO,2020-04-18,9,pontevedra,14.0,1.9,0.2,108
PO,2020-04-19,13,pontevedra,13.0,3.1,0.0,108
PO,2020-04-20,13,pontevedra,14.4,1.1,2.0,108
PO,2020-04-21,11,pontevedra,14.9,2.8,0.2,108
