provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TF,2020-02-16,2,santaCruzDeTenerife,17.7,4.7,0.0,115
TF,2020-02-17,0,santaCruzDeTenerife,17.1,5.0,0.0,115
TF,2020-02-18,1,santaCruzDeTenerife,17.4,6.4,0.0,115
TF,2020-02-19,1,santaCruzDeTenerife,17.4,7.8,0.0,115
TF,2020-02-20,1,santaCruzDeTenerife,17.0,6.4,0.0,115
TF,2020-02-21,0,santaCruzDeTenerife,16.2,2.5,0.0,115
TF,2020-02-22,0,santaCruzDeTenerife,16.8,3.9,0.0,115
TF,2020-02-23,1,santaCruzDeTenerife,24.2,3.1,0.0,115
TF,2020-02-24,0,santaCruzDeTenerife,23.4,3.6,0.0,115
TF,2020-02-25,2,santaCruzDeTenerife,22.2,3.6,0.0,115
TF,2020-02-26,4,santaCruzDeTenerife,17.8,5.3,0.0,115
TF,2020-02-27,2,santaCruzDeTenerife,17.2,5.0,0.0,115
TF,2020-02-28,6,santaCruzDeTenerife,16.4,2.8,0.0,115
TF,2020-02-29,2,santaCruzDeTenerife,16.7,3.9,0.0,115
TF,2020-03-01,5,santaCruzDeTenerife,17.3,5.0,0.0,115
TF,2020-03-02,8,santaCruzDeTenerife,18.5,5.6,0.0,115
TF,2020-03-03,7,santaCruzDeTenerife,18.1,5.3,0.0,115
TF,2020-03-04,13,santaCruzDeTenerife,18.0,4.2,0.0,115
TF,2020-03-05,14,santaCruzDeTenerife,18.0,5.6,0.0,115
TF,2020-03-06,20,santaCruzDeTenerife,18.3,9.2,0.0,115
TF,2020-03-07,15,santaCruzDeTenerife,17.8,6.1,0.0,115
TF,2020-03-08,19,santaCruzDeTenerife,17.4,4.4,0.0,115
TF,2020-03-09,32,santaCruzDeTenerife,17.8,4.7,0.0,115
TF,2020-03-10,26,santaCruzDeTenerife,17.6,4.7,0.0,115
TF,2020-03-11,38,santaCruzDeTenerife,17.6,3.3,0.0,115
TF,2020-03-12,42,santaCruzDeTenerife,18.2,4.4,0.0,115
TF,2020-03-13,63,santaCruzDeTenerife,17.2,5.6,0.0,115
TF,2020-03-14,54,santaCruzDeTenerife,17.0,5.8,0.0,115
TF,2020-03-15,57,santaCruzDeTenerife,17.7,6.7,0.0,115
TF,2020-03-16,82,santaCruzDeTenerife,19.4,11.7,0.0,115
TF,2020-03-17,67,santaCruzDeTenerife,17.0,10.6,0.0,115
TF,2020-03-18,79,santaCruzDeTenerife,18.3,4.2,0.0,115
TF,2020-03-19,50,santaCruzDeTenerife,19.7,6.1,0.0,115
TF,2020-03-20,88,santaCruzDeTenerife,19.0,5.6,0.0,115
TF,2020-03-21,55,santaCruzDeTenerife,17.8,7.2,0.0,115
TF,2020-03-22,49,santaCruzDeTenerife,16.1,3.6,11.0,115
TF,2020-03-23,69,santaCruzDeTenerife,16.4,7.5,5.8,115
TF,2020-03-24,39,santaCruzDeTenerife,19.0,3.3,0.0,115
TF,2020-03-25,39,santaCruzDeTenerife,16.9,2.5,0.8,115
TF,2020-03-26,41,santaCruzDeTenerife,16.2,2.5,1.8,115
TF,2020-03-27,43,santaCruzDeTenerife,17.2,2.8,0.6,115
TF,2020-03-28,26,santaCruzDeTenerife,17.0,4.2,0.0,115
TF,2020-03-29,29,santaCruzDeTenerife,17.2,3.1,0.0,115
TF,2020-03-30,41,santaCruzDeTenerife,17.1,3.6,0.0,115
TF,2020-03-31,16,santaCruzDeTenerife,18.6,2.5,0.0,115
TF,2020-04-01,51,santaCruzDeTenerife,17.1,2.2,0.0,115
TF,2020-04-02,18,santaCruzDeTenerife,17.3,3.3,0.0,115
TF,2020-04-03,10,santaCruzDeTenerife,18.6,2.8,0.0,115
TF,2020-04-04,23,santaCruzDeTenerife,19.3,2.5,0.0,115
TF,2020-04-05,12,santaCruzDeTenerife,20.0,3.1,0.0,115
TF,2020-04-06,16,santaCruzDeTenerife,19.7,2.5,0.0,115
TF,2020-04-07,13,santaCruzDeTenerife,19.4,3.9,0.0,115
TF,2020-04-08,7,santaCruzDeTenerife,19.2,3.6,0.0,115
TF,2020-04-09,16,santaCruzDeTenerife,21.8,4.4,0.0,115
TF,2020-04-10,9,santaCruzDeTenerife,20.7,5.0,0.0,115
TF,2020-04-11,9,santaCruzDeTenerife,19.9,5.3,0.0,115
TF,2020-04-12,6,santaCruzDeTenerife,20.4,4.7,0.0,115
TF,2020-04-13,7,santaCruzDeTenerife,19.1,3.3,0.0,115
TF,2020-04-14,9,santaCruzDeTenerife,18.6,3.3,0.0,115
TF,2020-04-15,9,santaCruzDeTenerife,18.0,3.1,1.8,115
TF,2020-04-16,11,santaCruzDeTenerife,18.8,2.5,1.0,115
TF,2020-04-17,8,santaCruzDeTenerife,18.0,1.1,0.2,115
TF,2020-04-18,8,santaCruzDeTenerife,19.1,5.0,1.6,115
TF,2020-04-19,10,santaCruzDeTenerife,18.7,4.4,0.0,115
TF,2020-04-20,8,santaCruzDeTenerife,19.2,3.3,0.0,115
TF,2020-04-21,6,santaCruzDeTenerife,18.2,6.9,0.0,115
TF,2020-04-22,6,santaCruzDeTenerife,18.0,6.9,0.0,115
TF,2020-04-23,0,santaCruzDeTenerife,18.0,5.8,0.0,115
TF,2020-04-24,6,santaCruzDeTenerife,20.3,6.1,0.0,115
TF,2020-04-25,2,santaCruzDeTenerife,18.0,3.6,0.0,115
TF,2020-04-26,2,santaCruzDeTenerife,17.8,3.3,0.0,115
TF,2020-04-27,3,santaCruzDeTenerife,18.2,3.1,0.0,115
TF,2020-04-28,3,santaCruzDeTenerife,19.6,5.6,0.0,115
TF,2020-04-29,2,santaCruzDeTenerife,19.2,5.3,0.0,115
TF,2020-04-30,3,santaCruzDeTenerife,19.7,4.4,0.0,115
TF,2020-05-01,7,santaCruzDeTenerife,19.0,5.0,0.0,115
TF,2020-05-02,3,santaCruzDeTenerife,19.7,2.8,0.0,115
TF,2020-05-03,0,santaCruzDeTenerife,19.0,4.2,0.0,115
TF,2020-05-04,1,santaCruzDeTenerife,19.8,1.9,0.0,115
TF,2020-05-05,2,santaCruzDeTenerife,19.1,4.2,0.0,115
TF,2020-05-06,0,santaCruzDeTenerife,18.6,4.7,0.0,115
TF,2020-05-07,0,santaCruzDeTenerife,19.8,3.3,0.0,115
TF,2020-05-08,1,santaCruzDeTenerife,19.8,3.1,0.0,115
TF,2020-05-09,2,santaCruzDeTenerife,19.6,2.8,0.0,115
TF,2020-05-10,0,santaCruzDeTenerife,20.5,3.6,0.0,115
TF,2020-05-11,0,santaCruzDeTenerife,20.0,3.6,0.0,115
TF,2020-05-12,2,santaCruzDeTenerife,20.4,2.5,0.0,115
TF,2020-05-13,5,santaCruzDeTenerife,20.0,3.6,0.0,115
TF,2020-05-14,2,santaCruzDeTenerife,19.4,4.2,0.0,115
TF,2020-05-15,2,santaCruzDeTenerife,19.0,3.6,0.0,115
TF,2020-05-16,3,santaCruzDeTenerife,19.2,8.1,0.0,115
TF,2020-05-17,1,santaCruzDeTenerife,19.3,5.8,0.0,115
TF,2020-05-18,3,santaCruzDeTenerife,20.2,5.3,0.0,115
TF,2020-05-19,5,santaCruzDeTenerife,20.6,3.9,0.0,115
TF,2020-05-20,2,santaCruzDeTenerife,19.8,5.3,0.0,115
TF,2020-05-21,4,santaCruzDeTenerife,19.8,4.7,0.0,115
TF,2020-05-22,1,santaCruzDeTenerife,19.2,4.7,0.0,115
TF,2020-05-23,1,santaCruzDeTenerife,21.8,5.3,0.0,115
TF,2020-05-24,1,santaCruzDeTenerife,22.0,3.9,0.0,115
TF,2020-05-25,2,santaCruzDeTenerife,20.8,3.6,0.0,115
TF,2020-05-26,2,santaCruzDeTenerife,20.4,3.3,0.0,115
