provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SG,2020-02-16,0,segovia,9.4,4.7,0.0,1798
SG,2020-02-17,0,segovia,3.2,3.3,8.8,1798
SG,2020-02-18,0,segovia,0.2,0.8,0.9,1798
SG,2020-02-19,0,segovia,3.7,1.1,0.0,1798
SG,2020-02-20,0,segovia,5.9,1.7,0.0,1798
SG,2020-02-21,2,segovia,9.0,1.7,0.0,1798
SG,2020-02-22,0,segovia,9.5,1.7,0.0,1798
SG,2020-02-23,0,segovia,10.4,1.9,0.0,1798
SG,2020-02-24,1,segovia,9.4,1.9,0.0,1798
SG,2020-02-25,1,segovia,3.6,3.6,0.0,1798
SG,2020-02-26,1,segovia,-1.0,2.8,0.0,1798
SG,2020-02-27,0,segovia,2.1,4.7,0.0,1798
SG,2020-02-28,0,segovia,5.8,4.4,0.0,1798
SG,2020-02-29,2,segovia,3.2,5.0,6.0,1798
SG,2020-03-01,3,segovia,2.4,6.1,28.0,1798
SG,2020-03-02,3,segovia,0.5,4.2,8.2,1798
SG,2020-03-03,4,segovia,1.1,6.7,26.8,1798
SG,2020-03-04,5,segovia,4.0,3.6,3.4,1798
SG,2020-03-05,3,segovia,1.9,5.3,18.2,1798
SG,2020-03-06,4,segovia,-3.2,7.2,0.0,1798
SG,2020-03-07,10,segovia,-1.2,2.8,0.2,1798
SG,2020-03-08,10,segovia,4.1,3.3,0.0,1798
SG,2020-03-09,26,segovia,0.6,2.8,0.0,1798
SG,2020-03-10,35,segovia,7.8,1.7,0.0,1798
SG,2020-03-11,41,segovia,12.2,3.3,0.0,1798
SG,2020-03-12,53,segovia,12.5,6.4,0.0,1798
SG,2020-03-13,73,segovia,9.4,1.9,0.0,1798
SG,2020-03-14,62,segovia,7.4,1.7,0.0,1798
SG,2020-03-15,88,segovia,5.5,5.6,15.4,1798
SG,2020-03-16,119,segovia,-1.2,4.2,11.0,1798
SG,2020-03-28,52,segovia,3.3,4.2,0.0,1798
SG,2020-03-29,60,segovia,4.4,3.9,0.0,1798
SG,2020-06-11,3,segovia,6.8,3.9,1.0,1798
SG,2020-06-12,3,segovia,5.1,5.3,2.2,1798
SG,2020-06-13,0,segovia,7.3,2.5,0.0,1798
SG,2020-06-14,1,segovia,9.6,2.5,0.0,1798
SG,2020-06-15,1,segovia,10.9,1.7,0.2,1798
