provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
T,2020-02-16,0,tarragona,13.5,2.2,0.0,71
T,2020-02-17,0,tarragona,15.0,1.9,0.0,71
T,2020-02-18,0,tarragona,10.3,5.0,0.0,71
T,2020-02-19,0,tarragona,8.4,2.2,0.0,71
T,2020-02-20,0,tarragona,9.6,2.8,0.0,71
T,2020-02-21,1,tarragona,10.6,3.1,0.0,71
T,2020-02-22,1,tarragona,10.2,2.2,0.0,71
T,2020-02-23,0,tarragona,12.4,2.2,0.0,71
T,2020-02-24,1,tarragona,12.9,2.2,0.0,71
T,2020-02-25,0,tarragona,12.2,2.5,0.0,71
T,2020-02-26,0,tarragona,13.2,11.1,0.0,71
T,2020-02-27,0,tarragona,13.2,7.2,0.0,71
T,2020-02-28,0,tarragona,12.8,3.1,0.0,71
T,2020-02-29,1,tarragona,12.8,1.7,0.0,71
T,2020-03-01,1,tarragona,15.8,5.6,0.0,71
T,2020-03-02,2,tarragona,12.8,11.1,0.6,71
T,2020-03-03,3,tarragona,14.0,10.8,0.0,71
T,2020-03-04,4,tarragona,16.1,5.3,0.0,71
T,2020-03-05,7,tarragona,15.6,5.3,0.3,71
T,2020-03-06,7,tarragona,11.6,11.9,0.0,71
T,2020-03-07,13,tarragona,12.6,5.0,0.0,71
T,2020-03-08,7,tarragona,11.8,3.9,0.0,71
T,2020-03-09,12,tarragona,12.9,10.8,0.0,71
T,2020-03-10,20,tarragona,10.4,2.8,0.0,71
T,2020-03-11,21,tarragona,13.2,2.5,0.0,71
T,2020-03-12,30,tarragona,14.2,2.2,0.0,71
T,2020-03-13,39,tarragona,13.4,2.8,0.0,71
T,2020-03-14,39,tarragona,14.6,3.3,0.0,71
T,2020-03-15,38,tarragona,12.9,3.9,0.2,71
T,2020-03-16,61,tarragona,12.1,6.9,18.4,71
T,2020-03-17,60,tarragona,14.8,4.4,0.1,71
T,2020-03-18,54,tarragona,12.4,1.9,0.0,71
T,2020-03-19,56,tarragona,11.3,2.5,0.0,71
T,2020-03-20,66,tarragona,11.6,3.9,0.0,71
T,2020-03-21,50,tarragona,11.0,2.5,0.0,71
T,2020-03-22,56,tarragona,11.0,3.6,4.4,71
T,2020-03-23,67,tarragona,14.6,5.6,0.0,71
T,2020-03-24,87,tarragona,11.6,4.7,0.4,71
T,2020-03-25,51,tarragona,9.0,2.5,0.0,71
T,2020-03-26,66,tarragona,7.8,1.4,27.8,71
T,2020-03-27,72,tarragona,8.6,3.1,0.0,71
T,2020-03-28,66,tarragona,13.6,3.3,0.0,71
T,2020-03-29,50,tarragona,14.0,5.0,0.0,71
T,2020-03-30,63,tarragona,8.6,5.6,1.2,71
T,2020-03-31,63,tarragona,9.1,4.7,4.5,71
T,2020-04-01,58,tarragona,10.6,6.4,4.3,71
T,2020-04-02,42,tarragona,11.4,1.1,5.6,71
T,2020-04-03,92,tarragona,13.0,3.9,0.0,71
T,2020-04-04,53,tarragona,11.2,3.1,0.0,71
T,2020-04-05,37,tarragona,11.6,3.1,0.0,71
T,2020-04-06,32,tarragona,13.0,3.1,0.0,71
T,2020-04-07,33,tarragona,14.2,2.2,0.0,71
T,2020-04-08,51,tarragona,13.2,2.5,0.0,71
T,2020-04-09,72,tarragona,13.2,2.5,0.0,71
T,2020-04-10,40,tarragona,14.0,3.1,0.0,71
T,2020-04-11,44,tarragona,14.8,2.2,0.0,71
T,2020-04-12,35,tarragona,13.8,2.5,1.2,71
T,2020-04-13,34,tarragona,15.0,4.2,6.3,71
T,2020-04-14,34,tarragona,15.3,1.9,0.0,71
T,2020-04-15,30,tarragona,13.6,3.9,0.7,71
T,2020-04-16,24,tarragona,16.0,2.2,0.0,71
T,2020-04-17,23,tarragona,15.8,1.9,0.0,71
T,2020-04-18,15,tarragona,15.6,3.3,25.7,71
T,2020-04-19,11,tarragona,17.9,3.6,17.0,71
T,2020-04-20,16,tarragona,17.6,1.7,11.6,71
T,2020-04-21,16,tarragona,14.4,1.4,25.3,71
T,2020-04-22,15,tarragona,16.6,3.9,0.1,71
T,2020-04-23,11,tarragona,16.8,2.5,0.0,71
T,2020-04-24,25,tarragona,15.2,2.2,0.0,71
T,2020-04-25,2,tarragona,15.0,3.1,0.0,71
T,2020-04-26,4,tarragona,16.3,2.8,0.0,71
T,2020-04-27,9,tarragona,16.9,3.1,3.8,71
T,2020-04-28,5,tarragona,16.9,5.3,0.0,71
T,2020-04-29,11,tarragona,15.6,3.9,0.0,71
T,2020-04-30,8,tarragona,18.0,5.6,0.0,71
T,2020-05-01,10,tarragona,20.5,4.7,0.0,71
T,2020-05-02,3,tarragona,22.2,7.8,0.0,71
T,2020-05-03,4,tarragona,18.6,2.5,0.0,71
