provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VA,2020-02-16,0,valladolid,10.9,3.1,0.0,735
VA,2020-02-17,0,valladolid,9.5,1.9,0.0,735
VA,2020-02-18,0,valladolid,6.0,1.1,0.0,735
VA,2020-02-19,0,valladolid,6.4,1.1,0.0,735
VA,2020-02-20,0,valladolid,7.2,0.8,0.0,735
VA,2020-02-21,0,valladolid,9.6,0.6,0.0,735
VA,2020-02-22,0,valladolid,9.6,0.8,0.0,735
VA,2020-02-23,1,valladolid,10.9,0.6,0.0,735
VA,2020-02-24,2,valladolid,10.6,1.4,0.0,735
VA,2020-02-25,1,valladolid,10.5,3.1,0.0,735
VA,2020-02-26,0,valladolid,7.7,2.2,0.0,735
VA,2020-02-27,1,valladolid,9.7,3.9,0.0,735
VA,2020-02-28,1,valladolid,10.7,1.4,0.0,735
VA,2020-02-29,0,valladolid,10.1,4.4,0.2,735
VA,2020-03-01,4,valladolid,11.4,4.7,12.8,735
VA,2020-03-02,8,valladolid,7.6,5.3,2.2,735
VA,2020-03-03,4,valladolid,11.2,6.1,0.0,735
VA,2020-03-04,8,valladolid,13.2,3.9,0.0,735
VA,2020-03-05,8,valladolid,9.7,4.4,2.0,735
VA,2020-03-06,7,valladolid,7.0,4.7,0.0,735
VA,2020-03-07,9,valladolid,7.8,1.9,0.0,735
VA,2020-03-08,9,valladolid,7.7,2.5,0.0,735
VA,2020-03-09,13,valladolid,9.2,1.4,0.0,735
VA,2020-03-10,23,valladolid,12.8,2.2,0.0,735
VA,2020-03-11,36,valladolid,14.7,1.1,0.0,735
VA,2020-03-12,48,valladolid,15.8,0.8,0.0,735
VA,2020-03-13,82,valladolid,10.8,1.9,0.0,735
VA,2020-03-14,86,valladolid,9.8,0.8,0.0,735
VA,2020-03-15,79,valladolid,10.8,1.9,3.2,735
VA,2020-03-16,128,valladolid,4.0,3.1,7.8,735
VA,2020-03-17,142,valladolid,11.4,3.1,0.0,735
VA,2020-03-18,169,valladolid,12.4,0.8,0.0,735
VA,2020-03-19,130,valladolid,11.8,0.8,0.0,735
VA,2020-03-20,139,valladolid,12.0,1.4,0.0,735
VA,2020-03-21,95,valladolid,10.2,2.2,3.0,735
VA,2020-03-22,111,valladolid,10.9,1.7,0.0,735
VA,2020-03-23,125,valladolid,10.8,2.8,0.0,735
VA,2020-03-24,128,valladolid,11.0,2.2,0.0,735
VA,2020-03-25,99,valladolid,11.0,1.1,0.0,735
VA,2020-03-26,90,valladolid,7.2,2.2,0.0,735
VA,2020-03-27,74,valladolid,6.8,2.8,0.0,735
VA,2020-03-28,110,valladolid,8.6,1.9,0.0,735
VA,2020-03-29,55,valladolid,10.4,1.4,0.0,735
VA,2020-03-30,130,valladolid,4.6,2.2,0.0,735
VA,2020-03-31,110,valladolid,5.0,3.9,3.4,735
VA,2020-04-01,125,valladolid,9.2,1.7,4.4,735
VA,2020-04-02,164,valladolid,8.6,1.4,0.4,735
VA,2020-04-03,167,valladolid,8.0,1.1,0.0,735
VA,2020-04-04,235,valladolid,10.4,2.2,0.0,735
VA,2020-04-05,107,valladolid,13.0,1.7,11.2,735
VA,2020-04-06,193,valladolid,13.7,1.9,1.2,735
VA,2020-04-07,148,valladolid,15.5,1.7,2.2,735
VA,2020-04-08,125,valladolid,15.7,1.4,0.0,735
VA,2020-04-09,51,valladolid,15.2,1.7,14.0,735
VA,2020-04-10,52,valladolid,14.9,2.5,9.0,735
VA,2020-04-11,42,valladolid,15.6,1.4,1.4,735
VA,2020-04-12,37,valladolid,15.5,1.9,1.8,735
VA,2020-04-13,42,valladolid,13.4,1.4,3.4,735
VA,2020-04-14,46,valladolid,13.6,2.2,3.0,735
VA,2020-04-15,36,valladolid,12.4,2.2,8.2,735
VA,2020-04-16,24,valladolid,11.0,1.1,5.6,735
VA,2020-04-17,33,valladolid,12.7,3.1,1.4,735
VA,2020-04-18,21,valladolid,13.8,1.1,0.0,735
VA,2020-04-19,27,valladolid,12.7,1.7,0.0,735
VA,2020-04-20,54,valladolid,11.1,1.4,8.0,735
VA,2020-04-21,28,valladolid,12.0,1.7,0.8,735
VA,2020-04-22,27,valladolid,12.0,0.6,0.0,735
VA,2020-04-23,18,valladolid,14.2,1.1,0.0,735
VA,2020-04-24,21,valladolid,17.2,1.1,17.0,735
VA,2020-04-25,24,valladolid,16.8,2.2,18.4,735
VA,2020-04-26,7,valladolid,15.6,1.9,0.4,735
VA,2020-04-27,7,valladolid,12.2,2.8,1.0,735
VA,2020-04-28,13,valladolid,11.8,3.6,0.0,735
VA,2020-04-29,13,valladolid,12.0,3.1,0.4,735
VA,2020-04-30,24,valladolid,13.1,4.4,0.4,735
VA,2020-05-01,20,valladolid,16.6,4.4,0.0,735
VA,2020-05-02,15,valladolid,17.5,1.9,0.0,735
VA,2020-05-03,11,valladolid,18.4,1.7,0.0,735
VA,2020-05-04,10,valladolid,20.2,3.3,0.0,735
VA,2020-05-05,9,valladolid,16.6,1.9,0.0,735
VA,2020-05-06,4,valladolid,15.7,1.1,0.0,735
VA,2020-05-07,3,valladolid,19.4,1.4,12.0,735
