provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
Z,2020-02-16,1,zamora,9.0,3.6,0.0,715
Z,2020-02-17,1,zamora,8.8,3.9,0.6,715
Z,2020-02-18,1,zamora,6.2,1.7,0.0,715
Z,2020-02-19,0,zamora,5.3,1.1,0.0,715
Z,2020-02-20,0,zamora,6.4,1.4,0.0,715
Z,2020-02-21,1,zamora,8.2,1.1,0.0,715
Z,2020-02-22,3,zamora,9.0,1.1,0.0,715
Z,2020-02-23,1,zamora,9.8,0.8,0.0,715
Z,2020-02-24,0,zamora,11.2,1.4,0.0,715
Z,2020-02-25,1,zamora,11.0,2.2,0.0,715
Z,2020-02-26,0,zamora,8.1,2.8,0.0,715
Z,2020-02-27,0,zamora,11.4,2.8,0.0,715
Z,2020-02-28,3,zamora,9.6,1.9,0.0,715
Z,2020-02-29,4,zamora,10.4,5.6,0.8,715
Z,2020-03-01,6,zamora,11.0,5.6,7.8,715
Z,2020-03-02,11,zamora,8.0,3.9,0.2,715
Z,2020-03-03,6,zamora,11.8,4.7,0.0,715
Z,2020-03-04,14,zamora,13.6,3.3,0.8,715
Z,2020-03-05,9,zamora,9.9,4.7,0.2,715
Z,2020-03-06,13,zamora,7.2,4.2,0.0,715
Z,2020-03-07,16,zamora,9.2,1.4,0.0,715
Z,2020-03-08,29,zamora,8.6,1.1,0.0,715
Z,2020-03-09,30,zamora,9.8,2.2,0.0,715
Z,2020-03-10,35,zamora,13.6,1.7,0.0,715
Z,2020-03-11,52,zamora,13.7,1.9,0.0,715
Z,2020-03-12,61,zamora,13.9,2.2,0.0,715
Z,2020-03-13,89,zamora,10.4,3.3,0.0,715
Z,2020-03-14,83,zamora,9.0,1.4,0.0,715
Z,2020-03-15,101,zamora,9.5,2.8,4.6,715
Z,2020-03-16,118,zamora,6.8,5.8,0.2,715
Z,2020-03-17,117,zamora,9.0,5.3,0.0,715
Z,2020-03-18,135,zamora,11.3,1.7,0.0,715
Z,2020-03-19,120,zamora,11.2,1.4,0.0,715
Z,2020-03-20,182,zamora,10.6,1.7,4.0,715
Z,2020-03-21,148,zamora,9.4,1.4,7.4,715
Z,2020-03-22,130,zamora,11.8,1.9,0.0,715
Z,2020-03-23,214,zamora,9.6,3.3,0.0,715
Z,2020-03-24,143,zamora,11.0,2.5,0.0,715
Z,2020-03-25,142,zamora,12.1,2.2,0.0,715
Z,2020-03-26,110,zamora,8.0,1.1,0.0,715
Z,2020-03-27,162,zamora,6.4,2.8,0.0,715
Z,2020-03-28,106,zamora,7.8,1.1,0.0,715
Z,2020-03-29,79,zamora,9.4,1.1,0.0,715
Z,2020-03-30,95,zamora,4.4,4.4,0.0,715
Z,2020-03-31,84,zamora,4.8,5.6,1.8,715
Z,2020-04-01,116,zamora,8.9,1.7,10.2,715
Z,2020-04-02,99,zamora,9.8,1.9,0.2,715
Z,2020-04-03,77,zamora,7.6,1.4,0.0,715
Z,2020-04-04,67,zamora,10.0,2.8,0.0,715
Z,2020-04-05,71,zamora,12.4,2.2,19.2,715
Z,2020-04-06,82,zamora,13.0,2.8,1.4,715
Z,2020-04-07,75,zamora,14.9,1.4,2.4,715
Z,2020-04-08,85,zamora,15.0,0.6,0.0,715
Z,2020-04-09,74,zamora,12.9,1.1,6.6,715
Z,2020-04-10,62,zamora,14.2,2.5,13.0,715
Z,2020-04-11,49,zamora,14.8,1.7,0.0,715
Z,2020-04-12,40,zamora,14.4,1.9,0.2,715
Z,2020-04-13,63,zamora,12.0,3.1,0.0,715
Z,2020-04-14,41,zamora,14.2,2.8,0.8,715
Z,2020-04-15,62,zamora,11.4,1.9,8.0,715
Z,2020-04-16,50,zamora,10.8,2.8,8.4,715
Z,2020-04-17,49,zamora,12.8,3.1,8.6,715
Z,2020-04-18,54,zamora,12.6,1.4,0.0,715
Z,2020-04-19,32,zamora,12.3,2.2,0.2,715
Z,2020-04-20,24,zamora,10.4,1.7,7.0,715
Z,2020-04-21,35,zamora,12.7,1.4,0.2,715
Z,2020-04-22,52,zamora,12.3,1.7,0.0,715
Z,2020-04-23,18,zamora,14.8,1.9,0.0,715
Z,2020-04-24,16,zamora,15.6,1.1,0.6,715
Z,2020-04-25,18,zamora,16.4,1.9,0.4,715
Z,2020-04-26,14,zamora,13.8,1.9,0.0,715
Z,2020-04-27,24,zamora,12.4,3.6,0.0,715
Z,2020-04-28,29,zamora,11.6,3.9,0.0,715
Z,2020-04-29,17,zamora,11.9,5.0,0.0,715
Z,2020-04-30,26,zamora,11.9,6.1,0.0,715
Z,2020-05-01,11,zamora,16.2,5.6,0.0,715
Z,2020-05-02,15,zamora,16.7,3.1,0.0,715
Z,2020-05-03,15,zamora,17.4,1.7,0.0,715
Z,2020-05-04,17,zamora,19.2,3.3,0.0,715
Z,2020-05-05,4,zamora,15.1,3.1,0.0,715
Z,2020-05-06,6,zamora,15.4,1.1,0.0,715
Z,2020-05-07,7,zamora,19.0,1.1,15.0,715
Z,2020-05-08,6,zamora,19.0,1.9,0.0,715
Z,2020-05-09,2,zamora,15.4,3.1,0.0,715
Z,2020-05-10,5,zamora,14.6,2.5,0.0,715
Z,2020-05-11,5,zamora,14.2,2.2,0.0,715
Z,2020-05-12,8,zamora,15.0,2.2,0.2,715
Z,2020-05-13,10,zamora,15.3,2.2,0.0,715
Z,2020-05-14,3,zamora,13.2,2.2,2.4,715
Z,2020-05-15,6,zamora,11.8,3.3,0.0,715
Z,2020-05-16,2,zamora,12.6,3.1,0.0,715
Z,2020-05-17,7,zamora,13.6,1.4,0.0,715
Z,2020-05-18,7,zamora,16.5,1.1,0.0,715
Z,2020-05-19,9,zamora,18.4,1.4,0.0,715
