provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ZA,2020-02-16,0,zaragoza,11.6,2.2,0.0,582
ZA,2020-02-17,0,zaragoza,10.3,4.2,0.0,582
ZA,2020-02-18,0,zaragoza,8.6,2.5,0.0,582
ZA,2020-02-19,0,zaragoza,7.0,1.1,0.0,582
ZA,2020-02-20,0,zaragoza,8.8,1.1,0.0,582
ZA,2020-02-21,0,zaragoza,8.9,1.1,0.0,582
ZA,2020-02-22,0,zaragoza,9.8,1.4,0.0,582
ZA,2020-02-23,0,zaragoza,10.2,0.8,0.0,582
ZA,2020-02-24,0,zaragoza,11.4,1.4,0.0,582
ZA,2020-02-25,0,zaragoza,9.4,3.3,0.0,582
ZA,2020-02-26,0,zaragoza,9.8,4.7,0.0,582
ZA,2020-02-27,0,zaragoza,10.4,4.7,0.0,582
ZA,2020-02-28,1,zaragoza,12.6,1.7,0.0,582
ZA,2020-02-29,0,zaragoza,9.6,3.9,0.0,582
ZA,2020-03-01,2,zaragoza,13.0,6.7,2.4,582
ZA,2020-03-02,3,zaragoza,9.7,7.2,1.6,582
ZA,2020-03-03,0,zaragoza,11.5,7.2,0.2,582
ZA,2020-03-04,1,zaragoza,14.0,4.7,0.0,582
ZA,2020-03-05,3,zaragoza,11.8,6.4,2.0,582
ZA,2020-03-06,4,zaragoza,8.1,7.5,0.0,582
ZA,2020-03-07,7,zaragoza,9.4,5.0,0.0,582
ZA,2020-03-08,1,zaragoza,8.2,2.2,0.0,582
ZA,2020-03-09,5,zaragoza,11.5,3.1,0.0,582
ZA,2020-03-10,9,zaragoza,13.2,1.4,0.0,582
ZA,2020-03-11,9,zaragoza,16.0,1.9,0.0,582
ZA,2020-03-12,15,zaragoza,16.6,2.8,0.0,582
ZA,2020-03-13,10,zaragoza,12.9,4.7,0.0,582
ZA,2020-03-14,20,zaragoza,11.7,1.9,0.0,582
ZA,2020-03-15,15,zaragoza,10.9,1.7,17.8,582
ZA,2020-03-16,21,zaragoza,5.4,2.8,35.2,582
ZA,2020-03-17,21,zaragoza,8.6,5.0,1.6,582
ZA,2020-03-18,22,zaragoza,11.3,1.4,0.0,582
ZA,2020-03-19,21,zaragoza,11.1,2.8,0.0,582
ZA,2020-03-20,25,zaragoza,9.5,1.9,0.0,582
ZA,2020-03-21,19,zaragoza,10.2,1.4,0.0,582
ZA,2020-03-22,17,zaragoza,11.9,2.2,0.0,582
ZA,2020-03-23,17,zaragoza,12.0,3.1,0.8,582
ZA,2020-03-24,22,zaragoza,9.0,2.8,0.0,582
ZA,2020-03-25,16,zaragoza,9.2,2.5,0.0,582
ZA,2020-03-26,19,zaragoza,7.4,2.8,0.0,582
ZA,2020-03-27,18,zaragoza,7.1,2.5,0.0,582
ZA,2020-03-28,7,zaragoza,9.0,1.7,0.0,582
ZA,2020-03-29,6,zaragoza,10.3,3.1,0.0,582
ZA,2020-03-30,10,zaragoza,4.0,2.8,2.0,582
ZA,2020-04-02,5,zaragoza,9.0,2.5,0.4,582
ZA,2020-04-03,37,zaragoza,9.0,2.2,0.0,582
ZA,2020-04-04,10,zaragoza,11.3,3.3,0.0,582
ZA,2020-04-05,13,zaragoza,13.1,1.9,0.0,582
ZA,2020-04-06,39,zaragoza,13.6,2.5,12.2,582
ZA,2020-04-07,17,zaragoza,14.4,3.3,10.4,582
ZA,2020-04-08,10,zaragoza,15.5,2.5,0.2,582
ZA,2020-04-09,23,zaragoza,15.2,2.2,9.0,582
ZA,2020-04-10,16,zaragoza,12.5,0.8,5.6,582
ZA,2020-04-11,9,zaragoza,14.6,1.9,0.0,582
ZA,2020-04-12,4,zaragoza,14.8,2.5,0.0,582
ZA,2020-04-13,5,zaragoza,11.8,3.1,0.0,582
ZA,2020-04-14,7,zaragoza,13.1,2.2,2.2,582
ZA,2020-04-15,5,zaragoza,13.8,3.3,3.4,582
ZA,2020-04-16,2,zaragoza,15.7,2.8,6.2,582
ZA,2020-04-17,6,zaragoza,16.4,2.2,0.2,582
ZA,2020-04-18,6,zaragoza,16.4,2.8,4.4,582
ZA,2020-04-19,5,zaragoza,15.3,1.1,0.4,582
ZA,2020-04-20,4,zaragoza,15.2,3.1,0.0,582
ZA,2020-04-21,4,zaragoza,12.4,1.9,3.6,582
ZA,2020-04-22,2,zaragoza,13.8,1.4,0.0,582
ZA,2020-04-23,2,zaragoza,15.6,1.1,0.6,582
ZA,2020-04-24,2,zaragoza,17.2,1.7,1.2,582
ZA,2020-04-25,1,zaragoza,16.4,2.8,0.0,582
ZA,2020-04-26,1,zaragoza,15.7,1.4,7.0,582
ZA,2020-04-27,3,zaragoza,14.4,3.6,0.0,582
ZA,2020-04-28,6,zaragoza,13.0,3.9,0.0,582
ZA,2020-04-29,7,zaragoza,14.6,4.2,0.0,582
ZA,2020-04-30,1,zaragoza,16.6,5.8,0.0,582
ZA,2020-05-01,1,zaragoza,18.6,5.0,0.0,582
ZA,2020-05-02,8,zaragoza,20.6,3.9,0.0,582
ZA,2020-05-03,24,zaragoza,20.6,1.9,0.0,582
ZA,2020-05-04,4,zaragoza,21.6,2.5,0.8,582
ZA,2020-05-05,1,zaragoza,19.4,2.5,0.0,582
ZA,2020-05-06,2,zaragoza,17.4,1.9,0.0,582
ZA,2020-05-07,0,zaragoza,19.6,3.9,0.0,582
ZA,2020-05-08,0,zaragoza,19.8,3.3,3.6,582
ZA,2020-05-09,1,zaragoza,20.5,2.2,0.2,582
ZA,2020-05-10,0,zaragoza,17.0,6.4,0.0,582
ZA,2020-05-11,2,zaragoza,16.8,4.7,0.0,582
ZA,2020-05-12,1,zaragoza,13.4,1.9,11.0,582
ZA,2020-05-13,15,zaragoza,14.9,2.2,3.0,582
ZA,2020-05-14,8,zaragoza,11.6,3.6,29.2,582
ZA,2020-05-15,2,zaragoza,13.4,4.2,0.0,582
ZA,2020-05-16,1,zaragoza,13.1,1.4,0.0,582
ZA,2020-05-17,0,zaragoza,14.6,1.9,0.0,582
ZA,2020-05-18,1,zaragoza,16.3,2.2,0.0,582
ZA,2020-05-19,1,zaragoza,17.5,2.2,0.0,582
ZA,2020-05-20,0,zaragoza,19.4,1.9,0.0,582
ZA,2020-05-21,1,zaragoza,21.4,2.5,0.0,582
ZA,2020-05-22,1,zaragoza,23.6,1.7,0.0,582
ZA,2020-05-23,0,zaragoza,20.6,4.7,0.0,582
ZA,2020-05-24,0,zaragoza,18.6,4.2,0.0,582
ZA,2020-05-25,1,zaragoza,20.4,3.3,8.2,582
ZA,2020-05-26,2,zaragoza,20.6,4.7,0.0,582
ZA,2020-05-27,2,zaragoza,20.8,3.3,0.0,582
ZA,2020-05-28,1,zaragoza,19.4,3.1,0.0,582
ZA,2020-05-29,2,zaragoza,21.0,1.9,0.0,582
ZA,2020-05-30,0,zaragoza,22.1,3.3,0.0,582
ZA,2020-05-31,0,zaragoza,21.8,3.6,40.0,582
ZA,2020-06-01,0,zaragoza,21.6,2.5,0.0,582
ZA,2020-06-02,1,zaragoza,22.4,2.5,6.4,582
ZA,2020-06-03,1,zaragoza,22.0,2.8,26.0,582
ZA,2020-06-04,2,zaragoza,16.2,5.0,0.0,582
ZA,2020-06-05,2,zaragoza,18.2,3.1,0.0,582
ZA,2020-06-06,0,zaragoza,20.6,3.3,0.0,582
ZA,2020-06-07,0,zaragoza,14.8,1.9,14.8,582
ZA,2020-06-08,0,zaragoza,14.0,2.5,0.0,582
ZA,2020-06-09,4,zaragoza,14.3,3.1,0.0,582
ZA,2020-06-10,1,zaragoza,15.2,2.5,0.0,582
ZA,2020-06-11,1,zaragoza,17.6,2.2,2.2,582
ZA,2020-06-12,1,zaragoza,15.8,4.7,0.6,582
ZA,2020-06-13,0,zaragoza,16.6,4.2,0.0,582
ZA,2020-06-14,0,zaragoza,19.2,2.5,0.0,582
ZA,2020-06-15,0,zaragoza,19.8,2.2,1.8,582
