provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2021-03-02,44,alava,10.8,2.8,0.0,513
VI,2021-03-03,39,alava,9.2,3.1,0.0,513
VI,2021-03-04,34,alava,8.8,3.3,0.0,513
VI,2021-03-05,40,alava,7.4,3.3,0.0,513
VI,2021-03-06,37,alava,7.6,2.5,0.0,513
VI,2021-03-07,58,alava,5.3,2.2,0.0,513
VI,2021-03-08,47,alava,6.8,2.8,0.0,513
VI,2021-03-09,47,alava,3.0,3.3,0.0,513
VI,2021-03-10,32,alava,6.1,2.5,0.0,513
VI,2021-03-11,48,alava,11.6,6.7,3.1,513
VI,2021-03-12,53,alava,7.0,3.9,0.0,513
VI,2021-03-13,49,alava,7.2,3.1,1.9,513
VI,2021-03-14,61,alava,8.6,5.3,1.1,513
VI,2021-03-15,95,alava,6.4,2.8,0.0,513
VI,2021-03-16,65,alava,8.6,3.9,0.0,513
VI,2021-03-17,55,alava,9.0,5.6,8.2,513
VI,2021-03-18,67,alava,5.8,5.0,3.4,513
VI,2021-03-19,61,alava,6.2,5.8,11.5,513
VI,2021-03-20,57,alava,4.8,6.4,0.2,513
VI,2021-03-21,103,alava,6.2,3.1,0.0,513
VI,2021-03-22,106,alava,6.6,5.6,0.0,513
VI,2021-03-23,103,alava,7.8,2.8,0.0,513
VI,2021-03-24,84,alava,7.8,2.2,0.0,513
VI,2021-03-25,64,alava,11.4,2.5,0.0,513
VI,2021-03-26,80,alava,9.3,3.9,0.0,513
VI,2021-03-27,84,alava,9.8,1.7,0.0,513
VI,2021-03-28,73,alava,10.6,2.2,0.0,513
VI,2021-03-29,81,alava,13.0,5.6,0.0,513
VI,2021-03-30,104,alava,16.0,2.2,0.0,513
VI,2021-03-31,84,alava,14.6,2.8,0.0,513
VI,2021-04-01,93,alava,14.1,2.2,0.0,513
VI,2021-04-02,111,alava,14.5,3.6,0.0,513
VI,2021-04-03,113,alava,9.2,5.3,0.0,513
VI,2021-04-04,115,alava,7.7,4.2,0.0,513
VI,2021-04-05,139,alava,8.2,3.3,0.0,513
VI,2021-04-06,118,alava,6.6,4.7,0.0,513
VI,2021-04-07,95,alava,6.0,3.6,0.0,513
VI,2021-04-08,78,alava,8.6,3.1,0.3,513
VI,2021-04-09,103,alava,9.8,3.6,1.5,513
VI,2021-04-10,111,alava,12.0,1.9,13.9,513
VI,2021-04-11,113,alava,5.6,5.0,4.4,513
VI,2021-04-12,108,alava,5.8,3.6,0.0,513
VI,2021-04-13,117,alava,7.2,1.9,0.1,513
VI,2021-04-14,96,alava,8.7,4.2,0.0,513
VI,2021-04-15,71,alava,6.8,5.0,0.0,513
VI,2021-04-16,95,alava,4.0,5.0,0.0,513
VI,2021-04-17,114,alava,6.1,3.9,0.0,513
VI,2021-04-18,92,alava,9.7,3.9,0.0,513
VI,2021-04-19,115,alava,9.4,1.9,0.0,513
VI,2021-04-20,102,alava,12.1,1.1,0.5,513
VI,2021-04-21,80,alava,12.5,1.7,0.4,513
VI,2021-04-22,76,alava,11.6,3.9,0.0,513
VI,2021-04-23,80,alava,13.2,5.3,0.0,513
VI,2021-04-24,95,alava,15.4,6.1,0.0,513
VI,2021-04-25,69,alava,12.2,3.3,2.5,513
VI,2021-04-26,84,alava,12.4,1.1,17.5,513
VI,2021-04-27,68,alava,11.1,3.3,2.5,513
VI,2021-04-28,71,alava,10.8,2.8,4.4,513
VI,2021-04-29,50,alava,8.4,2.8,2.7,513
VI,2021-04-30,43,alava,9.5,3.9,0.8,513
VI,2021-05-01,63,alava,8.6,4.4,0.0,513
VI,2021-05-02,65,alava,7.6,3.3,0.3,513
VI,2021-05-03,63,alava,9.4,1.4,0.0,513
VI,2021-05-04,40,alava,11.4,3.3,0.0,513
VI,2021-05-05,32,alava,12.9,3.6,0.0,513
VI,2021-05-06,33,alava,13.5,1.4,1.0,513
VI,2021-05-07,28,alava,16.4,2.8,0.0,513
VI,2021-05-08,30,alava,19.4,3.3,0.0,513
VI,2021-05-09,23,alava,15.1,4.4,0.6,513
VI,2021-05-10,32,alava,12.6,6.9,3.2,513
VI,2021-05-11,31,alava,10.7,3.6,0.0,513
VI,2021-05-12,22,alava,11.8,6.4,0.8,513
VI,2021-05-13,30,alava,9.0,2.5,2.8,513
VI,2021-05-14,27,alava,10.6,3.3,1.1,513
VI,2021-05-15,27,alava,14.8,6.1,0.0,513
VI,2021-05-16,16,alava,14.0,3.9,2.2,513
VI,2021-05-17,25,alava,11.1,3.6,0.0,513
VI,2021-05-18,34,alava,13.5,3.6,0.0,513
VI,2021-05-19,26,alava,10.1,5.0,0.0,513
VI,2021-05-20,25,alava,13.6,2.5,0.0,513
VI,2021-05-21,21,alava,11.6,3.6,2.8,513
VI,2021-05-22,26,alava,9.6,3.1,0.0,513
VI,2021-05-23,44,alava,10.6,1.9,0.0,513
VI,2021-05-24,42,alava,10.2,1.7,1.5,513
VI,2021-05-25,41,alava,10.2,3.6,0.0,513
VI,2021-05-26,41,alava,11.4,2.5,0.0,513
VI,2021-05-27,33,alava,16.3,2.8,0.0,513
VI,2021-05-28,35,alava,20.0,2.5,54.5,513
VI,2021-05-29,40,alava,17.8,3.6,0.4,513
VI,2021-05-30,41,alava,17.4,3.6,0.0,513
VI,2021-05-31,44,alava,20.1,2.5,9.6,513
VI,2021-06-01,30,alava,17.9,2.5,0.5,513
VI,2021-06-02,28,alava,19.0,1.4,0.0,513
VI,2021-06-03,33,alava,14.4,3.6,10.4,513
VI,2021-06-04,22,alava,12.4,2.8,3.6,513
VI,2021-06-05,32,alava,14.4,3.6,0.0,513
VI,2021-06-06,23,alava,15.0,3.9,0.0,513
VI,2021-06-07,38,alava,15.5,2.8,0.0,513
VI,2021-06-08,24,alava,17.8,3.1,0.0,513
VI,2021-06-09,29,alava,15.4,4.4,0.0,513
VI,2021-06-10,20,alava,16.8,3.1,0.0,513
VI,2021-06-11,21,alava,16.4,5.3,0.0,513
VI,2021-06-12,29,alava,20.6,3.1,0.0,513
VI,2021-06-13,29,alava,22.5,2.8,0.0,513
VI,2021-06-14,17,alava,22.0,3.3,4.5,513
VI,2021-06-15,34,alava,20.4,2.5,1.5,513
