provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2021-03-02,11,albacete,9.2,1.7,0.0,676
AB,2021-03-03,13,albacete,10.3,0.6,0.0,676
AB,2021-03-04,12,albacete,9.3,0.3,0.0,676
AB,2021-03-05,19,albacete,8.9,1.4,0.0,676
AB,2021-03-06,13,albacete,9.8,1.4,3.4,676
AB,2021-03-07,12,albacete,7.7,1.4,6.8,676
AB,2021-03-08,15,albacete,10.0,0.8,2.6,676
AB,2021-03-09,6,albacete,9.8,0.0,0.5,676
AB,2021-03-10,12,albacete,9.1,0.8,0.0,676
AB,2021-03-11,9,albacete,11.4,1.7,0.0,676
AB,2021-03-12,6,albacete,10.8,0.8,0.0,676
AB,2021-03-13,5,albacete,10.0,0.8,0.0,676
AB,2021-03-14,5,albacete,10.4,0.8,0.0,676
AB,2021-03-15,13,albacete,10.2,0.6,0.0,676
AB,2021-03-16,10,albacete,11.2,0.8,0.0,676
AB,2021-03-17,8,albacete,11.6,0.6,0.0,676
AB,2021-03-18,7,albacete,7.1,1.7,0.0,676
AB,2021-03-19,4,albacete,5.6,0.8,2.8,676
AB,2021-03-20,3,albacete,5.6,1.1,0.0,676
AB,2021-03-21,5,albacete,6.5,1.4,0.0,676
AB,2021-03-22,5,albacete,8.4,0.6,0.0,676
AB,2021-03-23,2,albacete,11.2,0.6,0.0,676
AB,2021-03-24,13,albacete,12.1,0.3,0.0,676
AB,2021-03-25,5,albacete,14.2,0.3,0.0,676
AB,2021-03-26,10,albacete,15.3,0.8,0.0,676
AB,2021-03-27,5,albacete,12.4,1.9,0.0,676
AB,2021-03-28,9,albacete,12.0,1.9,0.0,676
AB,2021-03-29,10,albacete,12.0,1.4,0.0,676
AB,2021-03-30,11,albacete,13.2,1.7,0.0,676
AB,2021-03-31,13,albacete,13.3,1.7,0.0,676
AB,2021-04-01,13,albacete,14.5,1.4,0.0,676
AB,2021-04-02,16,albacete,14.2,0.8,0.0,676
AB,2021-04-03,18,albacete,13.9,0.6,3.3,676
AB,2021-04-04,16,albacete,11.6,1.1,0.0,676
AB,2021-04-05,24,albacete,15.0,0.6,0.0,676
AB,2021-04-06,28,albacete,15.7,1.9,0.0,676
AB,2021-04-07,18,albacete,11.8,1.4,0.0,676
AB,2021-04-08,17,albacete,11.4,1.9,1.3,676
AB,2021-04-09,15,albacete,11.8,1.7,1.1,676
AB,2021-04-10,19,albacete,13.0,1.1,3.2,676
AB,2021-04-11,18,albacete,12.2,0.8,3.8,676
AB,2021-04-12,18,albacete,11.8,0.3,0.0,676
AB,2021-04-13,14,albacete,14.2,1.9,0.0,676
AB,2021-04-14,18,albacete,12.8,1.9,0.0,676
AB,2021-04-15,21,albacete,7.8,0.6,0.8,676
AB,2021-04-16,12,albacete,9.5,0.3,1.7,676
AB,2021-04-17,9,albacete,9.2,0.6,0.0,676
AB,2021-04-18,12,albacete,9.0,0.3,0.0,676
AB,2021-04-19,10,albacete,13.8,1.1,0.2,676
AB,2021-04-20,15,albacete,16.1,1.1,0.1,676
AB,2021-04-21,24,albacete,13.8,0.8,8.9,676
AB,2021-04-24,16,albacete,11.0,1.9,5.7,676
