provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
A,2021-03-02,69,alicante,14.0,1.4,0.0,81
A,2021-03-03,89,alicante,14.2,2.5,0.0,81
A,2021-03-04,62,alicante,14.3,1.9,0.0,81
A,2021-03-05,65,alicante,13.6,2.2,0.0,81
A,2021-03-06,50,alicante,12.1,3.9,3.6,81
A,2021-03-07,42,alicante,12.8,1.4,24.0,81
A,2021-03-08,42,alicante,14.1,1.4,0.0,81
A,2021-03-09,43,alicante,13.4,1.7,0.0,81
A,2021-03-10,42,alicante,12.5,1.9,0.0,81
A,2021-03-11,51,alicante,16.3,2.2,0.0,81
A,2021-03-12,30,alicante,19.1,2.2,0.0,81
A,2021-03-13,19,alicante,14.4,1.9,0.0,81
A,2021-03-14,17,alicante,15.4,1.9,0.0,81
A,2021-03-15,30,alicante,13.0,1.9,0.0,81
A,2021-03-16,32,alicante,12.7,2.2,0.0,81
A,2021-03-17,34,alicante,12.8,1.9,0.0,81
A,2021-03-18,33,alicante,10.5,2.5,18.4,81
A,2021-03-19,28,alicante,10.7,1.9,2.8,81
A,2021-03-20,20,alicante,10.1,3.9,0.0,81
A,2021-03-21,30,alicante,11.2,2.2,0.0,81
A,2021-03-22,37,alicante,11.8,2.2,0.0,81
A,2021-03-23,28,alicante,12.8,2.5,0.0,81
A,2021-03-24,38,alicante,14.2,1.7,0.0,81
A,2021-03-25,35,alicante,13.7,1.7,0.0,81
A,2021-03-26,51,alicante,15.7,1.4,0.0,81
A,2021-03-27,26,alicante,16.6,3.6,0.0,81
A,2021-03-28,30,alicante,15.0,3.3,0.0,81
A,2021-03-29,67,alicante,16.6,3.3,0.0,81
A,2021-03-30,43,alicante,17.6,5.3,0.0,81
A,2021-03-31,31,alicante,15.3,3.6,0.0,81
A,2021-04-01,55,alicante,16.3,2.8,0.0,81
A,2021-04-02,23,alicante,17.8,1.9,0.0,81
A,2021-04-03,38,alicante,16.4,1.9,0.0,81
A,2021-04-04,40,alicante,15.6,2.8,0.8,81
A,2021-04-05,40,alicante,14.2,1.9,0.0,81
A,2021-04-06,27,alicante,20.3,2.2,0.0,81
A,2021-04-07,46,alicante,14.3,5.3,0.6,81
A,2021-04-08,57,alicante,13.7,3.3,2.0,81
A,2021-04-09,57,alicante,14.2,2.5,6.2,81
A,2021-04-10,34,alicante,14.5,1.1,1.4,81
A,2021-04-11,34,alicante,17.9,2.5,0.6,81
A,2021-04-12,39,alicante,15.0,2.8,0.0,81
A,2021-04-13,31,alicante,15.9,2.5,0.0,81
A,2021-04-14,41,alicante,14.4,2.8,0.2,81
A,2021-04-15,45,alicante,12.2,2.2,9.4,81
A,2021-04-16,41,alicante,13.2,2.8,5.6,81
A,2021-04-17,29,alicante,11.9,1.9,0.0,81
A,2021-04-18,39,alicante,13.6,2.2,0.0,81
A,2021-04-19,63,alicante,15.4,2.2,0.0,81
A,2021-04-20,58,alicante,17.1,2.8,0.8,81
A,2021-04-21,48,alicante,17.0,1.4,1.6,81
A,2021-04-22,54,alicante,15.2,1.9,3.0,81
A,2021-04-23,45,alicante,15.6,2.8,0.0,81
A,2021-04-24,37,alicante,16.0,3.6,0.0,81
A,2021-04-25,22,alicante,18.6,3.1,8.8,81
A,2021-04-26,42,alicante,17.7,1.7,3.4,81
A,2021-04-27,41,alicante,19.2,2.2,3.6,81
A,2021-04-28,55,alicante,18.4,1.7,0.0,81
A,2021-04-29,45,alicante,19.0,2.2,0.0,81
A,2021-04-30,44,alicante,18.0,1.7,0.0,81
A,2021-05-01,33,alicante,20.2,3.3,0.0,81
A,2021-05-02,25,alicante,18.3,3.6,0.0,81
A,2021-05-03,57,alicante,17.6,3.3,2.8,81
A,2021-05-04,33,alicante,17.2,1.7,0.0,81
A,2021-05-05,47,alicante,17.2,1.9,0.0,81
A,2021-05-06,37,alicante,18.0,1.9,0.0,81
A,2021-05-07,29,alicante,22.1,2.2,0.0,81
A,2021-05-08,40,alicante,19.6,2.8,0.0,81
A,2021-05-09,22,alicante,21.6,1.7,0.0,81
A,2021-05-10,32,alicante,19.9,4.2,0.2,81
A,2021-05-11,35,alicante,20.0,3.3,0.0,81
A,2021-05-12,40,alicante,18.9,2.2,0.0,81
A,2021-05-13,36,alicante,21.2,2.5,0.0,81
A,2021-05-14,33,alicante,22.0,3.9,0.0,81
A,2021-05-15,39,alicante,21.0,1.7,0.0,81
A,2021-05-16,31,alicante,26.8,1.9,0.0,81
A,2021-05-17,55,alicante,21.6,3.6,0.0,81
A,2021-05-18,57,alicante,20.0,2.2,0.0,81
A,2021-05-19,37,alicante,20.6,3.3,0.0,81
A,2021-05-20,33,alicante,19.8,1.9,0.0,81
A,2021-05-21,38,alicante,19.4,2.2,0.0,81
A,2021-05-22,34,alicante,20.8,2.8,0.0,81
A,2021-05-23,29,alicante,17.2,3.1,53.8,81
A,2021-05-24,48,alicante,20.0,2.2,0.0,81
A,2021-05-25,55,alicante,20.0,3.3,0.0,81
A,2021-05-26,55,alicante,19.1,2.5,0.0,81
A,2021-05-27,47,alicante,18.9,2.5,0.2,81
A,2021-05-28,46,alicante,20.5,1.9,0.0,81
A,2021-05-29,30,alicante,20.6,2.5,0.0,81
A,2021-05-30,34,alicante,21.2,1.9,0.0,81
A,2021-05-31,68,alicante,20.6,0.8,0.0,81
A,2021-06-01,59,alicante,21.4,1.7,2.8,81
A,2021-06-02,69,alicante,21.2,1.9,0.0,81
A,2021-06-03,51,alicante,22.0,3.9,0.0,81
A,2021-06-04,57,alicante,23.0,1.9,0.2,81
A,2021-06-05,43,alicante,20.7,3.1,6.4,81
A,2021-06-06,30,alicante,20.7,2.5,0.0,81
A,2021-06-07,50,alicante,21.8,1.7,0.0,81
A,2021-06-08,54,alicante,21.9,1.9,0.0,81
A,2021-06-09,52,alicante,23.6,1.9,0.0,81
A,2021-06-10,51,alicante,23.6,2.2,0.0,81
A,2021-06-11,42,alicante,23.6,3.3,0.0,81
A,2021-06-12,46,alicante,25.4,4.4,0.0,81
A,2021-06-13,35,alicante,26.5,3.1,0.0,81
