provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AL,2021-03-02,128,almeria,11.0,1.4,0.0,869
AL,2021-03-04,137,almeria,9.4,2.2,0.0,869
AL,2021-03-05,123,almeria,8.2,1.9,0.0,869
AL,2021-03-06,130,almeria,9.4,1.7,13.9,869
AL,2021-03-07,92,almeria,12.2,0.3,1.2,869
AL,2021-03-08,132,almeria,12.1,0.3,6.2,869
AL,2021-03-09,166,almeria,9.7,0.3,0.5,869
AL,2021-03-10,142,almeria,11.8,0.8,0.0,869
AL,2021-03-11,154,almeria,13.9,0.8,0.0,869
AL,2021-03-12,139,almeria,16.6,1.1,0.0,869
AL,2021-03-13,111,almeria,13.2,1.1,0.0,869
AL,2021-03-14,92,almeria,14.0,0.8,0.0,869
AL,2021-03-15,129,almeria,12.0,1.4,0.0,869
AL,2021-03-16,138,almeria,12.2,2.2,0.0,869
AL,2021-03-17,112,almeria,11.0,1.4,0.0,869
AL,2021-03-18,131,almeria,11.6,1.7,0.0,869
AL,2021-03-19,135,almeria,9.6,1.4,0.0,869
AL,2021-03-20,111,almeria,7.0,1.1,0.0,869
AL,2021-03-21,93,almeria,9.6,0.6,0.0,869
AL,2021-03-22,149,almeria,12.1,1.4,0.0,869
AL,2021-03-23,146,almeria,14.0,1.4,0.0,869
AL,2021-03-24,129,almeria,15.4,1.1,0.0,869
AL,2021-03-25,156,almeria,15.0,1.9,0.0,869
AL,2021-03-26,123,almeria,16.5,0.6,0.0,869
AL,2021-03-27,126,almeria,14.4,2.5,0.0,869
AL,2021-03-28,81,almeria,13.4,2.5,0.0,869
AL,2021-03-29,160,almeria,14.2,2.5,0.0,869
AL,2021-03-30,154,almeria,15.9,2.5,0.0,869
AL,2021-03-31,132,almeria,15.8,2.5,0.0,869
AL,2021-04-01,134,almeria,17.1,1.9,0.0,869
AL,2021-04-02,100,almeria,16.4,0.8,0.0,869
AL,2021-04-03,100,almeria,14.6,1.1,0.0,869
AL,2021-04-04,99,almeria,14.9,2.2,2.9,869
AL,2021-04-05,181,almeria,13.0,1.4,0.0,869
AL,2021-04-06,167,almeria,17.2,1.4,0.0,869
AL,2021-04-07,211,almeria,14.4,3.1,0.0,869
AL,2021-04-08,152,almeria,11.7,3.3,2.4,869
AL,2021-04-09,169,almeria,12.7,1.9,2.0,869
AL,2021-04-10,168,almeria,13.0,2.5,0.0,869
AL,2021-04-11,103,almeria,15.2,1.1,0.0,869
AL,2021-04-12,138,almeria,12.4,2.5,0.0,869
AL,2021-04-13,182,almeria,13.8,2.5,0.0,869
AL,2021-04-14,152,almeria,11.4,0.6,7.4,869
AL,2021-04-15,123,almeria,10.2,1.1,13.5,869
AL,2021-04-16,122,almeria,11.8,1.7,0.2,869
AL,2021-04-17,103,almeria,13.2,0.3,0.0,869
AL,2021-04-18,105,almeria,14.3,1.4,0.0,869
AL,2021-04-19,154,almeria,13.8,0.6,0.0,869
AL,2021-04-20,165,almeria,17.7,0.8,0.0,869
