provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2021-03-02,142,asturias,11.8,2.5,0.2,127
O,2021-03-03,144,asturias,12.4,3.3,0.0,127
O,2021-03-04,132,asturias,12.3,3.6,0.0,127
O,2021-03-05,104,asturias,10.4,4.2,0.0,127
O,2021-03-06,98,asturias,9.4,4.4,0.2,127
O,2021-03-07,104,asturias,8.0,2.5,3.5,127
O,2021-03-08,144,asturias,7.8,2.8,1.6,127
O,2021-03-09,146,asturias,8.2,2.8,0.0,127
O,2021-03-10,106,asturias,10.8,1.7,0.0,127
O,2021-03-11,114,asturias,13.6,6.4,1.4,127
O,2021-03-12,107,asturias,10.6,5.8,0.0,127
O,2021-03-13,148,asturias,12.2,7.2,5.0,127
O,2021-03-14,123,asturias,10.1,2.8,1.1,127
O,2021-03-15,134,asturias,9.2,3.3,0.0,127
O,2021-03-16,151,asturias,9.8,3.6,0.2,127
O,2021-03-17,68,asturias,11.2,3.3,0.0,127
O,2021-03-18,63,asturias,8.8,4.2,1.7,127
O,2021-03-19,115,asturias,8.2,2.8,1.8,127
O,2021-03-20,118,asturias,6.6,5.0,0.0,127
O,2021-03-21,111,asturias,6.8,3.9,0.0,127
O,2021-03-22,171,asturias,9.2,4.7,0.0,127
O,2021-03-23,125,asturias,11.6,3.3,0.0,127
O,2021-03-26,116,asturias,11.9,4.2,1.7,127
O,2021-03-27,148,asturias,9.3,3.9,0.0,127
O,2021-03-28,137,asturias,12.2,4.2,0.0,127
O,2021-03-29,89,asturias,15.2,2.5,0.0,127
O,2021-03-30,145,asturias,17.4,3.3,0.0,127
O,2021-03-31,75,asturias,19.4,3.3,0.0,127
O,2021-04-01,96,asturias,17.8,3.3,0.0,127
O,2021-04-02,94,asturias,14.0,3.9,0.0,127
O,2021-04-03,117,asturias,9.8,3.9,0.0,127
O,2021-04-04,134,asturias,9.2,4.4,0.0,127
O,2021-04-05,148,asturias,9.2,4.2,0.0,127
O,2021-04-06,138,asturias,10.0,4.2,0.1,127
O,2021-04-09,124,asturias,13.3,3.3,4.4,127
O,2021-04-10,180,asturias,12.6,2.5,13.3,127
O,2021-04-11,152,asturias,8.0,3.3,0.3,127
O,2021-04-12,128,asturias,8.1,6.4,0.0,127
O,2021-04-15,99,asturias,9.4,6.4,0.0,127
O,2021-04-16,115,asturias,7.7,5.6,0.0,127
O,2021-04-17,142,asturias,7.7,5.6,0.0,127
O,2021-04-18,108,asturias,9.4,5.0,0.0,127
O,2021-04-19,126,asturias,12.8,3.1,0.0,127
O,2021-04-20,128,asturias,11.8,2.2,0.0,127
O,2021-04-21,107,asturias,12.8,4.2,0.0,127
O,2021-04-22,86,asturias,13.6,1.7,0.0,127
O,2021-04-23,89,asturias,17.1,2.5,0.0,127
O,2021-04-24,98,asturias,16.4,4.7,3.5,127
O,2021-04-25,97,asturias,15.4,2.8,11.3,127
O,2021-04-26,109,asturias,13.2,2.8,0.0,127
O,2021-04-27,75,asturias,12.8,1.4,0.1,127
O,2021-04-28,78,asturias,11.4,0.8,0.3,127
O,2021-04-29,48,asturias,10.5,2.2,2.9,127
O,2021-04-30,72,asturias,11.0,2.5,0.8,127
O,2021-05-01,46,asturias,10.4,2.5,0.0,127
O,2021-05-02,47,asturias,9.6,4.4,0.0,127
O,2021-05-03,70,asturias,10.8,3.3,0.0,127
O,2021-05-04,58,asturias,11.3,4.4,0.4,127
O,2021-05-05,51,asturias,15.0,2.5,0.0,127
O,2021-05-06,39,asturias,15.2,4.2,0.0,127
O,2021-05-07,47,asturias,16.1,2.5,0.0,127
O,2021-05-08,44,asturias,15.2,3.6,0.0,127
O,2021-05-09,63,asturias,13.0,4.4,2.3,127
O,2021-05-10,58,asturias,12.5,3.3,3.1,127
O,2021-05-11,52,asturias,12.4,5.3,1.1,127
O,2021-05-12,39,asturias,13.4,7.8,3.9,127
O,2021-05-13,47,asturias,12.1,6.1,2.7,127
O,2021-05-14,45,asturias,11.6,3.1,4.8,127
O,2021-05-15,49,asturias,14.4,0.3,23.7,127
O,2021-05-16,71,asturias,14.1,6.1,0.1,127
O,2021-05-17,59,asturias,13.6,2.5,1.7,127
O,2021-05-18,51,asturias,12.0,2.5,0.7,127
O,2021-05-19,61,asturias,12.0,2.8,0.0,127
O,2021-05-20,31,asturias,14.6,3.3,1.5,127
O,2021-05-21,35,asturias,13.4,4.4,1.7,127
O,2021-05-22,64,asturias,12.7,3.6,5.1,127
O,2021-05-23,30,asturias,12.1,2.5,1.6,127
O,2021-05-24,65,asturias,13.6,6.9,0.7,127
O,2021-05-25,68,asturias,12.7,3.1,0.0,127
O,2021-05-26,71,asturias,12.7,3.6,0.0,127
O,2021-05-27,26,asturias,13.8,3.6,0.0,127
O,2021-05-28,77,asturias,15.2,2.5,1.2,127
O,2021-05-29,41,asturias,15.2,3.1,0.0,127
O,2021-05-30,57,asturias,15.0,2.8,0.0,127
O,2021-05-31,57,asturias,17.3,3.1,0.3,127
O,2021-06-01,46,asturias,15.3,4.4,7.2,127
O,2021-06-02,34,asturias,15.3,1.7,3.8,127
O,2021-06-03,52,asturias,12.9,2.8,0.8,127
O,2021-06-04,28,asturias,13.6,3.3,0.0,127
O,2021-06-05,81,asturias,13.9,3.9,0.0,127
O,2021-06-06,50,asturias,15.6,4.4,0.0,127
O,2021-06-07,72,asturias,16.4,3.6,0.2,127
O,2021-06-08,52,asturias,16.6,1.4,2.2,127
