provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AV,2021-03-02,2,avila,8.0,3.9,0.0,1130
AV,2021-03-03,3,avila,8.6,2.2,0.0,1130
AV,2021-03-04,6,avila,9.5,2.8,0.0,1130
AV,2021-03-05,1,avila,9.2,3.1,0.0,1130
AV,2021-03-06,4,avila,8.8,2.2,0.0,1130
AV,2021-03-07,2,avila,8.2,2.2,1.4,1130
AV,2021-03-08,0,avila,3.2,2.5,0.0,1130
AV,2021-03-09,3,avila,3.6,2.8,0.0,1130
AV,2021-03-10,0,avila,5.6,1.9,0.0,1130
AV,2021-03-11,6,avila,9.9,1.7,0.2,1130
AV,2021-03-12,6,avila,5.4,3.1,0.4,1130
AV,2021-03-13,4,avila,3.9,2.5,0.0,1130
AV,2021-03-14,4,avila,6.0,2.8,0.0,1130
AV,2021-03-15,6,avila,6.1,2.2,0.0,1130
AV,2021-03-16,4,avila,6.7,2.8,0.0,1130
AV,2021-03-17,2,avila,7.4,3.9,0.0,1130
AV,2021-03-18,5,avila,3.0,3.9,0.0,1130
AV,2021-03-19,9,avila,3.5,4.4,0.0,1130
AV,2021-03-20,3,avila,1.2,4.2,0.0,1130
AV,2021-03-21,4,avila,2.8,2.5,0.0,1130
AV,2021-03-22,6,avila,5.0,2.8,0.0,1130
AV,2021-03-23,4,avila,6.5,1.7,0.0,1130
AV,2021-03-24,5,avila,9.0,1.7,0.0,1130
AV,2021-03-25,6,avila,10.2,1.4,0.0,1130
AV,2021-03-26,8,avila,8.9,2.8,0.0,1130
AV,2021-03-27,12,avila,8.0,1.9,0.0,1130
AV,2021-03-28,9,avila,12.2,3.6,0.0,1130
AV,2021-03-29,9,avila,12.4,4.2,0.0,1130
AV,2021-03-30,11,avila,12.2,3.3,0.0,1130
AV,2021-03-31,11,avila,14.8,5.3,0.0,1130
AV,2021-04-01,3,avila,14.8,3.9,5.8,1130
AV,2021-04-02,5,avila,9.7,1.7,3.8,1130
AV,2021-04-03,12,avila,9.2,2.2,0.0,1130
AV,2021-04-04,18,avila,7.8,2.2,0.0,1130
AV,2021-04-05,18,avila,10.6,1.7,0.0,1130
AV,2021-04-06,13,avila,10.1,2.5,0.0,1130
AV,2021-04-07,20,avila,9.1,1.7,0.0,1130
AV,2021-04-08,23,avila,10.9,3.6,1.4,1130
AV,2021-04-09,9,avila,9.2,2.8,4.0,1130
AV,2021-04-10,9,avila,11.4,3.3,5.4,1130
AV,2021-04-11,12,avila,7.0,3.3,2.0,1130
AV,2021-04-12,19,avila,7.8,2.2,0.0,1130
AV,2021-04-13,16,avila,10.2,2.5,1.8,1130
