provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BA,2021-03-02,25,badajoz,13.4,1.4,0.0,185
BA,2021-03-03,17,badajoz,14.6,1.9,0.0,185
BA,2021-03-04,17,badajoz,13.1,2.2,2.8,185
BA,2021-03-05,17,badajoz,12.1,2.2,3.0,185
BA,2021-03-06,22,badajoz,13.7,1.7,0.0,185
BA,2021-03-07,28,badajoz,13.2,1.1,0.0,185
BA,2021-03-08,22,badajoz,11.2,1.7,0.0,185
BA,2021-03-09,41,badajoz,11.6,2.8,0.0,185
BA,2021-03-10,25,badajoz,11.4,1.1,0.0,185
BA,2021-03-11,37,badajoz,12.6,1.9,0.0,185
BA,2021-03-12,44,badajoz,13.0,3.6,0.0,185
BA,2021-03-13,21,badajoz,11.7,2.5,0.0,185
BA,2021-03-14,29,badajoz,13.1,1.7,0.0,185
BA,2021-03-15,58,badajoz,13.2,3.1,0.0,185
BA,2021-03-16,85,badajoz,13.8,2.5,0.0,185
BA,2021-03-17,37,badajoz,14.8,4.2,0.0,185
BA,2021-03-18,59,badajoz,12.6,5.0,0.0,185
BA,2021-03-19,36,badajoz,11.0,2.5,0.0,185
BA,2021-03-20,41,badajoz,10.4,5.0,0.0,185
BA,2021-03-21,47,badajoz,9.8,1.9,0.0,185
BA,2021-03-22,50,badajoz,12.6,1.9,0.0,185
BA,2021-03-23,64,badajoz,13.7,2.2,0.0,185
BA,2021-03-24,46,badajoz,14.2,2.2,0.0,185
BA,2021-03-25,36,badajoz,13.5,1.7,0.0,185
BA,2021-03-26,52,badajoz,14.2,1.7,0.0,185
BA,2021-03-27,63,badajoz,16.0,3.3,0.0,185
BA,2021-03-28,60,badajoz,16.9,3.9,0.0,185
BA,2021-03-29,78,badajoz,20.0,3.1,0.0,185
BA,2021-03-30,75,badajoz,19.2,4.2,0.0,185
BA,2021-03-31,83,badajoz,23.0,5.6,0.0,185
BA,2021-04-01,104,badajoz,17.2,2.2,7.0,185
BA,2021-04-02,70,badajoz,16.3,3.1,0.0,185
BA,2021-04-03,66,badajoz,15.8,1.7,0.0,185
BA,2021-04-04,47,badajoz,17.6,1.4,0.0,185
BA,2021-04-05,56,badajoz,17.6,1.7,0.0,185
BA,2021-04-06,45,badajoz,18.1,1.4,0.0,185
BA,2021-04-07,57,badajoz,17.7,1.9,0.0,185
BA,2021-04-08,62,badajoz,18.0,3.3,0.0,185
BA,2021-04-09,96,badajoz,19.0,1.9,0.0,185
BA,2021-04-10,66,badajoz,17.6,2.5,17.0,185
BA,2021-04-11,52,badajoz,17.3,3.3,0.2,185
