provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2021-03-02,87,baleares,14.6,6.1,0.0,57
PM,2021-03-03,49,baleares,15.1,6.4,0.0,57
PM,2021-03-04,45,baleares,14.4,6.4,0.0,57
PM,2021-03-05,28,baleares,15.4,4.2,0.0,57
PM,2021-03-06,44,baleares,14.4,3.9,0.0,57
PM,2021-03-07,31,baleares,14.2,3.6,9.6,57
PM,2021-03-08,30,baleares,12.7,11.1,1.5,57
PM,2021-03-09,48,baleares,14.0,8.1,0.0,57
PM,2021-03-10,36,baleares,14.2,2.2,0.0,57
PM,2021-03-11,38,baleares,15.6,2.8,0.0,57
PM,2021-03-13,31,baleares,15.4,3.3,0.0,57
PM,2021-03-14,36,baleares,15.6,6.4,2.6,57
PM,2021-03-15,50,baleares,14.0,3.1,0.0,57
PM,2021-03-16,58,baleares,13.8,7.5,0.0,57
PM,2021-03-17,45,baleares,15.3,5.8,0.0,57
PM,2021-03-18,46,baleares,11.8,11.7,0.1,57
PM,2021-03-19,56,baleares,9.6,10.6,1.8,57
PM,2021-03-20,46,baleares,10.5,15.6,5.9,57
PM,2021-03-21,47,baleares,11.6,10.0,0.4,57
PM,2021-03-22,53,baleares,12.2,10.8,2.4,57
PM,2021-03-23,32,baleares,15.6,1.4,0.0,57
PM,2021-03-24,54,baleares,15.2,1.9,0.0,57
PM,2021-03-25,51,baleares,16.0,3.9,0.0,57
PM,2021-03-26,61,baleares,15.2,4.4,0.0,57
PM,2021-03-27,49,baleares,14.9,7.5,0.0,57
PM,2021-03-28,41,baleares,16.1,3.1,0.0,57
PM,2021-03-29,53,baleares,16.0,3.3,0.1,57
PM,2021-03-30,36,baleares,16.2,2.2,0.0,57
PM,2021-03-31,22,baleares,16.1,2.8,0.0,57
PM,2021-04-01,58,baleares,17.5,2.2,0.0,57
PM,2021-04-02,46,baleares,17.4,3.6,0.0,57
PM,2021-04-03,72,baleares,17.2,5.0,0.3,57
PM,2021-04-04,53,baleares,16.0,8.9,0.0,57
PM,2021-04-05,63,baleares,17.0,3.3,0.0,57
PM,2021-04-06,72,baleares,17.1,4.2,0.0,57
PM,2021-04-07,64,baleares,12.0,12.2,0.3,57
PM,2021-04-08,69,baleares,13.8,5.0,0.0,57
PM,2021-04-09,43,baleares,14.2,5.6,0.5,57
PM,2021-04-10,55,baleares,15.5,3.3,0.6,57
PM,2021-04-11,56,baleares,17.3,3.1,5.2,57
PM,2021-04-12,48,baleares,13.2,8.1,0.0,57
PM,2021-04-13,59,baleares,14.0,1.9,0.0,57
PM,2021-04-14,51,baleares,15.3,1.7,0.0,57
PM,2021-04-15,54,baleares,14.2,6.1,0.0,57
PM,2021-04-16,50,baleares,14.9,8.9,0.0,57
PM,2021-04-17,35,baleares,10.7,5.6,7.2,57
PM,2021-04-18,39,baleares,12.6,3.1,0.1,57
PM,2021-04-19,62,baleares,15.4,3.9,0.0,57
PM,2021-04-20,56,baleares,16.6,5.3,3.0,57
PM,2021-04-21,53,baleares,15.6,7.8,0.0,57
PM,2021-04-22,49,baleares,16.5,5.3,0.0,57
PM,2021-04-23,45,baleares,17.0,5.6,0.0,57
PM,2021-04-24,46,baleares,16.6,3.3,0.0,57
PM,2021-04-25,46,baleares,17.0,5.3,0.0,57
PM,2021-04-26,53,baleares,17.9,4.7,0.0,57
PM,2021-04-27,58,baleares,17.2,3.3,0.0,57
PM,2021-04-28,48,baleares,18.6,4.2,0.0,57
PM,2021-04-29,54,baleares,18.7,3.6,0.0,57
PM,2021-04-30,13,baleares,18.2,3.1,3.1,57
PM,2021-05-01,67,baleares,16.4,4.7,2.8,57
PM,2021-05-02,39,baleares,18.6,7.2,0.0,57
PM,2021-05-03,50,baleares,17.6,5.8,0.0,57
PM,2021-05-04,61,baleares,17.8,1.7,0.0,57
PM,2021-05-05,62,baleares,18.0,4.2,0.0,57
PM,2021-05-06,68,baleares,18.6,4.2,0.0,57
PM,2021-05-07,52,baleares,19.9,1.9,0.0,57
PM,2021-05-08,32,baleares,18.6,5.3,0.0,57
PM,2021-05-09,31,baleares,21.0,3.9,0.3,57
PM,2021-05-10,41,baleares,18.7,1.7,2.8,57
PM,2021-05-11,33,baleares,19.6,5.8,0.0,57
PM,2021-05-12,34,baleares,20.6,2.5,0.0,57
PM,2021-05-13,22,baleares,18.8,4.4,0.1,57
PM,2021-05-14,35,baleares,17.8,6.9,0.0,57
PM,2021-05-15,54,baleares,18.8,6.7,0.0,57
PM,2021-05-16,29,baleares,23.2,2.5,0.0,57
PM,2021-05-17,35,baleares,19.4,5.6,0.0,57
PM,2021-05-18,35,baleares,18.3,6.4,0.0,57
