provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
B,2021-03-02,1048,barcelona,13.0,1.7,0.0,74
B,2021-03-03,988,barcelona,13.5,0.8,0.0,74
B,2021-03-04,812,barcelona,12.6,1.1,0.0,74
B,2021-03-05,906,barcelona,12.7,0.8,0.0,74
B,2021-03-06,656,barcelona,13.2,0.8,0.0,74
B,2021-03-07,571,barcelona,13.0,0.8,0.0,74
B,2021-03-08,979,barcelona,11.7,1.4,0.0,74
B,2021-03-09,904,barcelona,11.4,0.8,0.0,74
B,2021-03-10,931,barcelona,11.6,1.7,0.0,74
B,2021-03-11,887,barcelona,11.7,1.7,0.0,74
B,2021-03-12,903,barcelona,12.4,1.4,0.3,74
B,2021-03-13,679,barcelona,12.8,1.9,0.0,74
B,2021-03-14,602,barcelona,12.2,1.4,0.0,74
B,2021-03-15,1104,barcelona,12.0,1.1,0.0,74
B,2021-03-16,1030,barcelona,12.4,0.8,0.0,74
B,2021-03-17,890,barcelona,12.6,1.4,0.0,74
B,2021-03-18,985,barcelona,10.6,1.1,19.9,74
B,2021-03-19,1018,barcelona,8.6,1.1,0.6,74
B,2021-03-20,758,barcelona,10.0,1.9,0.0,74
B,2021-03-21,661,barcelona,9.5,1.4,0.0,74
B,2021-03-22,1287,barcelona,11.8,1.4,0.0,74
B,2021-03-23,1264,barcelona,12.0,1.1,0.0,74
B,2021-03-24,1127,barcelona,11.8,0.6,0.0,74
B,2021-03-25,1056,barcelona,12.2,1.4,0.0,74
B,2021-03-26,1245,barcelona,12.8,1.7,0.0,74
B,2021-03-27,877,barcelona,14.0,0.8,0.0,74
B,2021-03-28,743,barcelona,13.2,0.8,0.0,74
B,2021-03-29,1308,barcelona,13.6,0.6,0.0,74
B,2021-03-30,1187,barcelona,13.4,0.6,0.0,74
B,2021-03-31,1058,barcelona,13.0,0.8,0.0,74
B,2021-04-01,1171,barcelona,14.3,0.8,0.0,74
B,2021-04-02,763,barcelona,16.3,0.8,0.0,74
B,2021-04-03,883,barcelona,16.8,0.6,0.0,74
B,2021-04-04,878,barcelona,15.2,1.1,0.0,74
B,2021-04-05,984,barcelona,14.6,1.4,0.0,74
B,2021-04-06,1327,barcelona,12.8,1.7,0.8,74
B,2021-04-07,1294,barcelona,11.0,1.4,0.0,74
B,2021-04-08,1206,barcelona,11.6,3.1,0.0,74
B,2021-04-09,1276,barcelona,11.8,1.1,0.3,74
B,2021-04-10,1000,barcelona,11.6,0.3,4.2,74
B,2021-04-11,736,barcelona,13.4,1.1,21.0,74
B,2021-04-12,1349,barcelona,11.8,1.1,0.0,74
B,2021-04-13,1215,barcelona,12.3,1.7,0.0,74
B,2021-04-14,1424,barcelona,13.2,0.8,0.0,74
B,2021-04-15,1093,barcelona,13.8,1.4,0.0,74
B,2021-04-16,1184,barcelona,11.4,1.4,0.9,74
B,2021-04-17,845,barcelona,9.9,0.3,0.4,74
B,2021-04-18,757,barcelona,11.8,1.9,0.0,74
B,2021-04-19,1369,barcelona,13.2,0.8,0.0,74
B,2021-04-20,1638,barcelona,13.7,0.3,13.4,74
B,2021-04-21,1209,barcelona,12.2,0.6,2.1,74
B,2021-04-22,1410,barcelona,13.0,1.1,0.0,74
B,2021-04-23,1130,barcelona,14.1,0.3,0.0,74
B,2021-04-24,973,barcelona,13.8,0.8,0.0,74
B,2021-04-25,839,barcelona,16.4,0.6,0.0,74
B,2021-04-26,1678,barcelona,16.2,2.8,0.8,74
B,2021-04-27,1504,barcelona,15.4,1.1,1.0,74
B,2021-04-28,1357,barcelona,15.3,0.8,0.8,74
B,2021-04-29,1300,barcelona,17.0,0.3,0.0,74
B,2021-04-30,1247,barcelona,17.3,0.3,6.1,74
B,2021-05-01,734,barcelona,13.4,1.1,8.8,74
B,2021-05-02,592,barcelona,13.2,0.8,0.5,74
B,2021-05-03,1361,barcelona,14.0,1.4,0.0,74
B,2021-05-04,974,barcelona,14.5,1.4,0.0,74
B,2021-05-05,1102,barcelona,16.2,0.6,0.0,74
B,2021-05-06,760,barcelona,16.6,1.9,0.0,74
B,2021-05-07,953,barcelona,17.3,0.6,0.0,74
B,2021-05-08,495,barcelona,18.6,2.2,0.0,74
B,2021-05-09,444,barcelona,18.4,0.3,0.0,74
B,2021-05-10,994,barcelona,17.1,1.4,0.9,74
B,2021-05-11,568,barcelona,15.5,1.1,0.5,74
B,2021-05-12,598,barcelona,16.6,1.7,0.0,74
B,2021-05-13,709,barcelona,16.6,1.9,0.0,74
B,2021-05-14,692,barcelona,15.8,1.4,0.6,74
B,2021-05-15,416,barcelona,16.6,1.7,0.0,74
B,2021-05-16,355,barcelona,18.4,0.6,0.0,74
B,2021-05-17,903,barcelona,15.8,2.2,0.0,74
B,2021-05-18,743,barcelona,16.6,2.5,0.0,74
B,2021-05-19,492,barcelona,16.8,1.9,4.1,74
B,2021-05-20,619,barcelona,16.8,1.4,0.0,74
B,2021-05-21,624,barcelona,17.1,2.5,0.0,74
B,2021-05-22,340,barcelona,16.6,1.1,0.0,74
B,2021-05-23,353,barcelona,15.5,0.3,1.1,74
B,2021-05-24,556,barcelona,17.6,1.7,0.0,74
B,2021-05-25,591,barcelona,16.8,1.1,0.0,74
B,2021-05-26,756,barcelona,16.2,1.4,0.0,74
B,2021-05-27,607,barcelona,18.4,1.1,0.0,74
B,2021-05-28,614,barcelona,20.2,0.8,0.0,74
B,2021-05-29,306,barcelona,21.9,1.1,0.2,74
B,2021-05-30,290,barcelona,22.0,0.3,1.2,74
B,2021-05-31,712,barcelona,20.7,1.1,0.0,74
B,2021-06-01,736,barcelona,20.2,0.6,0.4,74
B,2021-06-02,639,barcelona,21.4,0.8,0.0,74
B,2021-06-03,601,barcelona,21.2,0.6,0.0,74
B,2021-06-04,420,barcelona,21.8,0.6,0.0,74
B,2021-06-05,378,barcelona,20.7,1.1,0.0,74
B,2021-06-06,326,barcelona,21.2,1.4,7.3,74
B,2021-06-07,603,barcelona,19.8,0.8,0.0,74
B,2021-06-08,448,barcelona,21.8,1.1,0.3,74
B,2021-06-09,398,barcelona,22.8,1.4,0.0,74
B,2021-06-10,457,barcelona,24.2,1.4,0.0,74
B,2021-06-11,483,barcelona,25.4,0.8,0.0,74
B,2021-06-12,312,barcelona,26.2,0.8,0.0,74
B,2021-06-13,315,barcelona,27.5,1.4,0.0,74
B,2021-06-14,681,barcelona,26.5,0.8,0.0,74
B,2021-06-15,650,barcelona,27.2,1.4,0.0,74
