provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BI,2021-03-02,132,bizkaia,16.5,4.7,0.0,42
BI,2021-03-03,166,bizkaia,15.2,3.1,0.0,42
BI,2021-03-04,124,bizkaia,14.4,1.9,0.0,42
BI,2021-03-05,171,bizkaia,9.9,2.5,0.0,42
BI,2021-03-06,134,bizkaia,10.0,1.4,0.0,42
BI,2021-03-07,138,bizkaia,7.4,1.4,0.0,42
BI,2021-03-08,146,bizkaia,8.5,2.5,0.7,42
BI,2021-03-09,148,bizkaia,6.8,2.5,0.0,42
BI,2021-03-10,179,bizkaia,9.9,1.1,0.0,42
BI,2021-03-11,149,bizkaia,14.3,4.2,1.3,42
BI,2021-03-12,167,bizkaia,10.0,4.4,0.0,42
BI,2021-03-13,161,bizkaia,9.9,6.1,7.0,42
BI,2021-03-14,174,bizkaia,10.3,3.3,3.7,42
BI,2021-03-15,211,bizkaia,9.7,2.5,0.0,42
BI,2021-03-16,167,bizkaia,10.6,2.2,0.3,42
BI,2021-03-17,177,bizkaia,11.6,3.6,0.5,42
BI,2021-03-18,184,bizkaia,8.8,3.9,7.2,42
BI,2021-03-19,175,bizkaia,9.2,4.7,18.2,42
BI,2021-03-20,214,bizkaia,8.5,4.2,0.0,42
BI,2021-03-21,216,bizkaia,8.2,3.1,0.5,42
BI,2021-03-22,228,bizkaia,9.0,3.1,0.0,42
BI,2021-03-23,279,bizkaia,10.6,1.7,0.0,42
BI,2021-03-24,195,bizkaia,8.8,3.1,0.0,42
BI,2021-03-25,182,bizkaia,11.7,2.2,0.0,42
BI,2021-03-26,189,bizkaia,10.2,4.4,0.7,42
BI,2021-03-27,231,bizkaia,11.4,2.8,0.0,42
BI,2021-03-28,220,bizkaia,14.8,2.8,0.0,42
BI,2021-03-29,249,bizkaia,20.2,5.3,0.0,42
BI,2021-03-30,233,bizkaia,22.0,4.7,0.0,42
BI,2021-03-31,204,bizkaia,23.0,5.6,0.0,42
BI,2021-04-01,239,bizkaia,17.8,4.4,0.0,42
BI,2021-04-02,237,bizkaia,14.8,3.9,0.0,42
BI,2021-04-03,370,bizkaia,11.5,4.2,0.0,42
BI,2021-04-04,353,bizkaia,9.7,3.6,0.0,42
BI,2021-04-05,322,bizkaia,10.1,3.1,0.0,42
BI,2021-04-06,426,bizkaia,9.6,3.3,1.1,42
BI,2021-04-07,379,bizkaia,8.0,3.9,0.0,42
BI,2021-04-08,274,bizkaia,13.4,4.4,0.0,42
BI,2021-04-09,286,bizkaia,15.2,5.8,0.0,42
BI,2021-04-10,385,bizkaia,17.0,3.9,16.3,42
BI,2021-04-11,416,bizkaia,8.4,3.3,7.5,42
BI,2021-04-12,422,bizkaia,8.2,2.8,0.0,42
BI,2021-04-13,381,bizkaia,9.0,3.6,0.0,42
BI,2021-04-14,335,bizkaia,10.0,4.2,0.0,42
BI,2021-04-15,280,bizkaia,8.5,2.5,0.0,42
BI,2021-04-16,304,bizkaia,7.2,3.3,0.0,42
BI,2021-04-17,409,bizkaia,8.0,2.8,0.0,42
BI,2021-04-18,461,bizkaia,10.9,2.5,0.0,42
BI,2021-04-19,414,bizkaia,11.8,2.2,0.4,42
BI,2021-04-20,431,bizkaia,13.0,3.1,0.0,42
BI,2021-04-21,344,bizkaia,14.4,3.1,0.0,42
BI,2021-04-22,325,bizkaia,17.4,4.7,0.0,42
