provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BU,2021-03-02,43,burgos,9.5,2.5,0.0,790
BU,2021-03-03,53,burgos,8.8,1.4,0.0,790
BU,2021-03-04,49,burgos,9.4,1.9,0.0,790
BU,2021-03-05,58,burgos,8.6,2.5,0.0,790
BU,2021-03-06,41,burgos,7.2,0.8,0.0,790
BU,2021-03-07,40,burgos,7.8,1.1,0.0,790
BU,2021-03-08,55,burgos,4.9,1.9,0.0,790
BU,2021-03-09,42,burgos,2.6,1.9,0.0,790
BU,2021-03-10,57,burgos,4.6,1.7,0.0,790
BU,2021-03-11,35,burgos,11.4,2.5,0.0,790
BU,2021-03-12,45,burgos,6.7,1.9,0.0,790
BU,2021-03-13,31,burgos,5.4,1.7,0.0,790
BU,2021-03-14,35,burgos,6.4,1.4,0.0,790
BU,2021-03-15,54,burgos,5.6,3.1,0.0,790
BU,2021-03-16,53,burgos,6.2,2.5,0.0,790
BU,2021-03-17,54,burgos,7.0,2.5,0.0,790
BU,2021-03-18,68,burgos,5.5,3.6,0.0,790
BU,2021-03-19,45,burgos,6.0,4.2,0.0,790
BU,2021-03-20,43,burgos,4.0,3.6,0.0,790
BU,2021-03-21,37,burgos,5.8,3.1,0.0,790
BU,2021-03-22,53,burgos,7.8,3.3,0.0,790
BU,2021-03-23,69,burgos,6.3,1.7,0.0,790
BU,2021-03-24,71,burgos,8.6,1.4,0.0,790
BU,2021-03-25,76,burgos,9.8,1.4,0.0,790
BU,2021-03-26,94,burgos,9.5,2.2,0.0,790
BU,2021-03-27,52,burgos,7.9,1.4,0.0,790
BU,2021-03-28,76,burgos,12.3,2.2,0.0,790
BU,2021-03-29,80,burgos,15.6,2.8,0.0,790
BU,2021-03-30,80,burgos,16.3,3.1,0.0,790
BU,2021-03-31,88,burgos,15.5,2.2,0.0,790
BU,2021-04-01,84,burgos,16.0,2.8,0.0,790
BU,2021-04-02,75,burgos,10.4,0.6,4.8,790
BU,2021-04-03,82,burgos,10.6,3.3,0.0,790
BU,2021-04-04,88,burgos,8.5,1.1,0.0,790
BU,2021-04-05,118,burgos,9.1,1.4,0.0,790
BU,2021-04-06,123,burgos,7.0,2.5,0.0,790
BU,2021-04-07,76,burgos,7.9,1.1,0.0,790
BU,2021-04-08,77,burgos,12.3,3.3,5.4,790
BU,2021-04-09,76,burgos,10.1,1.4,7.2,790
BU,2021-04-10,66,burgos,11.0,1.1,13.4,790
BU,2021-04-11,53,burgos,7.4,2.5,0.8,790
BU,2021-04-12,84,burgos,5.6,0.6,0.0,790
BU,2021-04-13,75,burgos,9.0,1.7,0.0,790
BU,2021-04-14,79,burgos,12.7,2.2,0.0,790
BU,2021-04-15,79,burgos,11.5,2.8,0.0,790
BU,2021-04-16,72,burgos,5.8,3.1,0.0,790
BU,2021-04-17,55,burgos,3.8,3.1,0.0,790
BU,2021-04-18,58,burgos,6.8,1.1,0.0,790
BU,2021-04-19,87,burgos,10.5,1.4,2.8,790
BU,2021-04-20,89,burgos,11.6,1.1,2.6,790
BU,2021-04-21,89,burgos,11.8,0.6,3.2,790
BU,2021-04-22,82,burgos,11.9,1.9,0.2,790
BU,2021-04-23,72,burgos,12.4,2.5,0.0,790
BU,2021-04-24,74,burgos,13.9,3.3,0.0,790
BU,2021-04-25,67,burgos,13.4,1.7,1.8,790
BU,2021-04-26,94,burgos,13.0,1.4,0.0,790
BU,2021-04-27,97,burgos,11.7,1.7,0.0,790
BU,2021-04-28,90,burgos,11.0,1.1,7.6,790
BU,2021-04-29,84,burgos,10.7,1.4,4.6,790
