provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CC,2021-03-02,8,caceres,11.2,1.7,0.0,394
CC,2021-03-03,8,caceres,13.0,2.2,0.0,394
CC,2021-03-04,8,caceres,12.4,3.9,0.0,394
CC,2021-03-05,13,caceres,12.2,1.9,0.0,394
CC,2021-03-06,10,caceres,12.0,2.2,0.0,394
CC,2021-03-07,9,caceres,11.8,1.4,0.0,394
CC,2021-03-08,14,caceres,10.0,1.4,0.0,394
CC,2021-03-09,30,caceres,9.2,2.2,0.0,394
CC,2021-03-10,26,caceres,10.5,1.7,0.0,394
CC,2021-03-11,30,caceres,12.0,2.8,0.0,394
CC,2021-03-12,42,caceres,11.2,4.2,0.0,394
CC,2021-03-13,35,caceres,9.6,2.5,0.0,394
CC,2021-03-14,21,caceres,11.8,1.9,0.0,394
CC,2021-03-15,43,caceres,11.8,1.7,0.0,394
CC,2021-03-16,29,caceres,13.0,2.5,0.0,394
CC,2021-03-17,32,caceres,13.6,2.8,0.0,394
CC,2021-03-18,22,caceres,10.2,1.9,0.0,394
CC,2021-03-19,24,caceres,9.0,1.9,0.0,394
CC,2021-03-20,20,caceres,7.3,2.5,0.0,394
CC,2021-03-21,14,caceres,8.0,2.2,0.0,394
CC,2021-03-22,32,caceres,11.4,1.9,0.0,394
CC,2021-03-23,48,caceres,12.6,2.2,0.0,394
CC,2021-03-24,24,caceres,13.6,1.7,0.0,394
CC,2021-03-25,21,caceres,13.0,2.5,0.0,394
CC,2021-03-26,36,caceres,13.4,3.6,0.0,394
CC,2021-03-27,22,caceres,12.2,1.7,0.0,394
CC,2021-03-28,23,caceres,15.6,2.8,0.0,394
CC,2021-03-29,35,caceres,16.8,1.9,0.0,394
CC,2021-03-30,32,caceres,17.0,2.8,0.0,394
CC,2021-03-31,27,caceres,18.4,3.9,0.0,394
CC,2021-04-01,52,caceres,17.7,3.6,7.4,394
CC,2021-04-02,18,caceres,15.4,3.6,0.0,394
CC,2021-04-03,34,caceres,16.2,1.9,0.0,394
