provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2021-03-02,89,cadiz,16.6,3.1,0.0,2
CA,2021-03-03,110,cadiz,16.1,7.2,0.0,2
CA,2021-03-04,101,cadiz,16.4,8.1,0.4,2
CA,2021-03-05,105,cadiz,16.0,5.0,7.0,2
CA,2021-03-06,94,cadiz,14.4,2.2,8.3,2
CA,2021-03-07,72,cadiz,15.7,2.8,0.4,2
CA,2021-03-08,98,cadiz,14.5,3.6,0.0,2
CA,2021-03-09,74,cadiz,14.8,2.5,0.0,2
CA,2021-03-10,89,cadiz,14.8,2.5,0.0,2
CA,2021-03-11,64,cadiz,15.4,2.8,0.0,2
CA,2021-03-12,76,cadiz,15.9,5.6,0.0,2
CA,2021-03-13,70,cadiz,14.9,3.6,0.0,2
CA,2021-03-14,59,cadiz,17.6,3.9,0.0,2
CA,2021-03-15,90,cadiz,17.0,5.3,0.0,2
CA,2021-03-16,90,cadiz,17.4,7.8,0.0,2
CA,2021-03-17,94,cadiz,17.6,7.5,0.0,2
CA,2021-03-18,96,cadiz,17.6,1.9,0.0,2
CA,2021-03-19,99,cadiz,14.4,5.3,0.1,2
CA,2021-03-20,88,cadiz,14.2,6.7,0.0,2
CA,2021-03-21,86,cadiz,13.2,3.1,0.0,2
CA,2021-03-22,141,cadiz,14.5,3.1,0.0,2
CA,2021-03-23,144,cadiz,15.4,2.8,0.0,2
CA,2021-03-24,170,cadiz,15.9,2.2,0.0,2
CA,2021-03-25,123,cadiz,15.8,2.5,0.0,2
CA,2021-03-26,166,cadiz,16.5,2.2,0.0,2
CA,2021-03-27,142,cadiz,18.4,5.3,0.0,2
CA,2021-03-28,107,cadiz,18.2,11.9,0.0,2
CA,2021-03-29,175,cadiz,18.4,11.1,0.0,2
CA,2021-03-30,190,cadiz,19.1,10.0,0.0,2
CA,2021-03-31,177,cadiz,19.0,14.7,0.0,2
CA,2021-04-01,194,cadiz,18.6,5.0,0.3,2
CA,2021-04-02,152,cadiz,17.7,2.8,0.0,2
CA,2021-04-03,177,cadiz,16.2,3.3,0.0,2
CA,2021-04-04,140,cadiz,17.8,2.2,0.0,2
CA,2021-04-05,227,cadiz,19.8,3.6,0.0,2
CA,2021-04-06,258,cadiz,19.2,3.3,0.0,2
CA,2021-04-07,209,cadiz,18.5,3.1,0.0,2
CA,2021-04-08,214,cadiz,17.5,11.9,0.0,2
CA,2021-04-09,193,cadiz,17.8,6.7,0.0,2
CA,2021-04-10,171,cadiz,17.6,3.9,0.1,2
CA,2021-04-11,107,cadiz,18.9,3.6,0.0,2
CA,2021-04-12,202,cadiz,18.6,4.2,0.0,2
CA,2021-04-13,200,cadiz,19.0,8.3,0.0,2
CA,2021-04-14,189,cadiz,16.9,7.8,0.0,2
CA,2021-04-15,197,cadiz,18.2,6.1,0.9,2
CA,2021-04-16,179,cadiz,17.6,3.6,0.0,2
CA,2021-04-17,147,cadiz,18.0,3.9,0.0,2
CA,2021-04-18,115,cadiz,18.4,3.3,0.0,2
CA,2021-04-19,153,cadiz,18.8,4.4,0.0,2
CA,2021-04-20,144,cadiz,18.3,4.4,0.0,2
CA,2021-04-21,142,cadiz,17.9,3.3,3.3,2
CA,2021-04-22,161,cadiz,19.1,3.1,0.9,2
CA,2021-04-23,171,cadiz,19.2,11.7,0.0,2
CA,2021-04-24,100,cadiz,18.2,8.3,0.1,2
