provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2021-03-02,40,cantabria,16.7,3.3,0.0,45
S,2021-03-03,40,cantabria,14.6,1.9,0.0,45
S,2021-03-04,34,cantabria,12.6,1.7,0.0,45
S,2021-03-06,28,cantabria,9.6,1.9,0.0,45
S,2021-03-07,46,cantabria,9.2,1.7,0.0,45
S,2021-03-08,34,cantabria,9.2,2.5,16.0,45
S,2021-03-09,41,cantabria,8.0,1.9,0.1,45
S,2021-03-10,44,cantabria,9.4,1.4,0.0,45
S,2021-03-11,35,cantabria,14.3,3.6,0.5,45
S,2021-03-12,49,cantabria,11.4,5.0,0.0,45
S,2021-03-13,38,cantabria,12.8,5.6,5.5,45
S,2021-03-14,37,cantabria,10.7,4.4,1.3,45
S,2021-03-15,43,cantabria,10.8,3.3,0.0,45
S,2021-03-16,37,cantabria,12.0,1.9,0.4,45
S,2021-03-17,59,cantabria,11.6,2.5,0.4,45
S,2021-03-18,41,cantabria,9.4,3.3,4.0,45
S,2021-03-19,45,cantabria,9.4,7.8,13.8,45
S,2021-03-20,47,cantabria,8.9,5.0,0.0,45
S,2021-03-21,30,cantabria,9.8,3.1,0.1,45
S,2021-03-22,57,cantabria,10.1,2.2,0.0,45
S,2021-03-23,50,cantabria,10.0,1.7,0.0,45
S,2021-03-24,57,cantabria,10.5,3.1,0.3,45
S,2021-03-25,65,cantabria,10.8,1.7,0.0,45
S,2021-03-26,55,cantabria,11.2,4.4,0.5,45
S,2021-03-27,56,cantabria,10.6,3.3,0.0,45
S,2021-03-28,57,cantabria,12.8,0.3,0.0,45
S,2021-03-29,54,cantabria,20.2,4.4,0.0,45
S,2021-03-30,53,cantabria,22.3,5.0,0.0,45
S,2021-03-31,64,cantabria,22.1,2.8,0.0,45
S,2021-04-01,50,cantabria,20.0,6.1,0.0,45
S,2021-04-02,54,cantabria,14.6,5.3,0.0,45
S,2021-04-03,70,cantabria,11.3,3.9,0.0,45
S,2021-04-04,63,cantabria,10.4,3.3,0.0,45
S,2021-04-05,67,cantabria,10.7,1.9,0.0,45
S,2021-04-06,95,cantabria,9.9,3.9,0.8,45
S,2021-04-07,82,cantabria,10.4,5.6,0.0,45
S,2021-04-08,73,cantabria,14.7,2.2,0.0,45
S,2021-04-09,71,cantabria,14.1,2.2,0.1,45
S,2021-04-10,81,cantabria,15.2,3.3,26.8,45
S,2021-04-11,102,cantabria,10.6,4.7,9.4,45
S,2021-04-12,85,cantabria,9.6,3.6,0.1,45
S,2021-04-13,90,cantabria,11.0,4.7,0.0,45
S,2021-04-14,121,cantabria,10.6,2.8,0.0,45
S,2021-04-15,111,cantabria,10.0,1.9,0.0,45
S,2021-04-16,114,cantabria,10.2,2.8,0.0,45
S,2021-04-17,88,cantabria,9.4,2.8,0.0,45
S,2021-04-18,123,cantabria,10.4,2.8,0.0,45
S,2021-04-19,118,cantabria,10.6,1.9,0.0,45
S,2021-04-20,99,cantabria,12.6,1.7,0.0,45
S,2021-04-21,108,cantabria,12.4,2.2,0.0,45
S,2021-04-22,112,cantabria,17.1,3.3,0.0,45
S,2021-04-23,133,cantabria,19.8,4.7,0.0,45
S,2021-04-24,76,cantabria,20.0,4.7,0.0,45
S,2021-04-25,83,cantabria,18.6,5.3,0.2,45
S,2021-04-26,117,cantabria,14.7,1.9,9.8,45
S,2021-04-27,89,cantabria,14.3,3.9,1.6,45
S,2021-04-28,121,cantabria,12.2,2.8,1.9,45
S,2021-04-29,81,cantabria,11.4,1.1,6.8,45
S,2021-04-30,87,cantabria,11.0,1.7,1.8,45
S,2021-05-01,79,cantabria,11.4,4.2,0.3,45
S,2021-05-02,75,cantabria,11.3,2.2,0.0,45
S,2021-05-03,85,cantabria,12.2,2.8,0.0,45
S,2021-05-04,77,cantabria,13.0,4.2,3.3,45
S,2021-05-05,76,cantabria,14.0,1.4,4.8,45
S,2021-05-06,51,cantabria,16.2,3.3,0.0,45
S,2021-05-07,38,cantabria,16.2,0.8,0.0,45
S,2021-05-08,49,cantabria,19.2,2.8,0.0,45
S,2021-05-09,36,cantabria,18.6,4.2,4.6,45
S,2021-05-10,41,cantabria,15.2,4.4,3.3,45
S,2021-05-11,50,cantabria,13.2,3.3,0.2,45
S,2021-05-12,35,cantabria,16.6,5.8,2.8,45
S,2021-05-13,39,cantabria,13.6,3.6,8.3,45
S,2021-05-14,32,cantabria,13.4,3.3,0.7,45
S,2021-05-15,33,cantabria,14.8,2.2,9.9,45
S,2021-05-16,26,cantabria,14.4,5.3,0.6,45
S,2021-05-17,40,cantabria,13.7,4.4,0.0,45
S,2021-05-18,40,cantabria,14.2,3.6,2.6,45
S,2021-05-19,33,cantabria,13.8,3.1,0.2,45
S,2021-05-20,36,cantabria,14.6,1.9,0.5,45
S,2021-05-21,41,cantabria,13.0,4.7,1.8,45
S,2021-05-22,37,cantabria,12.6,3.9,2.7,45
S,2021-05-23,27,cantabria,13.2,1.9,2.7,45
S,2021-05-24,38,cantabria,14.2,7.8,0.6,45
S,2021-05-25,34,cantabria,13.4,2.5,0.0,45
S,2021-05-26,38,cantabria,13.0,1.7,0.0,45
S,2021-05-27,38,cantabria,13.8,2.5,0.0,45
S,2021-05-28,35,cantabria,15.8,2.2,0.5,45
S,2021-05-29,36,cantabria,16.5,2.8,0.0,45
S,2021-05-30,37,cantabria,16.1,1.7,0.0,45
S,2021-05-31,28,cantabria,18.6,1.7,0.5,45
S,2021-06-01,41,cantabria,20.6,4.4,0.0,45
S,2021-06-02,17,cantabria,18.2,2.2,11.8,45
S,2021-06-03,28,cantabria,14.7,3.3,19.1,45
S,2021-06-04,37,cantabria,14.0,2.5,0.3,45
S,2021-06-05,24,cantabria,14.6,3.3,0.0,45
S,2021-06-06,12,cantabria,16.4,1.9,0.0,45
S,2021-06-07,33,cantabria,16.4,1.7,0.0,45
S,2021-06-08,26,cantabria,16.9,4.2,0.0,45
S,2021-06-09,23,cantabria,17.0,2.5,0.0,45
S,2021-06-10,19,cantabria,17.2,1.7,0.0,45
S,2021-06-11,25,cantabria,17.8,2.2,0.0,45
S,2021-06-12,14,cantabria,19.0,1.9,0.0,45
S,2021-06-13,26,cantabria,21.0,2.5,0.0,45
S,2021-06-14,42,cantabria,22.4,3.1,0.8,45
S,2021-06-15,45,cantabria,21.2,1.7,6.3,45
