provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CS,2021-03-02,32,castellon,13.6,3.3,0.2,43
CS,2021-03-03,28,castellon,14.6,1.7,0.0,43
CS,2021-03-04,22,castellon,13.2,1.4,0.0,43
CS,2021-03-05,23,castellon,12.3,1.7,0.0,43
CS,2021-03-06,19,castellon,12.2,1.7,2.4,43
CS,2021-03-07,18,castellon,11.0,1.4,16.4,43
CS,2021-03-08,11,castellon,11.2,1.7,4.6,43
CS,2021-03-09,24,castellon,13.4,2.5,0.4,43
CS,2021-03-10,12,castellon,11.6,2.2,0.0,43
CS,2021-03-11,19,castellon,13.8,1.7,0.0,43
CS,2021-03-12,19,castellon,16.4,1.9,0.0,43
CS,2021-03-13,14,castellon,13.8,2.8,0.0,43
CS,2021-03-14,12,castellon,15.4,2.5,0.0,43
CS,2021-03-15,16,castellon,12.4,3.1,0.0,43
CS,2021-03-16,17,castellon,14.0,3.1,0.0,43
CS,2021-03-17,18,castellon,15.6,2.8,0.0,43
CS,2021-03-18,18,castellon,10.6,1.7,13.8,43
CS,2021-03-19,10,castellon,9.0,1.4,4.0,43
CS,2021-03-20,9,castellon,10.2,2.8,0.0,43
CS,2021-03-21,10,castellon,11.6,2.5,0.0,43
CS,2021-03-22,11,castellon,13.8,2.8,0.0,43
CS,2021-03-23,16,castellon,12.4,2.2,0.0,43
CS,2021-03-24,14,castellon,13.2,2.5,0.0,43
CS,2021-03-25,18,castellon,13.0,1.7,0.0,43
CS,2021-03-26,17,castellon,13.2,1.4,0.0,43
CS,2021-03-27,11,castellon,13.2,2.8,0.0,43
CS,2021-03-28,6,castellon,13.4,1.9,0.0,43
CS,2021-03-29,17,castellon,14.6,2.5,0.0,43
CS,2021-03-30,23,castellon,15.0,1.7,0.0,43
CS,2021-03-31,24,castellon,13.8,1.1,0.0,43
CS,2021-04-01,27,castellon,14.7,1.7,0.0,43
CS,2021-04-02,25,castellon,15.2,2.5,3.0,43
CS,2021-04-03,20,castellon,17.4,2.5,0.0,43
CS,2021-04-04,25,castellon,14.6,1.9,0.0,43
CS,2021-04-05,14,castellon,14.8,2.5,0.0,43
CS,2021-04-06,26,castellon,17.0,2.2,0.0,43
CS,2021-04-07,23,castellon,12.0,1.4,0.0,43
CS,2021-04-08,22,castellon,11.0,1.4,0.0,43
CS,2021-04-09,30,castellon,10.2,1.7,3.2,43
CS,2021-04-10,20,castellon,13.8,1.1,2.2,43
CS,2021-04-11,20,castellon,15.5,1.9,2.8,43
CS,2021-04-12,38,castellon,13.8,2.2,0.0,43
CS,2021-04-13,26,castellon,14.6,2.2,0.0,43
CS,2021-04-14,33,castellon,15.4,1.7,0.0,43
CS,2021-04-15,37,castellon,11.9,1.9,0.4,43
CS,2021-04-16,34,castellon,12.7,2.5,0.0,43
CS,2021-04-17,37,castellon,11.0,2.8,0.0,43
CS,2021-04-18,44,castellon,12.4,2.8,0.0,43
CS,2021-04-19,27,castellon,14.0,2.8,0.0,43
CS,2021-04-20,51,castellon,15.4,2.2,4.4,43
CS,2021-04-21,36,castellon,15.9,2.2,19.2,43
CS,2021-04-22,30,castellon,13.6,2.2,26.8,43
CS,2021-04-23,37,castellon,14.1,2.2,0.0,43
CS,2021-04-24,34,castellon,15.0,1.7,0.4,43
CS,2021-04-25,25,castellon,16.0,2.2,19.0,43
CS,2021-04-26,26,castellon,15.7,1.4,2.0,43
CS,2021-04-27,19,castellon,16.4,1.1,3.2,43
CS,2021-04-28,39,castellon,17.2,1.7,10.6,43
CS,2021-04-29,24,castellon,17.2,1.4,0.0,43
CS,2021-04-30,32,castellon,17.7,2.2,0.0,43
CS,2021-05-01,31,castellon,16.8,1.1,0.4,43
CS,2021-05-02,17,castellon,15.6,2.5,0.2,43
CS,2021-05-03,22,castellon,15.0,1.9,0.4,43
CS,2021-05-04,19,castellon,16.5,1.9,0.0,43
CS,2021-05-05,22,castellon,18.0,1.7,0.0,43
CS,2021-05-06,22,castellon,17.7,2.2,0.0,43
CS,2021-05-07,18,castellon,20.4,2.2,0.0,43
CS,2021-05-08,21,castellon,18.8,2.2,0.0,43
CS,2021-05-09,17,castellon,18.2,1.9,10.2,43
CS,2021-05-10,19,castellon,19.4,3.6,0.0,43
CS,2021-05-11,24,castellon,18.8,2.8,0.0,43
CS,2021-05-12,14,castellon,20.5,3.1,0.0,43
CS,2021-05-13,21,castellon,19.0,2.2,0.0,43
CS,2021-05-14,15,castellon,19.8,3.6,0.0,43
CS,2021-05-15,15,castellon,20.2,1.1,0.0,43
CS,2021-05-16,16,castellon,26.6,3.3,0.0,43
CS,2021-05-17,28,castellon,18.6,2.5,0.0,43
CS,2021-05-18,19,castellon,19.4,2.2,0.0,43
CS,2021-05-19,38,castellon,19.4,1.7,0.0,43
CS,2021-05-20,25,castellon,18.8,2.5,0.0,43
CS,2021-05-21,12,castellon,19.0,2.2,0.0,43
CS,2021-05-22,20,castellon,19.1,1.9,1.0,43
CS,2021-05-23,25,castellon,15.7,1.7,13.4,43
CS,2021-05-24,29,castellon,19.7,2.8,0.0,43
CS,2021-05-25,23,castellon,19.4,2.8,0.0,43
CS,2021-05-26,29,castellon,19.6,1.9,0.2,43
CS,2021-05-27,40,castellon,19.5,1.9,0.0,43
CS,2021-05-28,26,castellon,20.9,1.9,0.0,43
CS,2021-05-29,16,castellon,21.6,2.5,0.0,43
CS,2021-05-30,24,castellon,23.0,1.9,0.0,43
CS,2021-05-31,24,castellon,21.3,1.9,0.0,43
CS,2021-06-01,28,castellon,20.6,1.7,1.4,43
CS,2021-06-02,13,castellon,22.0,1.9,0.0,43
CS,2021-06-03,23,castellon,21.4,2.2,0.0,43
CS,2021-06-04,26,castellon,21.6,1.9,0.0,43
CS,2021-06-05,21,castellon,20.9,1.9,0.0,43
CS,2021-06-06,12,castellon,21.0,2.2,0.0,43
CS,2021-06-07,11,castellon,22.0,1.9,0.0,43
CS,2021-06-08,17,castellon,23.0,2.5,0.0,43
CS,2021-06-09,20,castellon,22.6,2.2,0.0,43
CS,2021-06-10,13,castellon,23.3,2.2,0.0,43
CS,2021-06-11,13,castellon,24.4,2.2,0.0,43
CS,2021-06-12,9,castellon,25.0,2.2,0.0,43
CS,2021-06-13,10,castellon,25.8,1.9,0.0,43
CS,2021-06-14,15,castellon,26.7,2.8,0.0,43
CS,2021-06-15,10,castellon,27.9,2.8,0.0,43
