provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CR,2021-03-02,20,ciudadReal,11.3,3.1,0.0,628
CR,2021-03-03,15,ciudadReal,11.6,1.9,0.0,628
CR,2021-03-04,18,ciudadReal,10.4,2.2,0.0,628
CR,2021-03-05,32,ciudadReal,9.1,1.9,0.0,628
CR,2021-03-06,25,ciudadReal,11.0,2.5,3.0,628
CR,2021-03-07,19,ciudadReal,9.2,0.8,5.6,628
CR,2021-03-08,13,ciudadReal,8.6,1.9,0.6,628
CR,2021-03-09,14,ciudadReal,8.8,1.4,0.0,628
CR,2021-03-10,32,ciudadReal,9.0,1.1,0.0,628
CR,2021-03-11,21,ciudadReal,12.2,1.7,0.0,628
CR,2021-03-12,9,ciudadReal,11.4,1.4,0.0,628
CR,2021-03-13,16,ciudadReal,10.6,1.9,0.0,628
CR,2021-03-14,13,ciudadReal,10.4,1.7,0.0,628
CR,2021-03-15,23,ciudadReal,10.8,1.7,0.0,628
CR,2021-03-16,26,ciudadReal,11.0,2.2,0.0,628
CR,2021-03-17,20,ciudadReal,12.2,2.5,0.0,628
CR,2021-03-18,28,ciudadReal,9.4,3.6,0.0,628
CR,2021-03-19,21,ciudadReal,7.2,2.5,0.6,628
CR,2021-03-20,25,ciudadReal,7.2,3.6,0.0,628
CR,2021-03-21,31,ciudadReal,7.2,1.4,0.0,628
CR,2021-03-22,21,ciudadReal,8.8,1.7,0.0,628
CR,2021-03-23,38,ciudadReal,11.3,2.2,0.0,628
CR,2021-03-24,24,ciudadReal,12.6,1.7,0.0,628
CR,2021-03-25,25,ciudadReal,13.7,1.7,0.0,628
CR,2021-03-26,47,ciudadReal,14.6,2.5,0.0,628
CR,2021-03-27,40,ciudadReal,14.2,2.8,0.0,628
CR,2021-03-28,38,ciudadReal,15.0,3.9,0.0,628
CR,2021-03-29,43,ciudadReal,16.6,3.1,0.0,628
CR,2021-03-30,73,ciudadReal,16.2,4.4,0.0,628
CR,2021-03-31,63,ciudadReal,17.1,3.1,0.0,628
CR,2021-04-01,34,ciudadReal,16.6,3.6,0.6,628
CR,2021-04-02,42,ciudadReal,15.6,2.8,3.0,628
CR,2021-04-03,49,ciudadReal,14.1,1.1,13.2,628
CR,2021-04-04,55,ciudadReal,13.4,0.6,0.0,628
CR,2021-04-05,83,ciudadReal,14.8,1.7,0.0,628
CR,2021-04-06,51,ciudadReal,16.4,2.2,0.0,628
CR,2021-04-07,82,ciudadReal,15.8,2.5,0.0,628
CR,2021-04-08,64,ciudadReal,15.0,1.9,0.0,628
CR,2021-04-09,69,ciudadReal,14.8,1.1,0.0,628
CR,2021-04-10,65,ciudadReal,14.3,1.4,7.6,628
CR,2021-04-11,60,ciudadReal,14.8,2.5,0.6,628
CR,2021-04-12,107,ciudadReal,13.0,2.5,0.0,628
CR,2021-04-13,107,ciudadReal,15.8,2.2,0.0,628
CR,2021-04-14,91,ciudadReal,15.7,3.1,13.8,628
CR,2021-04-15,91,ciudadReal,11.6,3.3,0.0,628
CR,2021-04-16,106,ciudadReal,12.6,1.7,0.0,628
CR,2021-04-17,53,ciudadReal,11.0,2.2,0.0,628
CR,2021-04-18,67,ciudadReal,11.8,1.1,0.0,628
CR,2021-04-19,106,ciudadReal,14.4,1.7,0.0,628
CR,2021-04-20,90,ciudadReal,14.9,2.2,0.0,628
CR,2021-04-21,66,ciudadReal,13.7,2.5,6.2,628
CR,2021-04-22,64,ciudadReal,14.8,1.9,0.8,628
CR,2021-04-23,98,ciudadReal,14.3,2.8,0.0,628
CR,2021-04-24,47,ciudadReal,13.4,2.8,2.8,628
CR,2021-04-25,34,ciudadReal,11.4,1.9,11.2,628
CR,2021-04-26,80,ciudadReal,15.2,1.7,0.0,628
CR,2021-04-27,86,ciudadReal,14.4,1.4,3.2,628
CR,2021-04-28,69,ciudadReal,14.8,2.2,2.2,628
