provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CO,2021-03-02,71,cordoba,14.6,1.4,0.0,90
CO,2021-03-03,100,cordoba,14.6,2.2,0.0,90
CO,2021-03-04,81,cordoba,13.3,2.2,0.0,90
CO,2021-03-05,82,cordoba,14.0,3.1,1.1,90
CO,2021-03-06,93,cordoba,14.4,3.3,7.1,90
CO,2021-03-07,64,cordoba,13.4,0.8,2.6,90
CO,2021-03-08,95,cordoba,12.5,1.7,0.7,90
CO,2021-03-09,92,cordoba,12.5,1.4,0.0,90
CO,2021-03-10,65,cordoba,12.0,1.7,0.0,90
CO,2021-03-11,49,cordoba,12.8,1.9,0.0,90
CO,2021-03-12,72,cordoba,13.3,2.2,0.0,90
CO,2021-03-13,60,cordoba,12.6,1.9,0.0,90
CO,2021-03-14,47,cordoba,12.7,2.8,0.0,90
CO,2021-03-15,73,cordoba,15.4,1.7,0.0,90
CO,2021-03-16,76,cordoba,14.8,1.4,0.0,90
CO,2021-03-17,106,cordoba,14.4,2.2,0.0,90
CO,2021-03-18,108,cordoba,12.4,3.9,0.0,90
CO,2021-03-19,91,cordoba,10.8,1.9,0.0,90
CO,2021-03-20,103,cordoba,10.7,5.0,0.0,90
CO,2021-03-21,61,cordoba,9.5,1.7,0.0,90
CO,2021-03-22,131,cordoba,11.3,0.6,0.0,90
CO,2021-03-23,153,cordoba,12.9,1.9,0.0,90
CO,2021-03-24,125,cordoba,14.7,1.7,0.0,90
CO,2021-03-25,169,cordoba,14.7,1.9,0.0,90
CO,2021-03-26,182,cordoba,14.2,1.7,0.0,90
CO,2021-03-27,128,cordoba,17.4,2.2,0.0,90
CO,2021-03-28,87,cordoba,18.0,2.2,0.0,90
CO,2021-03-29,134,cordoba,18.3,1.9,0.0,90
CO,2021-03-30,97,cordoba,20.5,2.5,0.0,90
CO,2021-03-31,147,cordoba,22.7,4.4,0.0,90
CO,2021-04-01,155,cordoba,17.9,3.6,0.0,90
CO,2021-04-02,100,cordoba,18.0,3.3,0.0,90
CO,2021-04-03,160,cordoba,16.6,1.7,0.3,90
CO,2021-04-04,126,cordoba,17.2,1.7,0.0,90
CO,2021-04-05,164,cordoba,19.7,2.2,0.0,90
CO,2021-04-06,180,cordoba,18.6,1.4,0.0,90
CO,2021-04-07,143,cordoba,18.6,3.6,0.0,90
CO,2021-04-08,139,cordoba,18.9,2.2,0.0,90
CO,2021-04-09,197,cordoba,17.7,1.4,0.0,90
CO,2021-04-10,163,cordoba,19.2,2.2,5.5,90
CO,2021-04-11,93,cordoba,18.4,4.7,4.7,90
CO,2021-04-12,121,cordoba,19.4,2.8,0.0,90
CO,2021-04-13,159,cordoba,19.0,2.2,0.0,90
CO,2021-04-14,136,cordoba,18.0,2.5,2.1,90
CO,2021-04-15,126,cordoba,15.0,2.2,2.1,90
CO,2021-04-16,99,cordoba,17.0,3.1,2.0,90
CO,2021-04-17,94,cordoba,17.4,1.9,0.0,90
CO,2021-04-18,84,cordoba,15.2,2.5,0.0,90
CO,2021-04-19,114,cordoba,17.0,3.3,1.5,90
CO,2021-04-20,134,cordoba,16.4,2.8,0.0,90
CO,2021-04-21,106,cordoba,17.0,2.5,8.7,90
CO,2021-04-22,123,cordoba,19.0,1.7,0.0,90
CO,2021-04-23,149,cordoba,18.9,3.1,0.0,90
CO,2021-04-24,108,cordoba,15.5,2.2,1.1,90
CO,2021-04-25,66,cordoba,16.3,2.2,8.2,90
CO,2021-04-26,79,cordoba,17.0,1.9,11.9,90
CO,2021-04-27,119,cordoba,18.0,1.9,9.3,90
CO,2021-04-28,107,cordoba,18.6,4.4,1.6,90
CO,2021-04-29,76,cordoba,15.8,3.6,0.0,90
CO,2021-04-30,138,cordoba,15.5,2.5,0.0,90
CO,2021-05-01,73,cordoba,14.6,3.9,0.0,90
CO,2021-05-02,54,cordoba,15.6,1.9,0.0,90
CO,2021-05-03,68,cordoba,16.4,1.1,0.0,90
CO,2021-05-04,86,cordoba,18.8,2.2,0.0,90
CO,2021-05-05,106,cordoba,19.9,1.1,0.0,90
CO,2021-05-06,90,cordoba,20.7,2.8,0.0,90
CO,2021-05-07,78,cordoba,20.7,1.4,0.0,90
CO,2021-05-08,63,cordoba,22.1,3.1,0.0,90
CO,2021-05-09,49,cordoba,18.2,5.0,2.6,90
CO,2021-05-10,94,cordoba,15.6,3.6,3.8,90
CO,2021-05-11,91,cordoba,15.3,3.1,0.0,90
CO,2021-05-12,67,cordoba,17.3,3.1,0.0,90
CO,2021-05-13,92,cordoba,18.8,3.3,0.0,90
CO,2021-05-14,69,cordoba,20.4,2.2,0.0,90
CO,2021-05-15,66,cordoba,21.6,2.2,0.0,90
CO,2021-05-16,52,cordoba,23.4,2.5,0.0,90
CO,2021-05-17,81,cordoba,23.3,2.5,0.0,90
CO,2021-05-18,75,cordoba,22.4,3.9,0.0,90
CO,2021-05-19,76,cordoba,24.2,2.5,0.0,90
CO,2021-05-20,102,cordoba,24.0,2.2,0.0,90
CO,2021-05-21,79,cordoba,24.9,3.1,0.0,90
CO,2021-05-22,70,cordoba,21.7,3.6,0.9,90
CO,2021-05-23,66,cordoba,20.6,4.2,0.2,90
CO,2021-05-24,77,cordoba,19.4,2.2,0.0,90
CO,2021-05-25,92,cordoba,22.2,2.8,0.0,90
CO,2021-05-26,115,cordoba,23.2,2.2,0.0,90
CO,2021-05-27,91,cordoba,21.2,2.5,1.1,90
CO,2021-05-28,126,cordoba,24.0,1.9,0.0,90
CO,2021-05-29,106,cordoba,25.4,1.7,0.0,90
CO,2021-05-30,102,cordoba,25.8,2.8,0.0,90
CO,2021-05-31,124,cordoba,26.8,3.9,0.0,90
CO,2021-06-01,144,cordoba,21.6,4.4,0.0,90
CO,2021-06-02,162,cordoba,22.0,2.2,0.0,90
CO,2021-06-03,131,cordoba,23.1,3.3,0.0,90
CO,2021-06-04,136,cordoba,24.1,2.2,0.0,90
CO,2021-06-05,110,cordoba,23.8,4.4,5.4,90
CO,2021-06-06,112,cordoba,24.2,3.1,0.0,90
CO,2021-06-07,138,cordoba,26.1,1.7,0.0,90
CO,2021-06-08,145,cordoba,27.5,2.5,0.0,90
CO,2021-06-09,143,cordoba,28.3,2.8,0.0,90
CO,2021-06-10,141,cordoba,27.6,3.1,0.0,90
CO,2021-06-11,152,cordoba,27.6,3.3,0.0,90
CO,2021-06-12,142,cordoba,26.7,3.3,5.0,90
CO,2021-06-13,129,cordoba,27.2,3.1,0.0,90
CO,2021-06-14,191,cordoba,27.7,2.5,0.0,90
CO,2021-06-15,180,cordoba,26.4,2.8,0.0,90
