provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2021-03-02,85,coruña,12.2,2.2,1.0,58
C,2021-03-03,99,coruña,12.8,1.1,0.0,58
C,2021-03-04,88,coruña,14.4,1.7,0.0,58
C,2021-03-05,93,coruña,13.4,5.6,0.0,58
C,2021-03-06,71,coruña,11.6,6.1,0.0,58
C,2021-03-07,57,coruña,10.1,4.4,0.0,58
C,2021-03-08,92,coruña,10.1,5.3,0.0,58
C,2021-03-09,70,coruña,10.2,4.4,0.0,58
C,2021-03-10,86,coruña,11.7,2.8,0.6,58
C,2021-03-11,80,coruña,12.7,5.3,8.6,58
C,2021-03-12,80,coruña,11.8,4.4,1.6,58
C,2021-03-13,71,coruña,12.6,6.1,0.6,58
C,2021-03-14,67,coruña,12.2,3.3,0.0,58
C,2021-03-15,89,coruña,10.7,2.5,0.0,58
C,2021-03-16,75,coruña,14.1,5.0,0.0,58
C,2021-03-17,86,coruña,14.4,6.1,0.0,58
C,2021-03-18,60,coruña,11.7,5.6,0.0,58
C,2021-03-19,70,coruña,11.0,5.6,0.0,58
C,2021-03-20,47,coruña,10.4,8.1,0.0,58
C,2021-03-21,38,coruña,11.0,5.0,0.0,58
C,2021-03-22,79,coruña,12.0,1.7,0.0,58
C,2021-03-23,77,coruña,12.2,3.9,0.0,58
C,2021-03-24,55,coruña,13.3,2.5,0.0,58
C,2021-03-25,56,coruña,11.4,2.2,0.0,58
C,2021-03-26,45,coruña,12.4,3.3,0.4,58
C,2021-03-27,67,coruña,10.4,1.9,0.0,58
C,2021-03-28,49,coruña,13.5,3.1,0.0,58
C,2021-03-29,60,coruña,18.3,2.5,0.0,58
C,2021-03-30,56,coruña,17.0,0.8,0.0,58
C,2021-03-31,78,coruña,21.1,1.1,0.0,58
C,2021-04-01,63,coruña,19.1,2.8,12.2,58
C,2021-04-02,48,coruña,15.2,3.1,0.0,58
C,2021-04-03,48,coruña,13.8,6.7,0.0,58
C,2021-04-04,54,coruña,13.7,2.8,0.0,58
C,2021-04-05,82,coruña,12.4,3.6,0.0,58
C,2021-04-06,57,coruña,11.7,6.9,0.0,58
C,2021-04-07,70,coruña,12.6,5.6,0.0,58
C,2021-04-08,71,coruña,13.6,2.2,0.0,58
C,2021-04-09,88,coruña,15.4,2.8,1.4,58
C,2021-04-10,79,coruña,13.6,3.3,0.5,58
C,2021-04-11,55,coruña,10.9,6.4,0.0,58
C,2021-04-12,76,coruña,13.6,2.5,0.0,58
C,2021-04-13,73,coruña,15.4,1.4,0.0,58
C,2021-04-14,84,coruña,14.6,4.4,0.0,58
C,2021-04-15,76,coruña,13.9,5.8,0.0,58
C,2021-04-16,67,coruña,12.8,5.3,0.0,58
C,2021-04-17,67,coruña,12.0,3.6,0.0,58
C,2021-04-18,50,coruña,13.6,1.9,0.0,58
C,2021-04-19,57,coruña,15.0,2.5,3.4,58
C,2021-04-20,83,coruña,14.3,2.8,0.6,58
