provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2021-03-02,3,cuenca,9.6,1.9,0.0,948
CU,2021-03-03,4,cuenca,11.2,1.4,0.0,948
CU,2021-03-04,2,cuenca,10.4,1.1,0.0,948
CU,2021-03-05,2,cuenca,10.8,1.4,0.0,948
CU,2021-03-06,2,cuenca,8.0,1.7,0.0,948
CU,2021-03-07,3,cuenca,8.5,1.7,0.0,948
CU,2021-03-08,3,cuenca,7.3,0.8,3.8,948
CU,2021-03-09,6,cuenca,7.8,1.7,0.0,948
CU,2021-03-10,2,cuenca,7.3,2.2,0.0,948
CU,2021-03-11,4,cuenca,9.9,1.7,0.0,948
CU,2021-03-12,3,cuenca,9.2,1.9,0.0,948
CU,2021-03-13,9,cuenca,8.1,1.7,0.0,948
CU,2021-03-14,4,cuenca,8.2,1.4,0.0,948
CU,2021-03-15,6,cuenca,9.5,1.9,0.0,948
CU,2021-03-16,8,cuenca,10.6,1.4,0.0,948
CU,2021-03-17,4,cuenca,11.2,1.7,0.0,948
CU,2021-03-18,4,cuenca,7.0,1.7,0.0,948
CU,2021-03-19,19,cuenca,5.7,1.7,2.0,948
CU,2021-03-20,12,cuenca,6.2,1.7,0.0,948
CU,2021-03-21,13,cuenca,7.2,2.2,0.0,948
CU,2021-03-22,12,cuenca,8.6,1.9,0.0,948
CU,2021-03-23,12,cuenca,9.2,1.4,0.0,948
CU,2021-03-24,16,cuenca,10.9,1.7,0.0,948
CU,2021-03-25,15,cuenca,11.8,1.4,0.0,948
CU,2021-03-26,16,cuenca,12.0,2.2,0.0,948
CU,2021-03-27,18,cuenca,10.0,2.5,0.0,948
CU,2021-03-28,17,cuenca,12.0,2.5,0.0,948
CU,2021-03-29,15,cuenca,14.0,3.3,0.0,948
CU,2021-03-30,18,cuenca,14.4,3.3,0.0,948
CU,2021-03-31,31,cuenca,13.6,3.3,0.0,948
CU,2021-04-01,14,cuenca,16.4,4.4,0.0,948
CU,2021-04-02,20,cuenca,11.6,1.9,1.0,948
CU,2021-04-03,25,cuenca,12.2,1.4,0.4,948
CU,2021-04-04,30,cuenca,11.2,1.7,1.8,948
CU,2021-04-05,39,cuenca,13.1,1.4,0.0,948
CU,2021-04-06,29,cuenca,13.4,1.4,0.0,948
CU,2021-04-07,41,cuenca,10.8,2.8,0.0,948
CU,2021-04-08,40,cuenca,12.6,2.8,0.6,948
CU,2021-04-09,37,cuenca,9.1,2.2,0.2,948
CU,2021-04-10,29,cuenca,10.0,1.4,8.8,948
CU,2021-04-11,29,cuenca,10.7,1.9,14.2,948
CU,2021-04-12,30,cuenca,9.7,1.9,0.0,948
CU,2021-04-13,30,cuenca,12.3,1.1,0.0,948
CU,2021-04-14,37,cuenca,12.9,2.5,0.0,948
CU,2021-04-15,16,cuenca,10.5,2.5,1.2,948
CU,2021-04-16,39,cuenca,9.6,1.7,1.0,948
CU,2021-04-17,15,cuenca,7.1,1.7,0.0,948
CU,2021-04-18,16,cuenca,9.0,1.9,0.0,948
CU,2021-04-19,40,cuenca,11.7,1.1,0.0,948
CU,2021-04-20,48,cuenca,13.0,1.4,2.4,948
CU,2021-04-21,12,cuenca,12.4,1.9,13.0,948
CU,2021-04-22,22,cuenca,11.0,2.8,3.4,948
CU,2021-04-23,22,cuenca,10.0,2.8,0.0,948
CU,2021-04-24,21,cuenca,10.0,3.3,13.6,948
CU,2021-04-25,25,cuenca,11.9,2.5,2.6,948
CU,2021-04-26,25,cuenca,13.4,1.1,5.6,948
CU,2021-04-27,33,cuenca,13.8,1.4,0.6,948
CU,2021-04-28,20,cuenca,12.6,1.1,2.0,948
CU,2021-04-29,20,cuenca,13.0,2.8,0.6,948
CU,2021-04-30,22,cuenca,11.6,1.9,0.0,948
CU,2021-05-01,12,cuenca,10.2,2.2,0.0,948
CU,2021-05-02,13,cuenca,11.8,1.1,0.0,948
CU,2021-05-03,26,cuenca,11.8,3.6,2.4,948
CU,2021-05-04,22,cuenca,13.8,1.9,0.0,948
CU,2021-05-05,31,cuenca,15.2,1.4,0.0,948
CU,2021-05-06,23,cuenca,16.4,2.2,0.0,948
CU,2021-05-07,10,cuenca,17.6,1.9,0.0,948
CU,2021-05-08,16,cuenca,18.4,2.5,0.8,948
CU,2021-05-09,9,cuenca,15.2,3.6,4.4,948
CU,2021-05-10,15,cuenca,11.6,1.9,0.0,948
CU,2021-05-11,22,cuenca,11.0,2.5,0.0,948
CU,2021-05-12,15,cuenca,12.3,2.5,0.0,948
CU,2021-05-13,16,cuenca,12.8,2.8,0.0,948
CU,2021-05-14,14,cuenca,15.6,2.5,0.0,948
CU,2021-05-15,12,cuenca,16.6,2.5,0.0,948
CU,2021-05-16,11,cuenca,18.9,2.8,0.0,948
CU,2021-05-17,25,cuenca,19.0,1.7,0.0,948
CU,2021-05-18,12,cuenca,19.1,3.1,0.0,948
CU,2021-05-19,13,cuenca,18.2,1.7,0.0,948
CU,2021-05-20,6,cuenca,18.6,1.7,0.0,948
CU,2021-05-21,11,cuenca,20.9,3.6,0.0,948
CU,2021-05-22,8,cuenca,17.7,2.2,0.0,948
CU,2021-05-23,7,cuenca,11.6,1.9,31.6,948
CU,2021-05-24,13,cuenca,12.6,1.4,0.0,948
CU,2021-05-25,8,cuenca,16.6,1.9,0.0,948
CU,2021-05-26,11,cuenca,18.0,2.2,0.0,948
CU,2021-05-27,10,cuenca,18.6,1.9,0.0,948
CU,2021-05-28,16,cuenca,20.2,1.7,0.0,948
CU,2021-05-29,12,cuenca,20.8,0.8,0.0,948
CU,2021-05-30,14,cuenca,22.8,1.9,0.0,948
CU,2021-05-31,8,cuenca,22.2,2.5,0.0,948
CU,2021-06-01,11,cuenca,17.8,2.8,3.4,948
CU,2021-06-02,13,cuenca,18.9,1.7,0.0,948
CU,2021-06-03,9,cuenca,19.9,3.1,0.0,948
CU,2021-06-04,12,cuenca,21.0,1.9,0.0,948
CU,2021-06-05,5,cuenca,16.2,1.4,11.4,948
CU,2021-06-06,17,cuenca,19.6,1.9,0.2,948
CU,2021-06-07,3,cuenca,22.0,1.4,0.0,948
CU,2021-06-08,6,cuenca,23.2,1.1,0.0,948
CU,2021-06-09,8,cuenca,24.3,1.7,0.0,948
CU,2021-06-10,6,cuenca,24.8,1.7,0.0,948
CU,2021-06-11,5,cuenca,22.8,3.9,0.2,948
CU,2021-06-12,3,cuenca,22.6,3.9,0.0,948
CU,2021-06-13,2,cuenca,24.2,3.3,0.0,948
CU,2021-06-14,2,cuenca,24.6,1.4,0.0,948
CU,2021-06-15,1,cuenca,24.2,2.8,0.0,948
