provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SS,2021-03-02,100,gipuzkoa,14.2,13.6,0.0,251
SS,2021-03-03,70,gipuzkoa,13.8,3.6,0.0,251
SS,2021-03-04,58,gipuzkoa,12.8,3.3,0.0,251
SS,2021-03-05,91,gipuzkoa,9.9,3.3,0.0,251
SS,2021-03-06,98,gipuzkoa,7.8,1.7,1.9,251
SS,2021-03-07,84,gipuzkoa,7.6,1.9,0.0,251
SS,2021-03-08,113,gipuzkoa,9.0,2.5,0.0,251
SS,2021-03-09,90,gipuzkoa,7.5,2.8,0.0,251
SS,2021-03-10,95,gipuzkoa,8.9,1.7,0.0,251
SS,2021-03-11,81,gipuzkoa,14.0,4.4,2.9,251
SS,2021-03-12,104,gipuzkoa,9.4,3.9,1.3,251
SS,2021-03-13,88,gipuzkoa,10.0,6.1,5.3,251
SS,2021-03-14,108,gipuzkoa,9.1,7.2,1.8,251
SS,2021-03-15,120,gipuzkoa,9.3,4.7,0.0,251
SS,2021-03-16,105,gipuzkoa,10.6,2.8,1.2,251
SS,2021-03-17,90,gipuzkoa,10.4,5.8,2.6,251
SS,2021-03-18,112,gipuzkoa,7.9,5.0,12.2,251
SS,2021-03-19,114,gipuzkoa,7.1,5.8,8.6,251
SS,2021-03-20,115,gipuzkoa,5.4,5.6,0.0,251
SS,2021-03-21,111,gipuzkoa,8.5,5.0,0.8,251
SS,2021-03-22,172,gipuzkoa,8.8,2.2,0.0,251
SS,2021-03-23,174,gipuzkoa,9.0,1.9,0.0,251
SS,2021-03-24,176,gipuzkoa,9.9,3.1,0.0,251
SS,2021-03-25,116,gipuzkoa,10.4,2.2,0.0,251
SS,2021-03-26,135,gipuzkoa,9.9,3.3,0.0,251
SS,2021-03-27,194,gipuzkoa,9.9,2.5,0.0,251
SS,2021-03-28,170,gipuzkoa,14.2,3.6,0.0,251
SS,2021-03-29,166,gipuzkoa,20.8,8.6,0.0,251
SS,2021-03-30,192,gipuzkoa,21.4,7.5,0.0,251
SS,2021-03-31,188,gipuzkoa,22.3,6.7,0.0,251
SS,2021-04-01,235,gipuzkoa,22.0,9.7,0.0,251
SS,2021-04-02,231,gipuzkoa,14.8,4.2,0.0,251
SS,2021-04-03,304,gipuzkoa,10.1,5.0,0.0,251
SS,2021-04-04,322,gipuzkoa,9.0,3.1,0.0,251
SS,2021-04-05,336,gipuzkoa,9.8,3.6,0.0,251
SS,2021-04-06,341,gipuzkoa,8.2,5.3,0.2,251
SS,2021-04-07,299,gipuzkoa,7.4,3.9,0.0,251
SS,2021-04-08,276,gipuzkoa,13.2,6.9,0.0,251
SS,2021-04-09,324,gipuzkoa,14.2,10.6,0.0,251
SS,2021-04-10,416,gipuzkoa,15.6,6.4,23.5,251
SS,2021-04-11,390,gipuzkoa,9.0,5.8,6.1,251
SS,2021-04-12,389,gipuzkoa,8.2,3.3,0.0,251
SS,2021-04-13,371,gipuzkoa,9.0,3.6,0.0,251
SS,2021-04-14,341,gipuzkoa,9.9,1.9,0.0,251
SS,2021-04-15,317,gipuzkoa,7.8,3.1,0.0,251
SS,2021-04-16,377,gipuzkoa,7.4,4.2,0.0,251
SS,2021-04-17,417,gipuzkoa,7.5,2.8,0.0,251
SS,2021-04-18,432,gipuzkoa,9.8,2.5,0.0,251
SS,2021-04-19,448,gipuzkoa,10.1,2.2,0.2,251
SS,2021-04-20,362,gipuzkoa,11.6,2.5,0.0,251
SS,2021-04-21,294,gipuzkoa,11.2,1.9,0.0,251
SS,2021-04-22,363,gipuzkoa,16.3,2.8,0.0,251
SS,2021-04-23,344,gipuzkoa,18.5,9.7,0.0,251
SS,2021-04-24,341,gipuzkoa,19.8,10.0,0.0,251
SS,2021-04-25,379,gipuzkoa,18.6,5.0,1.7,251
SS,2021-04-26,359,gipuzkoa,14.8,1.4,14.5,251
SS,2021-04-27,286,gipuzkoa,12.0,3.1,0.8,251
SS,2021-04-28,211,gipuzkoa,11.4,2.8,7.6,251
SS,2021-04-29,200,gipuzkoa,9.2,2.2,7.3,251
SS,2021-04-30,256,gipuzkoa,9.1,2.2,3.8,251
SS,2021-05-01,247,gipuzkoa,10.0,4.7,8.4,251
SS,2021-05-02,233,gipuzkoa,10.0,2.8,0.0,251
SS,2021-05-03,226,gipuzkoa,10.8,2.2,0.0,251
SS,2021-05-04,236,gipuzkoa,12.6,2.8,2.3,251
SS,2021-05-05,167,gipuzkoa,13.5,1.7,5.7,251
SS,2021-05-06,147,gipuzkoa,15.2,2.2,0.0,251
SS,2021-05-07,165,gipuzkoa,15.4,3.1,0.0,251
SS,2021-05-08,151,gipuzkoa,21.4,8.3,0.0,251
SS,2021-05-09,153,gipuzkoa,15.9,9.2,9.0,251
SS,2021-05-10,105,gipuzkoa,14.4,4.2,7.7,251
SS,2021-05-11,150,gipuzkoa,11.2,4.4,0.3,251
SS,2021-05-12,88,gipuzkoa,14.8,8.3,0.5,251
SS,2021-05-13,101,gipuzkoa,13.2,3.9,18.3,251
SS,2021-05-14,82,gipuzkoa,11.7,3.1,1.7,251
SS,2021-05-15,108,gipuzkoa,14.2,2.2,4.6,251
SS,2021-05-16,100,gipuzkoa,13.4,5.3,1.2,251
SS,2021-05-17,136,gipuzkoa,12.0,4.7,0.8,251
SS,2021-05-18,99,gipuzkoa,14.1,2.8,5.9,251
SS,2021-05-19,88,gipuzkoa,12.5,3.6,0.0,251
SS,2021-05-20,89,gipuzkoa,14.6,3.3,0.0,251
SS,2021-05-21,94,gipuzkoa,11.2,2.5,11.0,251
SS,2021-05-22,118,gipuzkoa,11.1,1.9,0.0,251
SS,2021-05-23,101,gipuzkoa,11.8,2.5,0.0,251
SS,2021-05-24,141,gipuzkoa,12.2,6.7,6.5,251
SS,2021-05-25,120,gipuzkoa,12.1,2.8,0.0,251
SS,2021-05-26,93,gipuzkoa,11.4,3.1,0.0,251
SS,2021-05-27,86,gipuzkoa,13.4,1.9,0.0,251
SS,2021-05-28,127,gipuzkoa,16.1,1.7,0.0,251
SS,2021-05-29,105,gipuzkoa,15.8,2.5,0.0,251
SS,2021-05-30,100,gipuzkoa,16.0,1.9,0.1,251
SS,2021-05-31,124,gipuzkoa,19.2,2.2,4.2,251
SS,2021-06-01,89,gipuzkoa,18.3,8.9,0.0,251
SS,2021-06-02,67,gipuzkoa,17.0,3.1,0.0,251
SS,2021-06-03,57,gipuzkoa,13.8,4.7,33.1,251
SS,2021-06-04,73,gipuzkoa,12.5,4.7,17.9,251
SS,2021-06-05,63,gipuzkoa,14.5,2.5,0.2,251
SS,2021-06-06,75,gipuzkoa,15.6,3.6,0.0,251
SS,2021-06-07,55,gipuzkoa,15.8,2.8,0.0,251
SS,2021-06-08,51,gipuzkoa,16.7,3.1,0.0,251
SS,2021-06-09,52,gipuzkoa,16.8,4.2,0.0,251
SS,2021-06-10,46,gipuzkoa,17.1,2.5,0.0,251
SS,2021-06-11,31,gipuzkoa,16.6,3.3,0.0,251
SS,2021-06-12,32,gipuzkoa,18.0,1.9,0.0,251
SS,2021-06-13,41,gipuzkoa,22.0,1.9,0.0,251
SS,2021-06-14,42,gipuzkoa,21.2,3.1,0.2,251
SS,2021-06-15,25,gipuzkoa,20.2,2.5,0.3,251
