provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GI,2021-03-02,138,girona,10.9,3.1,0.0,143
GI,2021-03-03,113,girona,12.2,1.1,0.0,143
GI,2021-03-04,91,girona,11.1,3.9,0.0,143
GI,2021-03-05,113,girona,11.3,1.4,3.5,143
GI,2021-03-06,66,girona,10.6,2.5,0.0,143
GI,2021-03-07,71,girona,10.4,1.1,0.1,143
GI,2021-03-08,139,girona,9.2,3.9,0.4,143
GI,2021-03-09,92,girona,8.8,3.1,0.2,143
GI,2021-03-10,103,girona,8.7,2.8,0.0,143
GI,2021-03-11,87,girona,10.8,3.1,0.0,143
GI,2021-03-12,115,girona,8.2,2.8,2.7,143
GI,2021-03-13,78,girona,9.9,1.7,0.0,143
GI,2021-03-14,69,girona,9.2,2.5,0.0,143
GI,2021-03-15,157,girona,9.1,2.2,0.0,143
GI,2021-03-16,127,girona,10.0,1.7,0.0,143
GI,2021-03-17,149,girona,10.4,2.5,0.0,143
GI,2021-03-18,108,girona,9.8,2.2,3.4,143
GI,2021-03-19,129,girona,6.8,4.2,0.0,143
GI,2021-03-20,115,girona,6.6,10.0,0.0,143
GI,2021-03-21,109,girona,7.7,0.8,0.0,143
GI,2021-03-22,174,girona,9.6,5.0,0.0,143
GI,2021-03-23,179,girona,9.6,3.1,0.0,143
GI,2021-03-24,201,girona,10.8,2.5,0.0,143
GI,2021-03-25,169,girona,11.8,3.6,0.0,143
GI,2021-03-26,154,girona,10.9,4.7,0.0,143
GI,2021-03-27,146,girona,11.6,1.7,0.0,143
GI,2021-03-28,177,girona,11.8,2.5,0.0,143
GI,2021-03-29,193,girona,11.8,2.2,0.0,143
GI,2021-03-30,200,girona,12.2,3.1,0.2,143
GI,2021-03-31,173,girona,12.9,3.9,0.0,143
GI,2021-04-01,201,girona,11.4,3.9,0.0,143
GI,2021-04-02,111,girona,14.2,3.3,0.0,143
GI,2021-04-03,158,girona,14.9,3.1,0.0,143
GI,2021-04-04,150,girona,13.0,3.6,0.0,143
GI,2021-04-05,142,girona,13.3,2.2,0.0,143
GI,2021-04-06,225,girona,11.4,4.7,0.0,143
GI,2021-04-07,203,girona,9.1,3.9,0.2,143
GI,2021-04-08,195,girona,8.6,7.8,0.0,143
GI,2021-04-09,215,girona,10.4,3.6,0.5,143
GI,2021-04-10,158,girona,11.8,0.8,0.2,143
GI,2021-04-11,136,girona,13.8,3.9,23.4,143
GI,2021-04-12,253,girona,11.4,1.9,0.0,143
GI,2021-04-13,210,girona,10.5,3.3,0.0,143
GI,2021-04-14,288,girona,13.0,3.3,0.0,143
GI,2021-04-16,233,girona,9.8,2.2,0.0,143
GI,2021-04-17,193,girona,7.2,2.5,0.0,143
GI,2021-04-18,176,girona,9.9,2.8,0.0,143
GI,2021-04-19,235,girona,10.2,3.3,0.0,143
GI,2021-04-20,286,girona,10.3,1.4,7.8,143
GI,2021-04-21,226,girona,10.4,2.5,2.7,143
GI,2021-04-22,271,girona,11.2,3.1,0.0,143
GI,2021-04-23,236,girona,12.6,2.2,0.0,143
GI,2021-04-24,222,girona,12.2,4.2,0.0,143
GI,2021-04-25,171,girona,14.2,3.3,0.0,143
