provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GR,2021-03-02,121,granada,9.3,1.7,0.0,785
GR,2021-03-03,162,granada,11.1,2.8,0.0,785
GR,2021-03-04,165,granada,10.2,3.1,0.0,785
GR,2021-03-05,155,granada,8.6,3.6,0.0,785
GR,2021-03-06,105,granada,9.8,3.6,12.8,785
GR,2021-03-07,90,granada,9.9,0.8,2.4,785
GR,2021-03-08,162,granada,10.2,2.8,0.0,785
GR,2021-03-09,155,granada,9.1,1.9,0.8,785
GR,2021-03-10,150,granada,9.2,2.5,0.0,785
GR,2021-03-11,127,granada,9.3,3.6,0.0,785
GR,2021-03-12,177,granada,12.1,3.3,0.0,785
GR,2021-03-13,118,granada,10.6,2.2,0.0,785
GR,2021-03-14,87,granada,11.4,2.5,0.0,785
GR,2021-03-15,149,granada,11.2,1.9,0.0,785
GR,2021-03-16,154,granada,11.0,3.6,0.0,785
GR,2021-03-17,126,granada,11.1,2.8,0.0,785
GR,2021-03-18,174,granada,9.5,1.9,0.0,785
GR,2021-03-19,164,granada,5.0,3.6,0.6,785
GR,2021-03-20,90,granada,4.0,3.6,0.0,785
GR,2021-03-21,107,granada,5.0,2.8,0.0,785
GR,2021-03-22,166,granada,10.0,3.9,0.0,785
GR,2021-03-23,178,granada,9.4,3.3,0.0,785
GR,2021-03-24,187,granada,11.4,2.2,0.0,785
GR,2021-03-25,145,granada,13.0,1.7,0.0,785
GR,2021-03-26,191,granada,12.8,2.8,0.0,785
GR,2021-03-27,108,granada,13.0,3.3,0.0,785
GR,2021-03-28,128,granada,12.7,3.6,0.0,785
GR,2021-03-29,205,granada,13.0,3.6,0.0,785
GR,2021-03-30,212,granada,13.8,3.3,0.0,785
GR,2021-03-31,267,granada,14.1,3.9,0.0,785
GR,2021-04-01,260,granada,17.0,3.3,0.0,785
GR,2021-04-04,229,granada,13.2,2.5,2.2,785
GR,2021-04-05,417,granada,13.8,1.7,0.0,785
GR,2021-04-06,394,granada,13.8,3.3,0.0,785
GR,2021-04-07,399,granada,12.6,4.2,0.0,785
GR,2021-04-08,382,granada,11.4,4.2,3.2,785
GR,2021-04-09,365,granada,13.3,3.1,1.0,785
GR,2021-04-10,259,granada,13.8,2.5,0.2,785
GR,2021-04-11,209,granada,12.6,3.9,0.0,785
GR,2021-04-12,377,granada,11.6,3.3,0.0,785
GR,2021-04-13,341,granada,14.8,4.7,0.2,785
GR,2021-04-14,353,granada,11.4,2.8,4.2,785
GR,2021-04-15,323,granada,8.8,1.7,8.2,785
GR,2021-04-16,320,granada,11.4,2.2,0.4,785
GR,2021-04-17,240,granada,11.1,3.9,0.0,785
GR,2021-04-18,225,granada,10.4,3.3,0.0,785
GR,2021-04-19,310,granada,12.5,3.3,0.0,785
GR,2021-04-20,329,granada,15.2,3.6,0.0,785
GR,2021-04-21,309,granada,15.5,3.1,0.0,785
GR,2021-04-23,329,granada,13.8,4.4,0.0,785
GR,2021-04-24,209,granada,13.0,2.5,3.2,785
GR,2021-04-25,176,granada,12.8,1.4,3.8,785
GR,2021-04-26,300,granada,15.6,3.3,1.2,785
GR,2021-04-27,297,granada,11.8,1.9,1.8,785
GR,2021-04-28,262,granada,15.9,2.8,0.0,785
GR,2021-04-29,253,granada,13.4,3.6,0.0,785
GR,2021-04-30,297,granada,11.7,2.5,0.0,785
GR,2021-05-01,220,granada,14.6,4.4,0.0,785
GR,2021-05-02,154,granada,13.4,3.1,0.0,785
GR,2021-05-03,228,granada,12.2,2.8,2.6,785
GR,2021-05-04,262,granada,15.9,2.8,0.0,785
GR,2021-05-05,210,granada,17.1,2.2,0.0,785
GR,2021-05-06,205,granada,17.3,3.1,0.0,785
GR,2021-05-07,224,granada,19.4,1.9,0.0,785
GR,2021-05-08,131,granada,19.6,3.6,0.6,785
GR,2021-05-09,120,granada,19.2,3.6,0.0,785
GR,2021-05-10,227,granada,14.5,6.1,0.2,785
GR,2021-05-11,211,granada,13.4,4.2,0.0,785
GR,2021-05-12,196,granada,13.8,3.3,0.0,785
GR,2021-05-13,155,granada,17.6,4.4,0.0,785
GR,2021-05-14,200,granada,19.2,4.2,0.0,785
GR,2021-05-15,121,granada,19.2,3.3,0.0,785
GR,2021-05-16,113,granada,22.0,3.6,0.0,785
GR,2021-05-17,203,granada,22.6,3.1,0.0,785
GR,2021-05-18,188,granada,20.3,3.6,0.0,785
GR,2021-05-19,168,granada,22.6,3.6,0.0,785
GR,2021-05-20,159,granada,21.8,4.2,0.0,785
GR,2021-05-21,229,granada,20.6,3.3,0.0,785
GR,2021-05-22,156,granada,24.3,4.4,0.0,785
GR,2021-05-23,117,granada,12.4,2.2,13.2,785
GR,2021-05-24,153,granada,16.0,2.5,0.6,785
GR,2021-05-25,160,granada,17.9,3.6,0.0,785
GR,2021-05-26,169,granada,18.8,3.6,0.0,785
GR,2021-05-27,136,granada,16.2,2.2,9.0,785
GR,2021-05-28,191,granada,18.4,1.7,0.0,785
GR,2021-05-29,120,granada,21.4,2.5,0.0,785
GR,2021-05-30,104,granada,20.5,2.8,0.0,785
GR,2021-05-31,170,granada,20.2,2.8,0.2,785
GR,2021-06-01,192,granada,21.4,2.8,0.0,785
GR,2021-06-02,189,granada,19.6,2.8,0.0,785
GR,2021-06-03,116,granada,20.4,3.3,1.8,785
GR,2021-06-04,173,granada,21.0,2.5,0.8,785
GR,2021-06-05,118,granada,19.0,3.1,1.8,785
GR,2021-06-06,109,granada,19.6,2.2,0.2,785
GR,2021-06-07,188,granada,21.8,3.1,0.0,785
GR,2021-06-08,134,granada,22.9,3.3,0.0,785
GR,2021-06-09,152,granada,24.1,2.8,0.0,785
GR,2021-06-10,117,granada,24.9,3.6,0.0,785
GR,2021-06-11,176,granada,23.7,3.1,0.0,785
GR,2021-06-12,117,granada,21.6,5.0,0.0,785
GR,2021-06-13,95,granada,22.0,3.6,0.0,785
GR,2021-06-15,146,granada,24.7,3.6,0.0,785
