provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2021-03-02,47,guadalajara,10.0,1.1,0.0,721
GU,2021-03-03,41,guadalajara,10.2,1.1,0.0,721
GU,2021-03-04,45,guadalajara,9.2,0.8,0.0,721
GU,2021-03-05,37,guadalajara,10.8,2.5,0.0,721
GU,2021-03-06,39,guadalajara,11.5,1.4,0.0,721
GU,2021-03-07,32,guadalajara,10.8,1.7,0.2,721
GU,2021-03-08,42,guadalajara,9.6,1.4,0.0,721
GU,2021-03-09,43,guadalajara,8.6,1.7,0.0,721
GU,2021-03-10,37,guadalajara,7.2,1.7,0.0,721
GU,2021-03-11,46,guadalajara,11.5,2.8,0.0,721
GU,2021-03-12,44,guadalajara,10.2,2.5,0.0,721
GU,2021-03-13,32,guadalajara,8.8,1.9,0.0,721
GU,2021-03-14,28,guadalajara,9.4,1.7,0.0,721
GU,2021-03-15,61,guadalajara,11.6,3.6,0.0,721
GU,2021-03-16,46,guadalajara,11.7,4.7,0.0,721
GU,2021-03-17,55,guadalajara,12.0,6.1,0.0,721
GU,2021-03-18,44,guadalajara,7.6,3.9,0.0,721
GU,2021-03-19,66,guadalajara,6.4,1.9,0.4,721
GU,2021-03-20,40,guadalajara,6.2,4.7,0.0,721
GU,2021-03-21,56,guadalajara,6.4,4.4,0.0,721
GU,2021-03-22,72,guadalajara,8.8,2.8,0.0,721
GU,2021-03-23,81,guadalajara,9.8,1.7,0.0,721
GU,2021-03-24,83,guadalajara,11.4,1.9,0.0,721
GU,2021-03-25,79,guadalajara,12.0,1.9,0.0,721
GU,2021-03-26,67,guadalajara,13.0,2.8,0.0,721
GU,2021-03-27,60,guadalajara,12.0,1.4,0.0,721
GU,2021-03-28,77,guadalajara,13.6,1.4,0.0,721
GU,2021-03-29,87,guadalajara,15.2,3.9,0.0,721
GU,2021-03-30,77,guadalajara,15.5,3.3,0.0,721
GU,2021-03-31,89,guadalajara,15.5,2.5,0.0,721
GU,2021-04-01,75,guadalajara,16.4,3.9,0.0,721
GU,2021-04-02,51,guadalajara,13.9,2.2,1.4,721
GU,2021-04-03,82,guadalajara,12.9,1.1,2.4,721
GU,2021-04-04,73,guadalajara,13.6,1.9,0.0,721
GU,2021-04-05,121,guadalajara,13.4,1.7,0.0,721
GU,2021-04-06,109,guadalajara,13.7,1.4,0.0,721
GU,2021-04-07,107,guadalajara,12.3,2.2,0.0,721
GU,2021-04-08,85,guadalajara,12.9,1.9,1.4,721
GU,2021-04-09,89,guadalajara,10.0,1.7,10.8,721
GU,2021-04-10,66,guadalajara,13.0,1.7,17.4,721
GU,2021-04-11,75,guadalajara,11.8,3.3,0.6,721
GU,2021-04-12,110,guadalajara,10.0,3.3,0.0,721
GU,2021-04-13,98,guadalajara,10.3,1.4,0.4,721
GU,2021-04-14,110,guadalajara,15.0,2.2,0.0,721
GU,2021-04-15,111,guadalajara,13.4,1.9,0.8,721
GU,2021-04-16,103,guadalajara,10.4,2.8,0.0,721
GU,2021-04-17,76,guadalajara,9.2,1.9,0.0,721
GU,2021-04-18,58,guadalajara,10.8,1.7,0.0,721
GU,2021-04-19,80,guadalajara,12.8,1.9,0.0,721
GU,2021-04-20,96,guadalajara,13.4,1.9,3.2,721
GU,2021-04-21,87,guadalajara,13.2,2.8,6.6,721
GU,2021-04-22,92,guadalajara,13.2,1.7,4.4,721
GU,2021-04-23,100,guadalajara,12.6,2.2,0.2,721
GU,2021-04-24,65,guadalajara,12.8,2.2,2.4,721
GU,2021-04-25,54,guadalajara,11.2,1.1,4.2,721
GU,2021-04-26,76,guadalajara,14.4,1.7,2.4,721
GU,2021-04-27,61,guadalajara,15.0,2.8,9.8,721
GU,2021-04-28,57,guadalajara,13.1,3.1,9.8,721
GU,2021-04-29,77,guadalajara,12.7,3.9,1.0,721
GU,2021-04-30,75,guadalajara,11.2,2.5,0.0,721
GU,2021-05-01,74,guadalajara,10.8,1.4,2.0,721
GU,2021-05-02,30,guadalajara,12.6,1.7,0.0,721
GU,2021-05-03,44,guadalajara,12.4,1.7,4.0,721
GU,2021-05-04,55,guadalajara,13.4,1.9,0.0,721
GU,2021-05-05,76,guadalajara,16.0,2.2,0.0,721
GU,2021-05-06,39,guadalajara,17.3,3.1,0.0,721
GU,2021-05-07,42,guadalajara,19.0,1.9,0.0,721
GU,2021-05-08,38,guadalajara,19.5,3.6,0.6,721
GU,2021-05-09,24,guadalajara,14.6,6.1,3.8,721
GU,2021-05-10,47,guadalajara,11.8,4.4,0.0,721
GU,2021-05-11,35,guadalajara,11.9,3.3,0.4,721
GU,2021-05-12,49,guadalajara,14.7,4.2,0.0,721
GU,2021-05-13,49,guadalajara,13.3,3.6,0.0,721
