provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2021-03-02,15,huelva,13.2,3.1,0.0,572
H,2021-03-03,27,huelva,14.2,1.7,0.0,572
H,2021-03-04,26,huelva,12.2,3.3,2.8,572
H,2021-03-05,30,huelva,10.7,2.5,18.0,572
H,2021-03-06,18,huelva,12.8,1.7,5.0,572
H,2021-03-07,11,huelva,13.1,1.4,0.0,572
H,2021-03-08,18,huelva,9.7,3.3,0.0,572
H,2021-03-09,21,huelva,11.0,1.9,0.0,572
H,2021-03-10,33,huelva,13.5,2.2,0.0,572
H,2021-03-11,16,huelva,13.4,3.1,0.0,572
H,2021-03-12,23,huelva,12.0,3.3,0.0,572
H,2021-03-13,30,huelva,12.4,4.4,0.0,572
H,2021-03-14,15,huelva,12.9,5.3,0.0,572
H,2021-03-15,35,huelva,16.0,3.6,0.0,572
H,2021-03-16,25,huelva,17.8,3.9,0.0,572
H,2021-03-17,33,huelva,16.2,3.3,0.0,572
H,2021-03-18,32,huelva,12.3,5.8,0.0,572
H,2021-03-19,48,huelva,10.8,3.3,0.0,572
H,2021-03-20,27,huelva,9.1,3.9,0.0,572
H,2021-03-21,29,huelva,10.7,2.2,0.0,572
H,2021-03-22,43,huelva,13.9,3.3,0.0,572
H,2021-03-23,60,huelva,15.4,2.2,0.0,572
H,2021-03-24,54,huelva,15.5,2.2,0.0,572
H,2021-03-25,34,huelva,14.4,1.7,0.0,572
H,2021-03-26,54,huelva,15.0,2.5,0.0,572
H,2021-03-27,47,huelva,17.8,1.1,0.0,572
H,2021-03-28,48,huelva,17.0,3.3,0.0,572
H,2021-03-29,86,huelva,16.9,3.6,0.0,572
H,2021-03-30,58,huelva,17.0,2.8,0.0,572
H,2021-03-31,98,huelva,20.9,4.4,0.0,572
H,2021-04-01,75,huelva,15.6,4.2,1.8,572
H,2021-04-02,63,huelva,14.4,2.5,0.0,572
H,2021-04-03,97,huelva,14.5,3.1,1.4,572
H,2021-04-04,81,huelva,17.2,1.9,0.2,572
H,2021-04-05,107,huelva,15.8,1.7,0.0,572
H,2021-04-06,130,huelva,20.4,3.1,0.0,572
H,2021-04-07,134,huelva,19.2,3.1,0.0,572
H,2021-04-08,100,huelva,14.6,1.7,0.0,572
H,2021-04-09,118,huelva,15.0,1.7,0.0,572
H,2021-04-10,116,huelva,13.8,3.3,12.4,572
H,2021-04-11,69,huelva,14.8,3.3,0.0,572
H,2021-04-12,104,huelva,15.0,1.1,0.0,572
H,2021-04-13,97,huelva,15.8,1.1,0.0,572
H,2021-04-14,122,huelva,15.4,2.2,1.2,572
H,2021-04-15,116,huelva,14.2,1.9,1.6,572
H,2021-04-16,117,huelva,15.4,1.4,3.0,572
H,2021-04-17,92,huelva,16.2,2.8,0.0,572
H,2021-04-18,48,huelva,16.8,1.7,0.0,572
H,2021-04-19,85,huelva,17.8,3.3,0.0,572
H,2021-04-20,111,huelva,14.5,3.3,0.0,572
H,2021-04-21,102,huelva,14.2,2.5,3.0,572
H,2021-04-22,96,huelva,16.4,2.5,0.2,572
H,2021-04-23,96,huelva,16.6,3.1,0.0,572
H,2021-04-24,91,huelva,13.5,2.5,0.0,572
H,2021-04-25,72,huelva,15.2,3.6,6.8,572
H,2021-04-26,104,huelva,13.0,2.8,42.4,572
H,2021-04-27,80,huelva,14.8,2.2,0.2,572
H,2021-04-28,87,huelva,13.0,2.5,8.0,572
H,2021-04-29,69,huelva,12.0,3.1,0.0,572
H,2021-04-30,89,huelva,12.7,4.2,0.0,572
H,2021-05-01,71,huelva,11.7,2.5,0.0,572
H,2021-05-02,59,huelva,13.8,2.8,0.0,572
H,2021-05-03,73,huelva,16.0,1.4,0.0,572
H,2021-05-04,73,huelva,17.0,2.2,0.0,572
H,2021-05-05,82,huelva,20.6,3.3,0.0,572
H,2021-05-06,75,huelva,20.2,1.9,0.0,572
H,2021-05-07,94,huelva,20.6,2.2,0.0,572
H,2021-05-08,71,huelva,19.9,3.3,0.0,572
H,2021-05-09,69,huelva,13.2,2.5,17.0,572
H,2021-05-10,111,huelva,11.6,3.6,3.0,572
H,2021-05-11,105,huelva,13.0,2.5,0.2,572
H,2021-05-12,104,huelva,15.5,3.1,0.0,572
H,2021-05-13,96,huelva,15.5,5.6,0.0,572
H,2021-05-14,98,huelva,17.1,4.2,0.0,572
H,2021-05-15,98,huelva,20.7,2.8,0.0,572
H,2021-05-16,86,huelva,19.6,6.9,0.0,572
H,2021-05-17,92,huelva,19.4,3.9,0.0,572
H,2021-05-18,139,huelva,20.4,6.1,0.0,572
H,2021-05-19,96,huelva,21.6,2.8,0.0,572
H,2021-05-20,86,huelva,22.6,1.4,0.0,572
H,2021-05-21,113,huelva,22.4,2.8,0.0,572
H,2021-05-22,77,huelva,15.9,9.2,0.0,572
H,2021-05-23,76,huelva,15.0,6.7,0.0,572
H,2021-05-24,96,huelva,15.3,3.9,0.0,572
H,2021-05-25,141,huelva,21.4,1.1,0.0,572
H,2021-05-26,156,huelva,20.8,2.2,0.0,572
H,2021-05-27,115,huelva,16.0,1.4,1.6,572
H,2021-05-28,113,huelva,21.4,1.4,0.0,572
H,2021-05-29,130,huelva,24.1,1.9,0.0,572
H,2021-05-30,88,huelva,24.2,2.5,0.0,572
H,2021-05-31,126,huelva,20.6,3.9,0.0,572
H,2021-06-01,136,huelva,18.7,1.9,0.0,572
H,2021-06-02,128,huelva,20.6,1.4,0.0,572
H,2021-06-03,127,huelva,21.0,2.5,0.0,572
H,2021-06-04,136,huelva,20.8,1.4,0.0,572
H,2021-06-05,79,huelva,22.2,3.3,0.0,572
H,2021-06-06,79,huelva,22.8,1.1,0.0,572
H,2021-06-08,100,huelva,27.0,2.5,0.0,572
H,2021-06-09,99,huelva,26.8,1.9,0.0,572
H,2021-06-10,97,huelva,27.4,1.9,0.0,572
H,2021-06-11,85,huelva,25.0,2.5,0.0,572
H,2021-06-12,60,huelva,22.6,3.1,0.0,572
H,2021-06-13,71,huelva,23.0,3.3,0.0,572
H,2021-06-14,61,huelva,24.0,2.2,0.0,572
H,2021-06-15,104,huelva,22.6,2.8,0.0,572
