provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
HU,2021-03-03,26,huesca,9.2,1.9,0.0,1040
HU,2021-03-04,28,huesca,9.0,1.7,0.0,1040
HU,2021-03-05,24,huesca,9.6,3.6,0.0,1040
HU,2021-03-06,21,huesca,6.6,1.7,0.0,1040
HU,2021-03-07,13,huesca,7.0,2.5,3.2,1040
HU,2021-03-08,28,huesca,6.6,1.9,0.0,1040
HU,2021-03-09,15,huesca,5.0,2.5,0.0,1040
HU,2021-03-10,19,huesca,5.6,1.1,0.0,1040
HU,2021-03-11,29,huesca,11.8,1.4,2.2,1040
HU,2021-03-12,18,huesca,6.2,2.2,0.2,1040
HU,2021-03-13,7,huesca,6.0,1.9,0.0,1040
HU,2021-03-14,7,huesca,5.8,3.9,0.0,1040
HU,2021-03-15,23,huesca,5.5,4.2,0.0,1040
HU,2021-03-16,14,huesca,7.5,5.6,0.0,1040
HU,2021-03-17,13,huesca,9.2,4.2,1.8,1040
HU,2021-03-18,14,huesca,4.9,6.1,0.0,1040
HU,2021-03-19,18,huesca,2.6,3.9,2.8,1040
HU,2021-03-20,8,huesca,2.0,4.7,0.0,1040
HU,2021-03-21,11,huesca,4.8,5.0,0.0,1040
HU,2021-03-22,25,huesca,5.8,5.3,0.0,1040
HU,2021-03-23,15,huesca,9.2,3.1,0.0,1040
HU,2021-03-24,19,huesca,11.4,2.5,0.0,1040
HU,2021-03-25,19,huesca,10.6,1.9,0.0,1040
HU,2021-03-26,22,huesca,10.7,2.5,0.0,1040
HU,2021-03-27,12,huesca,9.0,2.5,0.0,1040
HU,2021-03-28,20,huesca,11.9,2.5,0.0,1040
HU,2021-03-29,30,huesca,13.8,4.4,0.0,1040
HU,2021-03-30,27,huesca,16.0,2.5,0.0,1040
HU,2021-03-31,42,huesca,15.9,3.1,0.0,1040
HU,2021-04-01,26,huesca,15.7,3.1,0.0,1040
HU,2021-04-02,19,huesca,16.3,2.2,2.0,1040
HU,2021-04-03,24,huesca,12.1,5.8,0.0,1040
HU,2021-04-04,23,huesca,9.7,2.5,0.0,1040
HU,2021-04-05,28,huesca,11.6,3.1,0.0,1040
HU,2021-04-06,48,huesca,6.7,1.9,0.0,1040
HU,2021-04-07,35,huesca,5.3,2.5,0.0,1040
HU,2021-04-08,49,huesca,8.6,1.7,0.0,1040
HU,2021-04-09,36,huesca,7.4,1.9,14.0,1040
HU,2021-04-10,25,huesca,9.2,1.4,5.2,1040
HU,2021-04-11,30,huesca,5.8,3.1,6.8,1040
HU,2021-04-12,46,huesca,6.2,1.9,0.0,1040
HU,2021-04-13,46,huesca,8.4,1.7,0.0,1040
HU,2021-04-14,42,huesca,10.5,2.5,0.0,1040
HU,2021-04-15,33,huesca,9.0,3.9,0.0,1040
HU,2021-04-16,48,huesca,4.4,5.8,0.0,1040
HU,2021-04-17,29,huesca,4.6,7.8,0.0,1040
HU,2021-04-18,22,huesca,8.2,5.3,0.0,1040
HU,2021-04-19,31,huesca,9.6,1.7,1.0,1040
HU,2021-04-20,44,huesca,9.4,1.4,29.2,1040
HU,2021-04-21,28,huesca,8.3,1.7,6.0,1040
HU,2021-04-22,56,huesca,9.2,1.9,0.0,1040
HU,2021-04-23,34,huesca,11.8,3.9,0.0,1040
HU,2021-04-24,24,huesca,12.8,3.6,2.2,1040
HU,2021-04-25,34,huesca,12.4,2.8,2.2,1040
HU,2021-04-26,49,huesca,10.2,1.4,22.6,1040
HU,2021-04-27,32,huesca,9.0,0.8,15.8,1040
HU,2021-04-28,34,huesca,11.0,1.7,8.6,1040
HU,2021-04-29,34,huesca,9.8,1.1,11.8,1040
HU,2021-04-30,37,huesca,9.6,2.5,3.0,1040
HU,2021-05-01,18,huesca,6.2,4.4,0.0,1040
HU,2021-05-02,18,huesca,7.3,1.9,0.0,1040
HU,2021-05-03,26,huesca,9.7,2.2,0.0,1040
HU,2021-05-04,26,huesca,12.9,1.4,0.0,1040
HU,2021-05-05,28,huesca,12.0,2.8,0.0,1040
HU,2021-05-06,30,huesca,14.1,1.4,1.8,1040
HU,2021-05-07,32,huesca,15.2,2.2,0.0,1040
HU,2021-05-08,20,huesca,19.0,4.2,0.0,1040
HU,2021-05-09,26,huesca,13.3,3.9,34.8,1040
HU,2021-05-10,34,huesca,10.8,2.2,6.6,1040
HU,2021-05-11,30,huesca,8.6,2.2,0.8,1040
HU,2021-05-12,30,huesca,9.0,2.8,2.4,1040
HU,2021-05-13,26,huesca,8.8,1.7,8.0,1040
HU,2021-05-14,30,huesca,8.4,2.2,0.6,1040
HU,2021-05-15,19,huesca,11.2,1.4,2.2,1040
HU,2021-05-16,11,huesca,11.4,1.7,0.6,1040
HU,2021-05-17,23,huesca,10.3,3.1,0.4,1040
HU,2021-05-18,20,huesca,11.2,1.9,0.4,1040
HU,2021-05-19,15,huesca,9.6,2.8,0.4,1040
HU,2021-05-20,26,huesca,13.0,1.7,0.0,1040
HU,2021-05-21,25,huesca,15.3,2.8,0.0,1040
HU,2021-05-22,20,huesca,11.0,1.4,0.0,1040
HU,2021-05-23,8,huesca,9.9,1.4,0.0,1040
HU,2021-05-24,14,huesca,9.8,1.7,0.0,1040
HU,2021-05-25,21,huesca,10.3,2.8,0.0,1040
HU,2021-05-26,29,huesca,13.1,2.5,0.0,1040
HU,2021-05-27,28,huesca,16.1,2.8,0.0,1040
HU,2021-05-28,18,huesca,18.6,1.4,0.0,1040
HU,2021-05-29,25,huesca,19.6,2.5,0.0,1040
HU,2021-06-02,26,huesca,16.0,3.3,0.0,1040
HU,2021-06-03,24,huesca,19.4,4.4,21.6,1040
HU,2021-06-04,16,huesca,14.2,1.9,0.0,1040
HU,2021-06-05,12,huesca,15.1,2.2,0.0,1040
HU,2021-06-06,7,huesca,16.5,2.8,0.0,1040
HU,2021-06-07,9,huesca,16.0,2.8,0.0,1040
HU,2021-06-08,9,huesca,18.8,3.3,0.0,1040
HU,2021-06-09,9,huesca,20.4,2.2,0.0,1040
