provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
J,2021-03-02,56,jaen,13.0,0.8,0.0,202
J,2021-03-03,50,jaen,13.7,0.8,0.0,202
J,2021-03-04,40,jaen,12.0,1.1,0.0,202
J,2021-03-05,44,jaen,12.8,2.5,0.0,202
J,2021-03-06,22,jaen,13.5,1.7,0.0,202
J,2021-03-07,18,jaen,11.3,1.1,0.0,202
J,2021-03-08,41,jaen,11.5,0.8,1.7,202
J,2021-03-09,58,jaen,11.6,1.1,0.0,202
J,2021-03-10,42,jaen,11.0,1.1,0.0,202
J,2021-03-11,45,jaen,11.6,1.4,0.0,202
J,2021-03-12,50,jaen,12.4,1.4,0.0,202
J,2021-03-13,30,jaen,11.8,1.9,0.0,202
J,2021-03-14,35,jaen,11.5,0.8,0.0,202
J,2021-03-15,54,jaen,12.6,0.6,0.0,202
J,2021-03-16,45,jaen,13.4,1.4,0.0,202
J,2021-03-17,52,jaen,13.8,1.4,0.0,202
J,2021-03-18,55,jaen,12.4,2.5,0.0,202
J,2021-03-19,78,jaen,9.1,1.4,0.0,202
J,2021-03-20,27,jaen,9.2,2.5,0.0,202
J,2021-03-21,24,jaen,8.2,1.1,0.0,202
J,2021-03-22,60,jaen,9.4,1.4,0.0,202
J,2021-03-23,64,jaen,12.2,1.9,0.0,202
J,2021-03-24,70,jaen,13.6,1.1,0.0,202
J,2021-03-25,60,jaen,14.6,1.4,0.0,202
J,2021-03-26,80,jaen,13.7,1.1,0.0,202
J,2021-03-27,44,jaen,15.6,0.8,0.0,202
J,2021-03-28,40,jaen,17.6,1.7,0.0,202
J,2021-03-29,85,jaen,18.6,0.8,0.0,202
J,2021-03-30,130,jaen,20.8,1.7,0.0,202
J,2021-03-31,122,jaen,22.2,3.1,0.0,202
J,2021-04-01,118,jaen,19.2,4.2,1.1,202
J,2021-04-02,85,jaen,18.2,3.1,0.0,202
J,2021-04-03,96,jaen,15.7,1.9,2.2,202
J,2021-04-04,103,jaen,15.8,1.4,3.8,202
J,2021-04-05,182,jaen,18.4,1.4,0.0,202
J,2021-04-06,246,jaen,17.4,1.4,0.0,202
J,2021-04-07,173,jaen,17.4,0.8,0.0,202
J,2021-04-08,220,jaen,18.3,1.4,0.0,202
J,2021-04-09,190,jaen,18.0,1.9,0.0,202
J,2021-04-10,147,jaen,18.8,3.3,7.3,202
J,2021-04-11,84,jaen,16.6,1.9,9.1,202
J,2021-04-12,163,jaen,17.1,1.1,0.0,202
J,2021-04-13,196,jaen,17.6,1.7,0.0,202
J,2021-04-14,199,jaen,17.8,1.1,1.0,202
J,2021-04-15,205,jaen,12.5,0.6,1.6,202
J,2021-04-16,173,jaen,14.6,1.1,2.0,202
J,2021-04-17,125,jaen,14.8,1.4,0.0,202
J,2021-04-18,107,jaen,13.4,0.6,0.0,202
J,2021-04-19,147,jaen,15.6,0.8,0.0,202
J,2021-04-20,153,jaen,15.5,2.5,0.0,202
J,2021-04-21,225,jaen,17.2,2.5,12.0,202
J,2021-04-22,141,jaen,17.2,0.3,2.5,202
J,2021-04-23,97,jaen,17.6,0.8,0.0,202
J,2021-04-24,114,jaen,15.2,1.4,5.8,202
J,2021-04-25,58,jaen,16.8,1.7,0.6,202
J,2021-04-26,107,jaen,17.6,1.9,0.1,202
J,2021-04-27,129,jaen,15.4,1.4,2.0,202
J,2021-04-28,129,jaen,18.4,4.2,0.1,202
J,2021-04-29,110,jaen,15.4,4.2,0.0,202
J,2021-04-30,123,jaen,13.6,2.2,0.0,202
J,2021-05-01,59,jaen,14.0,3.1,0.0,202
J,2021-05-02,45,jaen,14.6,0.8,0.0,202
J,2021-05-03,89,jaen,15.4,0.6,0.3,202
J,2021-05-04,95,jaen,18.0,1.1,0.0,202
J,2021-05-05,134,jaen,18.7,1.1,0.0,202
J,2021-05-06,130,jaen,19.7,3.1,0.0,202
J,2021-05-07,120,jaen,20.6,1.7,0.0,202
J,2021-05-08,86,jaen,21.8,2.2,0.0,202
J,2021-05-09,61,jaen,19.8,6.4,1.0,202
J,2021-05-10,107,jaen,15.0,4.7,4.0,202
J,2021-05-11,106,jaen,14.1,2.2,0.1,202
J,2021-05-12,98,jaen,15.7,3.1,0.0,202
J,2021-05-13,124,jaen,18.0,2.8,0.0,202
J,2021-05-14,104,jaen,19.4,2.2,0.0,202
J,2021-05-15,78,jaen,20.4,2.8,0.0,202
J,2021-05-16,63,jaen,22.2,2.2,0.0,202
J,2021-05-17,95,jaen,22.8,2.5,0.0,202
J,2021-05-18,152,jaen,22.2,2.5,0.0,202
J,2021-05-19,168,jaen,25.1,1.4,0.0,202
