provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2021-03-02,17,laRioja,10.6,6.9,0.0,353
LO,2021-03-03,18,laRioja,8.0,1.7,0.0,353
LO,2021-03-04,16,laRioja,9.2,2.2,0.0,353
LO,2021-03-05,11,laRioja,11.0,1.9,0.0,353
LO,2021-03-06,10,laRioja,11.1,1.7,0.0,353
LO,2021-03-07,16,laRioja,9.0,2.8,0.7,353
LO,2021-03-08,17,laRioja,8.6,3.3,0.0,353
LO,2021-03-09,20,laRioja,5.2,3.1,0.0,353
LO,2021-03-10,21,laRioja,8.6,2.2,0.0,353
LO,2021-03-11,18,laRioja,11.1,2.8,3.2,353
LO,2021-03-13,9,laRioja,8.4,2.5,0.0,353
LO,2021-03-14,12,laRioja,10.5,4.2,0.0,353
LO,2021-03-15,24,laRioja,10.2,3.9,0.0,353
LO,2021-03-16,20,laRioja,11.8,3.1,0.0,353
LO,2021-03-17,29,laRioja,12.0,4.7,0.0,353
LO,2021-03-18,36,laRioja,8.4,4.4,0.4,353
LO,2021-03-19,18,laRioja,7.0,3.3,4.1,353
LO,2021-03-20,32,laRioja,6.6,3.9,0.0,353
LO,2021-03-21,21,laRioja,9.0,4.7,0.0,353
LO,2021-03-22,24,laRioja,10.8,3.6,0.0,353
LO,2021-03-23,48,laRioja,11.6,3.3,0.0,353
LO,2021-03-24,54,laRioja,10.4,1.4,0.0,353
LO,2021-03-25,41,laRioja,12.0,1.7,0.0,353
LO,2021-03-26,48,laRioja,12.8,1.1,0.0,353
LO,2021-03-27,44,laRioja,11.5,1.9,0.0,353
LO,2021-03-28,36,laRioja,11.5,4.4,0.0,353
LO,2021-03-29,49,laRioja,13.6,6.7,0.0,353
LO,2021-03-30,42,laRioja,15.6,6.1,0.0,353
LO,2021-03-31,61,laRioja,15.0,6.7,0.0,353
LO,2021-04-01,43,laRioja,14.6,4.2,0.0,353
LO,2021-04-02,41,laRioja,16.2,2.2,0.0,353
LO,2021-04-03,61,laRioja,12.6,5.0,0.0,353
LO,2021-04-04,54,laRioja,12.8,3.6,0.0,353
LO,2021-04-05,49,laRioja,12.7,3.6,0.0,353
LO,2021-04-06,58,laRioja,9.5,3.6,0.0,353
LO,2021-04-07,55,laRioja,9.4,2.8,0.0,353
LO,2021-04-08,43,laRioja,10.6,4.7,1.8,353
LO,2021-04-09,59,laRioja,9.6,8.3,0.3,353
LO,2021-04-10,55,laRioja,12.4,5.0,6.1,353
LO,2021-04-11,48,laRioja,9.2,3.1,1.6,353
LO,2021-04-12,61,laRioja,9.2,2.5,0.0,353
LO,2021-04-13,59,laRioja,7.9,1.7,0.0,353
LO,2021-04-14,61,laRioja,13.2,2.5,0.0,353
LO,2021-04-15,68,laRioja,11.6,2.8,0.0,353
LO,2021-04-16,56,laRioja,8.2,3.9,0.0,353
LO,2021-04-17,48,laRioja,7.8,4.2,0.0,353
LO,2021-04-18,62,laRioja,12.0,2.8,0.0,353
LO,2021-04-19,86,laRioja,12.3,2.8,0.0,353
LO,2021-04-20,65,laRioja,14.4,1.7,0.0,353
LO,2021-04-21,76,laRioja,15.4,4.2,0.5,353
LO,2021-04-22,62,laRioja,13.0,6.1,0.0,353
LO,2021-04-23,68,laRioja,14.2,8.1,0.0,353
LO,2021-04-24,81,laRioja,15.2,7.8,0.6,353
LO,2021-04-25,44,laRioja,13.8,5.6,0.5,353
LO,2021-04-26,71,laRioja,13.8,2.8,3.0,353
LO,2021-04-27,55,laRioja,13.6,1.4,4.5,353
LO,2021-04-28,62,laRioja,14.6,1.7,0.8,353
LO,2021-04-29,59,laRioja,11.2,1.9,3.1,353
LO,2021-04-30,64,laRioja,11.3,1.4,0.0,353
LO,2021-05-01,39,laRioja,9.8,2.8,0.3,353
LO,2021-05-02,39,laRioja,10.0,3.1,0.1,353
LO,2021-05-03,44,laRioja,12.6,1.7,0.0,353
LO,2021-05-04,57,laRioja,15.0,2.8,0.0,353
LO,2021-05-05,36,laRioja,15.5,2.5,0.0,353
LO,2021-05-06,37,laRioja,16.0,2.8,0.0,353
LO,2021-05-07,37,laRioja,19.8,1.7,0.0,353
LO,2021-05-08,26,laRioja,21.0,3.3,0.0,353
LO,2021-05-09,30,laRioja,18.7,6.4,0.1,353
